arm,seed,OLD_MODEL_OLD_E,NEW_MODEL_NEW_E,OLD_MODEL_NEW_E,NEW_MODEL_OLD_E,E_change_only_score_delta,new_TRAIN_V_on_new_E_score_delta,new_TRAIN_V_on_old_E_score_delta
B0,73101,0.3712896037459268,0.6088993756964942,0.6307324490647213,0.3758959099274144,0.25944284531879447,-0.02183307336822704,0.004606306181487607
B0,73102,0.3719578570632296,0.6088993756964942,0.6310256422319294,0.3758959099274144,0.25906778516869977,-0.022126266535435146,0.0039380528641848045
B1,73101,0.3748928246328836,0.5670342003705425,0.6162971224523501,0.3980830134772204,0.24140429781946654,-0.0492629220818076,0.023190188844336823
B1,73102,0.3821995153785059,0.565769893815912,0.5944082946124917,0.3936329356154766,0.2122087792339858,-0.028638400796579644,0.011433420236970693
B2,73101,0.375119284314385,0.6052038024264089,0.6681285957927965,0.3972648174864199,0.29300931147841147,-0.06292479336638757,0.02214553317203488
B2,73102,0.3846701686717695,0.6033787400630806,0.656611073044786,0.393433084645568,0.27194090437301655,-0.05323233298170549,0.008762915973798469
B3,73101,0.3853583854945591,0.6050678091719675,0.6398567134510342,0.3970735669464665,0.25449832795647515,-0.03478890427906678,0.01171518145190742
B3,73102,0.3897207775816558,0.6033507924395259,0.6399607887915796,0.3931972342795664,0.2502400112099238,-0.03660999635205364,0.0034764566979105793
