role,origin,channel,bank_origin,continuation_end,max_legal_end,distance,query_sigma
TRAIN,2063,0,1056,1104,1703,0.14546181858918805,0.05983735445138705
TRAIN,2063,0,1560,1608,1703,0.18353475874786393,0.05983735445138705
TRAIN,2063,1,888,936,1703,0.26311664173685156,0.04733575325922016
TRAIN,2063,1,1224,1272,1703,0.27348100255053776,0.04733575325922016
TRAIN,2063,2,384,432,1703,0.36066517305483686,0.08907430429988177
TRAIN,2063,2,1392,1440,1703,0.39849840272502085,0.08907430429988177
TRAIN,2063,3,1056,1104,1703,0.11561798841891206,0.03226167424222467
TRAIN,2063,3,1224,1272,1703,0.11828390923736672,0.03226167424222467
TRAIN,2184,0,1680,1728,1824,0.5288642791365553,0.0570160267050677
TRAIN,2184,0,1008,1056,1824,0.5822510132337678,0.0570160267050677
TRAIN,2184,1,1704,1752,1824,0.5454219272322779,0.041869295571071795
TRAIN,2184,1,1680,1728,1824,0.5555720920681564,0.041869295571071795
TRAIN,2184,2,1176,1224,1824,0.5503235695814028,0.0881108914981099
TRAIN,2184,2,1680,1728,1824,0.5913129874340484,0.0881108914981099
TRAIN,2184,3,1176,1224,1824,0.3886010201074294,0.0314967070712961
TRAIN,2184,3,840,888,1824,0.40413162265499886,0.0314967070712961
TRAIN,2304,0,1800,1848,1944,0.4307651729741564,0.05385650328816912
TRAIN,2304,0,1128,1176,1944,0.6025671523996076,0.05385650328816912
TRAIN,2304,1,1800,1848,1944,0.3823171284864247,0.03666421349704642
TRAIN,2304,1,1824,1872,1944,0.44279547934743535,0.03666421349704642
TRAIN,2304,2,1800,1848,1944,0.3943166092916802,0.08700422556657757
TRAIN,2304,2,1824,1872,1944,0.525363601774896,0.08700422556657757
TRAIN,2304,3,1800,1848,1944,0.23628146849208148,0.02968877352561428
TRAIN,2304,3,1296,1344,1944,0.27306449118154735,0.02968877352561428
TRAIN,2449,0,1944,1992,2089,0.9791282147395867,0.04220142506704247
TRAIN,2449,0,1968,2016,2089,1.1023197187832907,0.04220142506704247
