arm,seed,policy,condition,score,revision
B0,73101,selected,PRIMARY,0.6088993756964942,
B0,73101,selected,standard,0.6088993756964943,
B0,73101,fixed512,PRIMARY,0.6097723653098519,
B0,73101,fixed512,standard,0.6097723653098519,
B1,73101,selected,PRIMARY,0.5670342003705425,
B1,73101,selected,standard,0.5670342003705425,
B1,73101,fixed512,PRIMARY,0.5708593488001176,
B1,73101,fixed512,standard,0.5708593488001176,
B2,73101,selected,PRIMARY,0.6052038024264089,
B2,73101,selected,standard,0.6052038024264088,
B2,73101,fixed512,PRIMARY,0.6023756622277516,
B2,73101,fixed512,standard,0.6023756622277516,
B3,73101,selected,PRIMARY,0.6050678091719675,
B3,73101,selected,standard,0.6050678091719675,
B3,73101,fixed512,PRIMARY,0.602787651512791,
B3,73101,fixed512,standard,0.6027876515127909,
B0,73102,selected,PRIMARY,0.6088993756964942,
B0,73102,selected,standard,0.6088993756964943,
B0,73102,fixed512,PRIMARY,0.6033605813306342,
B0,73102,fixed512,standard,0.6033605813306342,
B1,73102,selected,PRIMARY,0.565769893815912,
B1,73102,selected,standard,0.565769893815912,
B1,73102,fixed512,PRIMARY,0.5721499402482774,
B1,73102,fixed512,standard,0.5721499402482774,
B2,73102,selected,PRIMARY,0.6033787400630806,
B2,73102,selected,standard,0.6033787400630806,
B2,73102,fixed512,PRIMARY,0.6040166589495195,
B2,73102,fixed512,standard,0.6040166589495196,
B3,73102,selected,PRIMARY,0.6033507924395259,
B3,73102,selected,standard,0.6033507924395259,
B3,73102,fixed512,PRIMARY,0.6040767864650488,
B3,73102,fixed512,standard,0.6040767864650488,
BLEND,73101,selected,PRIMARY,0.6088993756964942,
BLEND,73101,selected,standard,0.6088993756964943,
RETRIEVAL_MEAN,73101,selected,PRIMARY,1.6578426720752415,
RETRIEVAL_MEAN,73101,selected,standard,1.6578426720752415,
BLEND,73102,selected,PRIMARY,0.6088993756964942,
BLEND,73102,selected,standard,0.6088993756964943,
RETRIEVAL_MEAN,73102,selected,PRIMARY,1.6578426720752415,
RETRIEVAL_MEAN,73102,selected,standard,1.6578426720752415,
