arm,seed,policy,condition,channel,origin,normalized_MSE,raw_MAE
B0,73101,selected,standard,0,14039,0.09432889443550473,0.006833450733621915
B0,73101,selected,standard,0,14064,0.08519338570905545,0.005371380111699302
B0,73101,selected,standard,0,14136,0.002335528089599427,0.0019428619512667266
B0,73101,selected,standard,0,14185,0.9958894688537119,0.014199969033276041
B0,73101,selected,standard,0,14233,0.8883327791414078,0.02023642093433688
B0,73101,selected,standard,0,14305,0.00411462026841763,0.0025375463912263507
B0,73101,selected,standard,0,14354,0.8289427978795246,0.015217922769486905
B0,73101,selected,standard,0,14402,1.2803897321054023,0.02451623002992322
B0,73101,selected,standard,0,14451,0.332126154869033,0.0125737532718728
B0,73101,selected,standard,0,14523,0.10430595978314246,0.009083298969641329
B0,73101,selected,standard,0,14571,0.3085953084142208,0.012153281305792433
B0,73101,selected,standard,0,14620,0.03702562603031561,0.00447391919704775
B0,73101,selected,standard,0,14692,1.1987286603143932,0.02185508760722975
B0,73101,selected,standard,0,14740,0.6300672837382991,0.01708152962438762
B0,73101,selected,standard,0,14789,0.4943617065921544,0.015003401560770966
B0,73101,selected,standard,0,14861,0.074845256203574,0.0061048185365895425
B0,73101,selected,standard,0,14910,0.027581893545854688,0.004564080840225023
B0,73101,selected,standard,0,14958,0.4143083567869328,0.013040827910664179
B0,73101,selected,standard,0,15006,0.0036390517735226495,0.002814059781779845
B0,73101,selected,standard,0,15079,0.05924355099962907,0.0055332103872671725
B0,73101,selected,standard,0,15127,0.2150846824012369,0.009389338330179456
B0,73101,selected,standard,0,15175,0.0022331579495734467,0.002149919445936878
B0,73101,selected,standard,0,15248,0.12443336591967295,0.00863846067575117
B0,73101,selected,standard,0,15296,0.02557675443525238,0.004317105504932503
B0,73101,selected,standard,0,15345,0.3179843715473497,0.010893132846740386
B0,73101,selected,standard,0,15417,0.09938604147455565,0.008741916417206327
B0,73101,selected,standard,0,15465,0.0766308227903716,0.006640671448471645
B0,73101,selected,standard,0,15514,0.4798563959144743,0.013046065741280713
B0,73101,selected,standard,0,15562,0.15186601123967317,0.010808860545853774
B0,73101,selected,standard,0,15634,1.4759231199960308,0.02254966908066223
B0,73101,selected,standard,0,15683,0.15003405269774936,0.0075009557867422695
B0,73101,selected,standard,0,15731,0.7658843796910894,0.018873203767836095
B0,73101,selected,standard,0,15804,0.2677410464692905,0.010419937782610458
B0,73101,selected,standard,0,15852,0.3377047904968428,0.011449458204271892
B0,73101,selected,standard,0,15900,0.8562769308500183,0.02046805239456395
B0,73101,selected,standard,0,15973,0.3130283016156475,0.018366725437591474
B0,73101,selected,standard,0,16021,0.11782980005580257,0.015161267134919762
B0,73101,selected,standard,0,16069,0.2523619772430939,0.016030109765132267
B0,73101,selected,standard,0,16118,0.8787675124891896,0.025862749338087937
B0,73101,selected,standard,0,16190,0.7249481548640797,0.0195927694933489
B0,73101,selected,standard,0,16239,1.4494357188997908,0.03275575614720583
B0,73101,selected,standard,0,16287,0.3741173119491949,0.014882822647442423
B0,73101,selected,standard,0,16359,0.2901580757249002,0.011615078276519974
B0,73101,selected,standard,0,16408,0.07551198802505048,0.0063972806800156835
B0,73101,selected,standard,0,16456,1.0596407452246677,0.0216929453993837
B0,73101,selected,standard,0,16528,0.011352300426196177,0.004045397045214971
B0,73101,selected,standard,0,16577,2.357863888721335,0.03569303211296599
B0,73101,selected,standard,0,16625,0.27560440999619634,0.019307446222814422
B0,73101,selected,standard,0,16674,0.0039599708891822705,0.003002037183319529
B0,73101,selected,standard,0,16746,0.22764999833090485,0.010584403166609508
B0,73101,selected,standard,0,16794,0.7148632399947675,0.018115390829866133
