arm,seed,policy,condition,channel,normalized_RMSE,raw_RMSE,raw_MAE
B0,73101,selected,standard,0,0.6301080021097463,0.03878813382123892,0.012072730227872188
B0,73101,selected,standard,1,0.5266757183324717,0.026383576275078847,0.009427003041261922
B0,73101,selected,standard,2,0.5324350647562454,0.043473536000103716,0.02588878029536378
B0,73101,selected,standard,3,0.7463787175875137,0.027023773135006132,0.010208839524022188
B0,73101,fixed512,standard,0,0.6386023759846426,0.039311029752545835,0.012857685034665821
B0,73101,fixed512,standard,1,0.5008987426443252,0.02509229061193432,0.009711376696299219
B0,73101,fixed512,standard,2,0.53136655777866,0.0433862919780037,0.026655863964988386
B0,73101,fixed512,standard,3,0.7682217848317796,0.02781463450319957,0.011100313973680024
B1,73101,selected,standard,0,0.6018099015153192,0.037046161795699806,0.011378520834176259
B1,73101,selected,standard,1,0.474643011993484,0.023777021940582538,0.008805097964826078
B1,73101,selected,standard,2,0.5016189909838985,0.040957391250814344,0.024300460881518663
B1,73101,selected,standard,3,0.6900648969894684,0.024984845876836317,0.009368774819127672
B1,73101,fixed512,standard,0,0.6084992880816986,0.03745794647459606,0.011724408864943933
B1,73101,fixed512,standard,1,0.4863411635269459,0.024363035425764113,0.008853917453968704
B1,73101,fixed512,standard,2,0.49996115933648144,0.040822028633705175,0.02465977868826594
B1,73101,fixed512,standard,3,0.6886357842553444,0.02493310268346641,0.009462297778497062
B2,73101,selected,standard,0,0.6172540029653218,0.037996868455170474,0.012264205316840283
B2,73101,selected,standard,1,0.5285775335319182,0.02647884682701271,0.01010466811748338
B2,73101,selected,standard,2,0.5313213546786472,0.04338260112680737,0.026292427823715842
B2,73101,selected,standard,3,0.7436623185297483,0.026925421788496055,0.01050841673502679
B2,73101,fixed512,standard,0,0.6114423029053849,0.0376391123262228,0.012244268531182509
B2,73101,fixed512,standard,1,0.5288906762995165,0.02649453356898,0.010192588477897032
B2,73101,fixed512,standard,2,0.5330994766740683,0.04352778549894467,0.026625384690135253
B2,73101,fixed512,standard,3,0.7360701930320369,0.026650537373616428,0.01060246213489445
B3,73101,selected,standard,0,0.6172485790367371,0.037996534569444414,0.012266109842046473
B3,73101,selected,standard,1,0.5284589318312949,0.026472905529728957,0.010104002950619905
B3,73101,selected,standard,2,0.5312085991595096,0.04337339459356996,0.026290055465414963
B3,73101,selected,standard,3,0.7433551266603281,0.026914299441097186,0.010506272873918837
B3,73101,fixed512,standard,0,0.6122008348751748,0.037685805971523906,0.012267318543844158
B3,73101,fixed512,standard,1,0.5295897564070183,0.02652955366331255,0.01020730828905944
B3,73101,fixed512,standard,2,0.5334298511500449,0.04355476070705096,0.02664471974276239
B3,73101,fixed512,standard,3,0.7359301636189253,0.026645467396401126,0.010608797547888632
B0,73102,selected,standard,0,0.6301080021097463,0.03878813382123892,0.012072730227872188
B0,73102,selected,standard,1,0.5266757183324717,0.026383576275078847,0.009427003041261922
B0,73102,selected,standard,2,0.5324350647562454,0.043473536000103716,0.02588878029536378
B0,73102,selected,standard,3,0.7463787175875137,0.027023773135006132,0.010208839524022188
B0,73102,fixed512,standard,0,0.6447668518824605,0.03969050202596844,0.01308427989234139
B0,73102,fixed512,standard,1,0.5024321024705947,0.025169103562532477,0.009735045078176578
B0,73102,fixed512,standard,2,0.5295274402719287,0.04323612729797101,0.026793909666374866
B0,73102,fixed512,standard,3,0.7367159306975533,0.026673917284868516,0.010839299670330366
B1,73102,selected,standard,0,0.5992790232942666,0.036890366213363515,0.011444467253830711
B1,73102,selected,standard,1,0.4730091590173258,0.023695174832165964,0.00883552353917233
B1,73102,selected,standard,2,0.5015592645301798,0.0409525145619789,0.02435333720324173
B1,73102,selected,standard,3,0.6892321284218758,0.024954694228196968,0.00938769766301945
B1,73102,fixed512,standard,0,0.6121758428323621,0.03768426751351696,0.011879981720827831
B1,73102,fixed512,standard,1,0.48482220854500435,0.024286944079173558,0.008742918167077974
B1,73102,fixed512,standard,2,0.49976916448595726,0.040806352177366,0.02462741224011794
B1,73102,fixed512,standard,3,0.6918325451297856,0.025048846257877257,0.009423442387928178
B2,73102,selected,standard,0,0.6165338155677129,0.037952535221722726,0.01223062577310969
B2,73102,selected,standard,1,0.5261226199301651,0.026355869066682976,0.010053695018714644
B2,73102,selected,standard,2,0.5298808491208202,0.043264983271839065,0.026196486248516403
B2,73102,selected,standard,3,0.7409776756336239,0.02682822022196711,0.01045089593103136
B2,73102,fixed512,standard,0,0.6176556633100477,0.038021593827883955,0.012498362793628865
B2,73102,fixed512,standard,1,0.5274644593143769,0.026423087889404378,0.010149269911366476
B2,73102,fixed512,standard,2,0.5342596114246495,0.04362251096535897,0.026774640172946965
B2,73102,fixed512,standard,3,0.7366869017490041,0.026672866247772393,0.01058565571740522
B3,73102,selected,standard,0,0.6165215107987334,0.03795177776581958,0.012230093239361304
B3,73102,selected,standard,1,0.5260995063320991,0.026354711201688755,0.010052196014248572
B3,73102,selected,standard,2,0.5298565343340195,0.043262997959771385,0.02619670146734182
B3,73102,selected,standard,3,0.7409256182932515,0.026826335407029216,0.010448760104825488
B3,73102,fixed512,standard,0,0.6177227274446264,0.038025722156072035,0.012506085176743606
B3,73102,fixed512,standard,1,0.527717245586367,0.026435751100667395,0.010156670679230593
B3,73102,fixed512,standard,2,0.5343592816935887,0.043630649082683846,0.02677284781738611
B3,73102,fixed512,standard,3,0.7365078911356129,0.02666638489709739,0.01058882862131965
BLEND,73101,selected,standard,0,0.6301080021097463,0.03878813382123892,0.012072730227872188
BLEND,73101,selected,standard,1,0.5266757183324717,0.026383576275078847,0.009427003041261922
BLEND,73101,selected,standard,2,0.5324350647562454,0.043473536000103716,0.02588878029536378
BLEND,73101,selected,standard,3,0.7463787175875137,0.027023773135006132,0.010208839524022188
RETRIEVAL_MEAN,73101,selected,standard,0,2.2444176725582876,0.138161668701966,0.07899946534792908
RETRIEVAL_MEAN,73101,selected,standard,1,1.4864088838665497,0.07446096487533864,0.04650470153246875
RETRIEVAL_MEAN,73101,selected,standard,2,1.3365871548550154,0.1091328758004835,0.0860114854784149
RETRIEVAL_MEAN,73101,selected,standard,3,1.5639569770211135,0.05662543363580442,0.040142138912403605
BLEND,73102,selected,standard,0,0.6301080021097463,0.03878813382123892,0.012072730227872188
BLEND,73102,selected,standard,1,0.5266757183324717,0.026383576275078847,0.009427003041261922
BLEND,73102,selected,standard,2,0.5324350647562454,0.043473536000103716,0.02588878029536378
BLEND,73102,selected,standard,3,0.7463787175875137,0.027023773135006132,0.010208839524022188
RETRIEVAL_MEAN,73102,selected,standard,0,2.2444176725582876,0.138161668701966,0.07899946534792908
RETRIEVAL_MEAN,73102,selected,standard,1,1.4864088838665497,0.07446096487533864,0.04650470153246875
RETRIEVAL_MEAN,73102,selected,standard,2,1.3365871548550154,0.1091328758004835,0.0860114854784149
RETRIEVAL_MEAN,73102,selected,standard,3,1.5639569770211135,0.05662543363580442,0.040142138912403605
