id,unique_origins,each_occurrences,total_updates,contaminated_updates,clip_fraction
B0_73100_1e-04,64,8,512,0,0.1796875
B0_73100_3e-05,64,8,512,0,0.212890625
B1_73100_1e-04,64,8,512,0,0.21875
B1_73100_3e-05,64,8,512,0,0.216796875
B2_73100_1e-04,64,8,512,0,0.169921875
B2_73100_3e-05,64,8,512,0,0.185546875
B3_73100_1e-04,64,8,512,0,0.166015625
B3_73100_3e-05,64,8,512,0,0.193359375
B0_73101_1e-04,64,8,512,0,0.197265625
B1_73101_3e-05,64,8,512,0,0.21875
B2_73101_3e-05,64,8,512,0,0.205078125
B3_73101_3e-05,64,8,512,0,0.20703125
B0_73102_1e-04,64,8,512,0,0.177734375
B1_73102_3e-05,64,8,512,0,0.220703125
B2_73102_3e-05,64,8,512,0,0.189453125
B3_73102_3e-05,64,8,512,0,0.193359375
