arm,seed,comparison,method_score,baseline_score,gain_percent,ci_low,ci_high
B0,73101,NEW_vs_OLD_WEIGHTS_ON_NEW_E,0.6088993756964942,0.6307324490647213,3.4615427509084262,1.7382412978226642,5.259975237945293
B0,73101,NEW_vs_OLD_WEIGHTS_ON_OLD_E,0.37589590992741445,0.37128960374592684,-1.240623528107105,-4.974846629439294,7.021104131253439
B0,73102,NEW_vs_OLD_WEIGHTS_ON_NEW_E,0.6088993756964942,0.6310256422319294,3.5063973719316435,1.6369941219346136,5.352958909933863
B0,73102,NEW_vs_OLD_WEIGHTS_ON_OLD_E,0.37589590992741445,0.3719578570632295,-1.0587363028913077,-3.184262048779254,6.429991558308411
B1,73101,NEW_vs_OLD_WEIGHTS_ON_NEW_E,0.5670342003705426,0.6162971224523501,7.993372074460128,4.312974763356831,11.274541650028311
B1,73101,NEW_vs_OLD_WEIGHTS_ON_OLD_E,0.39808301347722047,0.37489282463288365,-6.185818271407562,-22.118889738626166,7.072782698535168
B1,73102,NEW_vs_OLD_WEIGHTS_ON_NEW_E,0.5657698938159119,0.5944082946124917,4.817967894484006,2.723645742640423,6.715957020103918
B1,73102,NEW_vs_OLD_WEIGHTS_ON_OLD_E,0.3936329356154766,0.38219951537850577,-2.9914795223243233,-7.689005943715821,0.5828891403459286
B2,73101,NEW_vs_OLD_WEIGHTS_ON_NEW_E,0.6052038024264088,0.6681285957927965,9.418066187052146,6.4990130963403185,12.300826604169439
B2,73101,NEW_vs_OLD_WEIGHTS_ON_OLD_E,0.39726481748641995,0.375119284314385,-5.903597628287995,-15.386599992541717,3.347270866139493
B2,73102,NEW_vs_OLD_WEIGHTS_ON_NEW_E,0.6033787400630806,0.656611073044786,8.107132999579283,5.471992799425184,10.58394245373043
B2,73102,NEW_vs_OLD_WEIGHTS_ON_OLD_E,0.393433084645568,0.3846701686717696,-2.278033673382028,-6.8547980068153915,7.732448546500506
B3,73101,NEW_vs_OLD_WEIGHTS_ON_NEW_E,0.6050678091719675,0.6398567134510342,5.436983553932663,2.7819792206648772,7.9173159362498735
B3,73101,NEW_vs_OLD_WEIGHTS_ON_OLD_E,0.39707356694646656,0.38535838549455903,-3.0400743549079823,-8.36322395092677,5.346892811181571
B3,73102,NEW_vs_OLD_WEIGHTS_ON_NEW_E,0.6033507924395258,0.6399607887915796,5.720662420768529,3.3021297584916187,8.01790832584832
B3,73102,NEW_vs_OLD_WEIGHTS_ON_OLD_E,0.39319723427956643,0.38972077758165574,-0.89203781216984,-2.6559436267234986,6.711385920481201
