arm,buffers_unchanged,frozen_unchanged,id,initial_lora_hash,lr,optimizer_seconds,peak_allocated_bytes,peak_reserved_bytes,seconds,seed,started_at,status,trainable_parameters,updates
B0,True,True,B0_73100_1e-04,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,0.0001,48.24654717094381,634260480,645922816,60.479010598006425,73100,1789602478.0703118,COMPLETE,1179648,512
B0,True,True,B0_73100_3e-05,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,3e-05,48.52405678876676,633457664,650117120,59.95027247397229,73100,1789602539.6494575,COMPLETE,1179648,512
B1,True,True,B1_73100_1e-04,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,0.0001,49.009117034380324,821782016,845152256,61.45144445099868,73100,1789602600.7481709,COMPLETE,1179648,512
B1,True,True,B1_73100_3e-05,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,3e-05,49.067341405927436,821782016,845152256,60.49234401798458,73100,1789602663.3231804,COMPLETE,1179648,512
B2,True,True,B2_73100_1e-04,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,0.0001,49.11866456919233,780150784,822083584,61.52955252499669,73100,1789602724.9195051,COMPLETE,1179648,512
B2,True,True,B2_73100_3e-05,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,3e-05,48.86913037500926,780150784,822083584,60.33869200700428,73100,1789602787.5642126,COMPLETE,1179648,512
B3,True,True,B3_73100_1e-04,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,0.0001,50.074882382759824,781526016,822083584,62.89197575999424,73100,1789602849.068802,COMPLETE,1179656,512
B3,True,True,B3_73100_3e-05,abb6e515ed29207a41019264de502dbf268fcb0c983b289038f3b43069dcca7e,3e-05,50.262072744895704,781526016,822083584,62.02131628699135,73100,1789602913.1251493,COMPLETE,1179656,512
B0,True,True,B0_73101_1e-04,297d30a36576bebace5f8baa8420b9eb9bd3033cc56b787dae8754d63663bbcd,0.0001,48.07976926770061,633457664,650117120,60.36767743201926,73101,1789603500.4930046,COMPLETE,1179648,512
B1,True,True,B1_73101_3e-05,297d30a36576bebace5f8baa8420b9eb9bd3033cc56b787dae8754d63663bbcd,3e-05,47.91998989958665,821782016,845152256,60.077446554991184,73101,1789603561.9128602,COMPLETE,1179648,512
B2,True,True,B2_73101_3e-05,297d30a36576bebace5f8baa8420b9eb9bd3033cc56b787dae8754d63663bbcd,3e-05,48.18854537740117,780150784,822083584,60.56164008600172,73101,1789603623.1250134,COMPLETE,1179648,512
B3,True,True,B3_73101_3e-05,297d30a36576bebace5f8baa8420b9eb9bd3033cc56b787dae8754d63663bbcd,3e-05,49.96027902633068,781526016,822083584,62.775804960983805,73101,1789603684.7613003,COMPLETE,1179656,512
B0,True,True,B0_73102_1e-04,4fa9669a773f9f147174688e7a3778e96c97f04d54a8f8c8e422295111950a15,0.0001,48.58818376707495,633457664,650117120,61.06288186501479,73102,1789603748.6506095,COMPLETE,1179648,512
B1,True,True,B1_73102_3e-05,4fa9669a773f9f147174688e7a3778e96c97f04d54a8f8c8e422295111950a15,3e-05,49.19887967090472,821782016,845152256,61.76454039599048,73102,1789603810.8596723,COMPLETE,1179648,512
B2,True,True,B2_73102_3e-05,4fa9669a773f9f147174688e7a3778e96c97f04d54a8f8c8e422295111950a15,3e-05,49.27765993771027,780150784,822083584,61.900615322985686,73102,1789603873.7286375,COMPLETE,1179648,512
B3,True,True,B3_73102_3e-05,4fa9669a773f9f147174688e7a3778e96c97f04d54a8f8c8e422295111950a15,3e-05,52.56641870603198,781526016,822083584,66.35482558401418,73102,1789603936.7643714,COMPLETE,1179656,512
