arm,updates,clip_fraction,contaminated_updates,minimum_free_MiB,gradient_norm_median,a_nonzero_gradient_fraction,b_nonzero_gradient_fraction,a_saturation_mean
B0,2048,0.19189453125,0,8034,0.4983537048101425,,,
B1,2048,0.21875,0,7902,0.48512768745422363,,,
B2,2048,0.1875,0,7920,0.5012916922569275,,,
B3,2048,0.18994140625,0,7895,0.5002192705869675,1.0,1.0,0.0
