view,arm,panel,kind,stage,seed,crossing_pairs,total_pairs,crossing_fraction
electricity__shape__B0__s81551__fixed1024,B0,electricity,shape,fixed1024,81551,322,2359296,0.00013648139105902778
electricity__shape__B0__s81551__selected,B0,electricity,shape,selected,81551,322,2359296,0.00013648139105902778
electricity__shape__B0__s81552__fixed1024,B0,electricity,shape,fixed1024,81552,970,2359296,0.00041113959418402775
electricity__shape__B0__s81552__selected,B0,electricity,shape,selected,81552,970,2359296,0.00041113959418402775
electricity__shape__C3__s81551__fixed1024,C3,electricity,shape,fixed1024,81551,1433,2359296,0.0006073845757378472
electricity__shape__C3__s81551__selected,C3,electricity,shape,selected,81551,1288,2359296,0.0005459255642361111
electricity__shape__C3__s81552__fixed1024,C3,electricity,shape,fixed1024,81552,2783,2359296,0.0011795891655815972
electricity__shape__C3__s81552__selected,C3,electricity,shape,selected,81552,2840,2359296,0.0012037489149305555
electricity__shape__DELTA_XY_BUDGET__s81551__fixed1024,DELTA_XY_BUDGET,electricity,shape,fixed1024,81551,455,2359296,0.00019285413953993056
electricity__shape__DELTA_XY_BUDGET__s81551__selected,DELTA_XY_BUDGET,electricity,shape,selected,81551,185,2359296,7.841322157118056e-05
electricity__shape__DELTA_XY_BUDGET__s81552__fixed1024,DELTA_XY_BUDGET,electricity,shape,fixed1024,81552,182,2359296,7.714165581597222e-05
electricity__shape__DELTA_XY_BUDGET__s81552__selected,DELTA_XY_BUDGET,electricity,shape,selected,81552,182,2359296,7.714165581597222e-05
electricity__shape__DELTA_XY_DEFAULT__s81551__fixed1024,DELTA_XY_DEFAULT,electricity,shape,fixed1024,81551,260,2359296,0.00011020236545138889
electricity__shape__DELTA_XY_DEFAULT__s81551__selected,DELTA_XY_DEFAULT,electricity,shape,selected,81551,164,2359296,6.951226128472222e-05
electricity__shape__DELTA_XY_DEFAULT__s81552__fixed1024,DELTA_XY_DEFAULT,electricity,shape,fixed1024,81552,346,2359296,0.00014665391710069444
electricity__shape__DELTA_XY_DEFAULT__s81552__selected,DELTA_XY_DEFAULT,electricity,shape,selected,81552,346,2359296,0.00014665391710069444
