panel,kind,stage,condition,seed,proposed,baseline,proposed_nmae,baseline_nmae,gain_pct
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,81551,C3,B0,0.2054921451960412,0.2114207846374824,2.8041894989685567
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,81551,C3,PLAIN,0.2054921451960412,0.2088059125347873,1.5870083842544624
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,81551,C3,MAG_ONLY,0.2054921451960412,0.2055848188661604,0.04507807075946335
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,81551,C3,DELTA_XY_BUDGET,0.2054921451960412,0.2105255875351958,2.3908933816955136
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,81551,C3,DELTA_XY_DEFAULT,0.2054921451960412,0.2214519984982277,7.206913195824793
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,81551,MAG_ONLY,B0,0.2055848188661604,0.2114207846374824,2.760355743324283
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,81551,MAG_ONLY,PLAIN,0.2055848188661604,0.2088059125347873,1.5426256993993248
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,81551,MAG_ONLY,C3,0.2055848188661604,0.2054921451960412,-0.04509840024824463
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,81551,MAG_ONLY,DELTA_XY_BUDGET,0.2055848188661604,0.2105255875351958,2.3468732361140665
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,81551,MAG_ONLY,DELTA_XY_DEFAULT,0.2055848188661604,0.2214519984982277,7.165064998135151
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,81552,C3,B0,0.2059484875841876,0.2143870549534957,3.936136615682584
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,81552,C3,PLAIN,0.2059484875841876,0.2101600645460429,2.003985377028006
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,81552,C3,MAG_ONLY,0.2059484875841876,0.2058889032308448,-0.028940050875880807
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,81552,C3,DELTA_XY_BUDGET,0.2059484875841876,0.2118774937188657,2.7983180424746346
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,81552,C3,DELTA_XY_DEFAULT,0.2059484875841876,0.215845615072349,4.585280773410194
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,81552,MAG_ONLY,B0,0.2058889032308448,0.2143870549534957,3.9639295033435107
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,81552,MAG_ONLY,PLAIN,0.2058889032308448,0.2101600645460429,2.0323372684644236
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,81552,MAG_ONLY,C3,0.2058889032308448,0.2059484875841876,0.028931678033539132
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,81552,MAG_ONLY,DELTA_XY_BUDGET,0.2058889032308448,0.2118774937188657,2.826440120141771
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,81552,MAG_ONLY,DELTA_XY_DEFAULT,0.2058889032308448,0.215845615072349,4.612885852773441
electricity,shape,fixed1024,PULSE8_D32,81551,C3,B0,2.9864796282574626,2.993564815341061,0.23668059723608303
electricity,shape,fixed1024,PULSE8_D32,81551,C3,PLAIN,2.9864796282574626,2.965597166711496,-0.7041570507407391
electricity,shape,fixed1024,PULSE8_D32,81551,C3,MAG_ONLY,2.9864796282574626,2.985563775685048,-0.030676034451970757
electricity,shape,fixed1024,PULSE8_D32,81551,C3,DELTA_XY_BUDGET,2.9864796282574626,2.991780878723189,0.17719380799000595
electricity,shape,fixed1024,PULSE8_D32,81551,C3,DELTA_XY_DEFAULT,2.9864796282574626,2.949818252308633,-1.2428350770470997
electricity,shape,fixed1024,PULSE8_D32,81551,MAG_ONLY,B0,2.985563775685048,2.993564815341061,0.26727464242665144
electricity,shape,fixed1024,PULSE8_D32,81551,MAG_ONLY,PLAIN,2.985563775685048,2.965597166711496,-0.6732744823766179
electricity,shape,fixed1024,PULSE8_D32,81551,MAG_ONLY,C3,2.985563775685048,2.9864796282574626,0.030666627146858083
electricity,shape,fixed1024,PULSE8_D32,81551,MAG_ONLY,DELTA_XY_BUDGET,2.985563775685048,2.991780878723189,0.2078060957724448
electricity,shape,fixed1024,PULSE8_D32,81551,MAG_ONLY,DELTA_XY_DEFAULT,2.985563775685048,2.949818252308633,-1.211787314301116
electricity,shape,fixed1024,PULSE8_D32,81552,C3,B0,2.979466104922773,2.9513351355726445,-0.9531607919095464
electricity,shape,fixed1024,PULSE8_D32,81552,C3,PLAIN,2.979466104922773,2.9610386759809084,-0.6223298969832092
electricity,shape,fixed1024,PULSE8_D32,81552,C3,MAG_ONLY,2.979466104922773,2.980330714815212,0.029010535244988755
electricity,shape,fixed1024,PULSE8_D32,81552,C3,DELTA_XY_BUDGET,2.979466104922773,2.9598927272284272,-0.6612867255048727
electricity,shape,fixed1024,PULSE8_D32,81552,C3,DELTA_XY_DEFAULT,2.979466104922773,2.947042506706737,-1.1002080269371106
electricity,shape,fixed1024,PULSE8_D32,81552,MAG_ONLY,B0,2.980330714815212,2.9513351355726445,-0.9824563429981836
electricity,shape,fixed1024,PULSE8_D32,81552,MAG_ONLY,PLAIN,2.980330714815212,2.9610386759809084,-0.651529444407295
electricity,shape,fixed1024,PULSE8_D32,81552,MAG_ONLY,C3,2.980330714815212,2.979466104922773,-0.029018953798809477
electricity,shape,fixed1024,PULSE8_D32,81552,MAG_ONLY,DELTA_XY_BUDGET,2.980330714815212,2.9598927272284272,-0.6904975777930478
electricity,shape,fixed1024,PULSE8_D32,81552,MAG_ONLY,DELTA_XY_DEFAULT,2.980330714815212,2.947042506706737,-1.129546249594937
