source,arm,seed,updates,selected_step,parameters,optimizer_seconds,peak_allocated_MiB,receipt
electricity,PLAIN,81551,1024,512,8712,31.345702237566,362.10888671875,results/additive_b0_adapter_v1_20260917/fits/electricity_C2_s81551_lr0.0003/receipt.json
electricity,PLAIN,81552,1024,1024,8712,31.46485033648787,362.10888671875,results/additive_b0_adapter_v1_20260917/fits/electricity_C2_s81552_lr0.0003/receipt.json
electricity,C3,81551,1024,768,8712,31.992915774229914,362.10888671875,results/additive_b0_adapter_v1_20260917/fits/electricity_C3_s81551_lr0.0003/receipt.json
electricity,C3,81552,1024,768,8712,32.09648345259484,362.10888671875,results/additive_b0_adapter_v1_20260917/fits/electricity_C3_s81552_lr0.0003/receipt.json
electricity,MAG_ONLY,81551,1024,768,8712,34.7462443561526,362.10888671875,results/c3_weakness_controls_20260918/fits/electricity_MAG_ONLY_s81551_lr0.0003/receipt.json
electricity,MAG_ONLY,81552,1024,768,8712,35.934418925025966,362.10888671875,results/c3_weakness_controls_20260918/fits/electricity_MAG_ONLY_s81552_lr0.0003/receipt.json
electricity,DELTA_XY_BUDGET,81551,1024,768,8766,35.77651910553686,366.43505859375,results/delta_adapter_comparison_20260919/fits/electricity_DELTA_XY_BUDGET_s81551_lr0.0003/receipt.json
electricity,DELTA_XY_BUDGET,81552,1024,1024,8766,35.86941475153435,366.43505859375,results/delta_adapter_comparison_20260919/fits/electricity_DELTA_XY_BUDGET_s81552_lr0.0003/receipt.json
electricity,DELTA_XY_DEFAULT,81551,1024,256,1116736,36.03284483903553,379.35205078125,results/delta_adapter_comparison_20260919/fits/electricity_DELTA_XY_DEFAULT_s81551_lr0.0001/receipt.json
electricity,DELTA_XY_DEFAULT,81552,1024,1024,1116736,35.95148001710186,379.35205078125,results/delta_adapter_comparison_20260919/fits/electricity_DELTA_XY_DEFAULT_s81552_lr0.0001/receipt.json
ettm1,PLAIN,81551,1024,0,8712,31.45156044216128,362.10888671875,results/additive_b0_adapter_v1_20260917/fits/ettm1_C2_s81551_lr0.0003/receipt.json
ettm1,PLAIN,81552,1024,1024,8712,31.5385051179328,362.10888671875,results/additive_b0_adapter_v1_20260917/fits/ettm1_C2_s81552_lr0.0003/receipt.json
ettm1,C3,81551,1024,0,8712,31.989233240892645,362.10888671875,results/additive_b0_adapter_v1_20260917/fits/ettm1_C3_s81551_lr0.0001/receipt.json
ettm1,C3,81552,1024,1024,8712,32.05378201336134,362.10888671875,results/additive_b0_adapter_v1_20260917/fits/ettm1_C3_s81552_lr0.0001/receipt.json
ettm1,MAG_ONLY,81551,1024,0,8712,34.53590242599603,362.10888671875,results/c3_weakness_controls_20260918/fits/ettm1_MAG_ONLY_s81551_lr0.0001/receipt.json
ettm1,MAG_ONLY,81552,1024,0,8712,34.23901891260175,362.10888671875,results/c3_weakness_controls_20260918/fits/ettm1_MAG_ONLY_s81552_lr0.0001/receipt.json
ettm1,DELTA_XY_BUDGET,81551,1024,768,8766,35.84749942616327,366.43505859375,results/delta_adapter_comparison_20260919/fits/ettm1_DELTA_XY_BUDGET_s81551_lr0.0001/receipt.json
ettm1,DELTA_XY_BUDGET,81552,1024,512,8766,35.533355539431795,366.43505859375,results/delta_adapter_comparison_20260919/fits/ettm1_DELTA_XY_BUDGET_s81552_lr0.0001/receipt.json
ettm1,DELTA_XY_DEFAULT,81551,1024,0,1116736,35.73308309033746,379.35205078125,results/delta_adapter_comparison_20260919/fits/ettm1_DELTA_XY_DEFAULT_s81551_lr0.0001/receipt.json
ettm1,DELTA_XY_DEFAULT,81552,1024,0,1116736,36.03515676490497,379.35205078125,results/delta_adapter_comparison_20260919/fits/ettm1_DELTA_XY_DEFAULT_s81552_lr0.0001/receipt.json
