source,layer,arm,rank,holdout_direction_inner,holdout_direction_cosine,direction_defined,update_squared_norm,holdout_gradient_squared_norm,calibration_projection_energy,min_eigenvalue,eighth_eigenvalue,positive_eigenvalues
electricity,encoder.block.0.layer.0.SelfAttention.q,RANDOM_ORTHO,8,4.147176015082103e-09,0.018683445222455266,True,3.5825788473927346e-08,1.3752930642100172e-06,3.5825788473927346e-08,,,
electricity,encoder.block.0.layer.0.SelfAttention.q,MEAN_SVD,8,5.842635739428764e-07,0.3037749833807042,True,2.6897898942228265e-06,1.3752930642100172e-06,2.689789894222824e-06,-3.4951785154827414e-23,4.6952134334329945e-08,465.0
electricity,encoder.block.0.layer.0.SelfAttention.q,SECOND_MOMENT,8,4.5738024241867167e-07,0.24829073422622414,True,2.467394102628018e-06,1.3752930642100172e-06,2.4673941026280185e-06,-1.2395071053707696e-22,6.358529394277499e-07,508.0
electricity,encoder.block.0.layer.0.SelfAttention.q,CROSS_BLOCK,8,5.193172480829833e-07,0.28530690432255107,True,2.409049247355426e-06,1.3752930642100172e-06,2.4090492473554283e-06,-3.2073408245482914e-07,6.1126263127835055e-09,67.0
electricity,encoder.block.0.layer.0.SelfAttention.q,FULL_GRADIENT,512,5.958485049725273e-07,0.30103665539262153,True,2.8486408301456226e-06,1.3752930642100172e-06,2.8486408301456226e-06,,,
electricity,encoder.block.0.layer.0.SelfAttention.v,RANDOM_ORTHO,8,2.8283264217105693e-07,0.03271901518946661,True,1.0739530518063155e-06,6.957822064058164e-05,1.0739530518063153e-06,,,
electricity,encoder.block.0.layer.0.SelfAttention.v,MEAN_SVD,8,1.2272469106052113e-05,0.19806622309895786,True,5.517848048098394e-05,6.957822064058164e-05,5.517848048098397e-05,-4.388328130265498e-22,2.2354343545062107e-06,496.0
electricity,encoder.block.0.layer.0.SelfAttention.v,SECOND_MOMENT,8,1.1420785824186486e-05,0.18893141927316506,True,5.251825435446562e-05,6.957822064058164e-05,5.251825435446558e-05,-2.201392659389124e-21,2.416773656160761e-05,510.0
electricity,encoder.block.0.layer.0.SelfAttention.v,CROSS_BLOCK,8,1.1250525735607786e-05,0.19415972035415127,True,4.8256302373092805e-05,6.957822064058164e-05,4.8256302373092785e-05,-2.545320696342236e-06,3.548219620981452e-07,118.0
electricity,encoder.block.0.layer.0.SelfAttention.v,FULL_GRADIENT,512,1.2974768908074982e-05,0.19052320053937524,True,6.665461247035051e-05,6.957822064058164e-05,6.665461247035051e-05,,,
