panel,baseline,fault_share_among_nonshift,benefit_at_w0,benefit_at_w1,crossover_shift_share,synthetic_sensitivity_not_prevalence_estimate
electricity,C0,0.0,-0.00038519032481398874,0.006652735816686989,0.05473065745072443,True
electricity,C0,0.1,-0.00041094246973311934,0.006652735816686989,0.058176838336926315,True
electricity,C0,0.5,-0.0005139510494096416,0.006652735816686989,0.07171389779020267,True
electricity,C0,1.0,-0.0006427117740052946,0.006652735816686989,0.0880976480216625,True
electricity,C2,0.0,-0.00015750186309440584,0.0020047723480703106,0.07284083687497106,True
electricity,C2,0.1,-0.00014984439962642258,0.0020047723480703106,0.06954573233806195,True
electricity,C2,0.5,-0.00011921454575448964,0.0020047723480703106,0.056127721927611486,True
electricity,C2,1.0,-8.092722841457345e-05,0.0020047723480703106,0.03880099959120837,True
electricity,M_RECENCY,0.0,-9.965026394692655e-05,0.00028427303231801093,0.2595577421750411,True
electricity,M_RECENCY,0.1,-0.00010702198433207855,0.00028427303231801093,0.27350714877051857,True
electricity,M_RECENCY,0.5,-0.0001365088658726865,0.00028427303231801093,0.3244171540164995,True
electricity,M_RECENCY,1.0,-0.00017336746779844647,0.00028427303231801093,0.3788289448908675,True
electricity_transfer,C0,0.0,-0.0002875767465065626,0.02746099305943006,0.010363660127991082,True
electricity_transfer,C0,0.1,-0.00030346452881440387,0.02746099305943006,0.010929964248352233,True
electricity_transfer,C0,0.5,-0.00036701565804576897,0.02746099305943006,0.013188714355090928,True
electricity_transfer,C0,1.0,-0.0004464545695849753,0.02746099305943006,0.0159976854752135,True
electricity_transfer,C2,0.0,-0.00010372985015977276,0.008817365401535382,0.011627479276164256,True
electricity_transfer,C2,0.1,-0.00010457209187182405,0.008817365401535382,0.011720782839948918,True
electricity_transfer,C2,0.5,-0.00010794105872002913,0.008817365401535382,0.012093821002191137,True
electricity_transfer,C2,1.0,-0.00011215226728028549,0.008817365401535382,0.012559722869685567,True
electricity_transfer,M_RECENCY,0.0,-0.00024510691626944414,0.0006481778158224372,0.2743883416606218,True
electricity_transfer,M_RECENCY,0.1,-0.0002609328120402488,0.0006481778158224372,0.28701986759708265,True
electricity_transfer,M_RECENCY,0.5,-0.00032423639512346725,0.0006481778158224372,0.3334344474543108,True
electricity_transfer,M_RECENCY,1.0,-0.00040336587397749035,0.0006481778158224372,0.3835940226641814,True
ettm1,C0,0.0,3.119784091215605e-05,-0.0027706106870369895,0.01113489398042203,True
ettm1,C0,0.1,1.1940361254875187e-05,-0.0027706106870369895,0.004291156225940603,True
ettm1,C0,0.5,-6.508955737424826e-05,-0.0027706106870369895,,True
ettm1,C0,1.0,-0.00016137695566065258,-0.0027706106870369895,,True
ettm1,C2,0.0,0.0008409685715338178,-0.00992721516424755,0.07809753178146295,True
ettm1,C2,0.1,0.0008524565775751114,-0.00992721516424755,0.0790800126378408,True
ettm1,C2,0.5,0.0008984086017402859,-0.00992721516424755,0.0829890841544784,True
ettm1,C2,1.0,0.0009558486319467541,-0.00992721516424755,0.08782900200226747,True
ettm1,M_RECENCY,0.0,-4.385002959600426e-05,0.00012999049030648635,0.25224285811271335,True
ettm1,M_RECENCY,0.1,-3.073026023834302e-05,0.00012999049030648635,0.19120281689931207,True
ettm1,M_RECENCY,0.5,2.1748817192301928e-05,0.00012999049030648635,,True
ettm1,M_RECENCY,1.0,8.734766398060811e-05,0.00012999049030648635,,True
ettm2,C0,0.0,7.731258076226766e-05,0.0023080062553157976,,True
ettm2,C0,0.1,7.52791968257005e-05,0.0023080062553157976,,True
ettm2,C0,0.5,6.714566107943187e-05,0.0023080062553157976,,True
ettm2,C0,1.0,5.697874139659609e-05,0.0023080062553157976,,True
ettm2,C2,0.0,0.00020606402138378943,-0.00014561641747379284,0.5859410948563956,True
ettm2,C2,0.1,0.000199004401459435,-0.00014561641747379284,0.5774590231531925,True
ettm2,C2,0.5,0.00017076592176201721,-0.00014561641747379284,0.5397454300846414,True
ettm2,C2,1.0,0.000135467822140245,-0.00014561641747379284,0.4819474130824925,True
neso_2025,C0,0.0,-0.0008528970868543484,0.01794168887260522,0.04537993487561101,True
neso_2025,C0,0.1,-0.00085975832731936,0.01794168887260522,0.04572830581482093,True
neso_2025,C0,0.5,-0.0008872032891794057,0.01794168887260522,0.04711925064715626,True
neso_2025,C0,1.0,-0.000921509491504463,0.01794168887260522,0.04885223988620007,True
neso_2025,C2,0.0,-0.00042059366985897073,0.004131088579844733,0.09240400510961627,True
neso_2025,C2,0.1,-0.000402917366745717,0.004131088579844733,0.08886564585313543,True
neso_2025,C2,0.5,-0.000332212154292702,0.004131088579844733,0.07443194489490397,True
neso_2025,C2,1.0,-0.0002438306387264333,0.004131088579844733,0.055733746509282416,True
neso_2025,M_RECENCY,0.0,-0.0003780553197495762,-0.0003369746422886011,,True
neso_2025,M_RECENCY,0.1,-0.0003993859963961066,-0.0003369746422886011,,True
neso_2025,M_RECENCY,0.5,-0.00048470870298222835,-0.0003369746422886011,,True
neso_2025,M_RECENCY,1.0,-0.0005913620862148805,-0.0003369746422886011,,True
