panel,baseline,q,w,absolute_nmae_benefit
electricity,C0,0.1,0.09,0.00022478857604469037
electricity,C0,0.1,0.1,0.0002954253589088915
electricity,C0,0.1,0.11,0.0003660621417730925
electricity,C0,0.1,0.12,0.0004366989246372936
electricity,C0,0.1,0.13,0.0005073357075014947
electricity,C0,0.1,0.14,0.0005779724903656959
electricity,C0,0.1,0.15,0.0006486092732298968
electricity,C0,0.1,0.16,0.0007192460560940979
electricity,C0,0.1,0.17,0.0007898828389582992
electricity,C0,0.1,0.18,0.0008605196218225001
electricity,C0,0.1,0.19,0.0009311564046867011
electricity,C0,0.1,0.2,0.0010017931875509025
electricity,C0,0.1,0.21,0.0010724299704151033
electricity,C0,0.1,0.22,0.0011430667532793045
electricity,C0,0.1,0.23,0.0012137035361435055
electricity,C0,0.1,0.24,0.0012843403190077067
electricity,C0,0.1,0.25,0.0013549771018719077
electricity,C0,0.1,0.26,0.0014256138847361086
electricity,C0,0.1,0.27,0.0014962506676003099
electricity,C0,0.1,0.28,0.001566887450464511
electricity,C0,0.1,0.29,0.0016375242333287118
electricity,C0,0.1,0.3,0.001708161016192913
electricity,C0,0.1,0.31,0.0017787977990571142
electricity,C0,0.1,0.32,0.001849434581921315
electricity,C0,0.1,0.33,0.0019200713647855164
electricity,C0,0.1,0.34,0.001990708147649718
electricity,C0,0.1,0.35000000000000003,0.0020613449305139186
electricity,C0,0.1,0.36,0.0021319817133781194
electricity,C0,0.1,0.37,0.0022026184962423206
electricity,C0,0.1,0.38,0.002273255279106522
electricity,C0,0.1,0.39,0.002343892061970723
electricity,C0,0.1,0.4,0.0024145288448349242
electricity,C0,0.1,0.41000000000000003,0.002485165627699125
electricity,C0,0.1,0.42,0.0025558024105633258
electricity,C0,0.1,0.43,0.0026264391934275274
electricity,C0,0.1,0.44,0.002697075976291728
electricity,C0,0.1,0.45,0.0027677127591559294
electricity,C0,0.1,0.46,0.00283834954202013
electricity,C0,0.1,0.47000000000000003,0.002908986324884332
electricity,C0,0.1,0.48,0.0029796231077485326
electricity,C0,0.1,0.49,0.0030502598906127333
electricity,C0,0.1,0.5,0.0031208966734769346
electricity,C0,0.1,0.51,0.003191533456341136
electricity,C0,0.1,0.52,0.003262170239205337
electricity,C0,0.1,0.53,0.003332807022069538
electricity,C0,0.1,0.54,0.003403443804933739
electricity,C0,0.1,0.55,0.0034740805877979406
electricity,C0,0.1,0.56,0.003544717370662142
electricity,C0,0.1,0.5700000000000001,0.0036153541535263426
electricity,C0,0.1,0.58,0.003685990936390543
electricity,C0,0.1,0.59,0.003756627719254744
electricity,C0,0.1,0.6,0.0038272645021189453
electricity,C0,0.1,0.61,0.003897901284983147
electricity,C0,0.1,0.62,0.003968538067847348
electricity,C0,0.1,0.63,0.0040391748507115485
electricity,C0,0.1,0.64,0.00410981163357575
electricity,C0,0.1,0.65,0.004180448416439951
electricity,C0,0.1,0.66,0.004251085199304152
electricity,C0,0.1,0.67,0.004321721982168353
electricity,C0,0.1,0.68,0.0043923587650325545
electricity,C0,0.1,0.6900000000000001,0.004462995547896756
