panel,kind,condition,new,baseline,seed,gain_pct
electricity,shape,PULSE8_D32,FIX_C3_GC3,FIX_C2_GC2,81552,-0.6223298969832314
electricity,shape,PULSE8_D32,FIX_C3_GC3,FIX_C2_GC2,81553,-0.5539013214676647
electricity,shape,PULSE8_D32,FIX_C3_GC3,FIX_C3_GC2,81551,0.1040404049013399
electricity,shape,PULSE8_D32,FIX_C3_GC3,FIX_C3_GC2,81552,-0.7103205222001474
electricity,shape,PULSE8_D32,FIX_C3_GC3,FIX_C3_GC2,81553,-0.1148037123068546
electricity,shape,PULSE8_D32,FIX_C3_GC3,FIX_C2_GC3,81551,0.3436437876375708
electricity,shape,PULSE8_D32,FIX_C3_GC3,FIX_C2_GC3,81552,-0.4768507007376632
electricity,shape,PULSE8_D32,FIX_C3_GC3,FIX_C2_GC3,81553,-0.1263988637712154
electricity,shape,RAMP8_D32,C0,F0,81551,-9.387554857648638
electricity,shape,RAMP8_D32,C0,F0,81552,2.074447209457708
electricity,shape,RAMP8_D32,C0,F0,81553,-2.895789671347382
electricity,shape,RAMP8_D32,C0,PERSISTENCE,81551,-0.833566558966492
electricity,shape,RAMP8_D32,C0,PERSISTENCE,81552,9.732119362403802
electricity,shape,RAMP8_D32,C0,PERSISTENCE,81553,5.150549621799561
electricity,shape,RAMP8_D32,C0,SEASONAL,81551,59.443248703664864
electricity,shape,RAMP8_D32,C0,SEASONAL,81552,63.69292379511982
electricity,shape,RAMP8_D32,C0,SEASONAL,81553,61.850148706847605
electricity,shape,RAMP8_D32,C3,C0,81551,-3.196909496127942
electricity,shape,RAMP8_D32,C3,C0,81552,6.309998845753473
electricity,shape,RAMP8_D32,C3,C0,81553,-2.106151965441505
electricity,shape,RAMP8_D32,C3,C2,81551,2.146142230346737
electricity,shape,RAMP8_D32,C3,C2,81552,3.03143491598451
electricity,shape,RAMP8_D32,C3,C2,81553,2.0466793460383603
electricity,shape,RAMP8_D32,C3,M_RECENCY,81551,0.2851280340311901
electricity,shape,RAMP8_D32,C3,M_RECENCY,81552,0.1325713099368464
electricity,shape,RAMP8_D32,C3,M_RECENCY,81553,-0.0079784382828407
electricity,shape,RAMP8_D32,C3,F0,81551,-12.884575986474989
electricity,shape,RAMP8_D32,C3,F0,81552,8.253548460238635
electricity,shape,RAMP8_D32,C3,F0,81553,-5.0629313678670185
electricity,shape,RAMP8_D32,C3,PERSISTENCE,81551,-4.057124423574599
electricity,shape,RAMP8_D32,C3,PERSISTENCE,81552,15.428021588722252
electricity,shape,RAMP8_D32,C3,PERSISTENCE,81553,3.152876058448628
electricity,shape,RAMP8_D32,C3,SEASONAL,81551,58.14668607015133
electricity,shape,RAMP8_D32,C3,SEASONAL,81552,65.98389988457458
electricity,shape,RAMP8_D32,C3,SEASONAL,81553,61.04665486402388
electricity,shape,RAMP8_D32,FIX_C3_GC3,FIX_C2_GC2,81551,2.010529615808243
electricity,shape,RAMP8_D32,FIX_C3_GC3,FIX_C2_GC2,81552,1.809264220429441
electricity,shape,RAMP8_D32,FIX_C3_GC3,FIX_C2_GC2,81553,2.0466793460383825
electricity,shape,RAMP8_D32,FIX_C3_GC3,FIX_C3_GC2,81551,1.405186028675598
