panel,kind,condition,new,baseline,new_nmae,baseline_nmae,absolute_error_difference,gain_pct,ci_type,ci_low_pct,ci_high_pct,bonferroni3_low_pct,bonferroni3_high_pct,seed_count,origin_count,channel_count,bootstrap_seed,draws,common_draw_sha256,conditional_on_fixed_seeds,exploratory_shapes_and_interventions
electricity,shape,PAIRED_SHIFT8_D32,C3,C2,0.2049341952827362,0.2066448621003468,-0.0017106668176106,0.8278293494565214,time,0.4264320985345482,1.3047515576277395,,,3,64,4,88700,2000,7d10f583164f9874176829f9232e2ee6059fd31b3882dc8b9f94668e053b4247,True,True
electricity,shape,PAIRED_SHIFT8_D32,C3,M_RECENCY,0.2049341952827362,0.2051140284180462,-0.00017983313531,0.087674712791208,time,-0.0143291500325171,0.200177646855879,-0.0347069406028978,0.227793501299472,3,64,4,88700,2000,7d10f583164f9874176829f9232e2ee6059fd31b3882dc8b9f94668e053b4247,True,True
electricity,shape,PULSE8_D32,C3,C2,3.0033453833773063,2.984664841385204,0.0186805419921025,-0.6258840769348462,time,-0.6521159598240167,-0.5996318553809604,,,3,64,4,88700,2000,7d10f583164f9874176829f9232e2ee6059fd31b3882dc8b9f94668e053b4247,True,True
electricity,shape,PULSE8_D32,C3,M_RECENCY,3.0033453833773063,3.0019335120724597,0.0014118713048469,-0.0470320644734068,time,-0.0611176951993752,-0.0352989203008813,-0.0641820743612336,-0.0331529126801299,3,64,4,88700,2000,7d10f583164f9874176829f9232e2ee6059fd31b3882dc8b9f94668e053b4247,True,True
electricity,shape,RAMP8_D32,C3,C2,0.4848126867766814,0.4966149975330916,-0.0118023107564102,2.3765514160944745,time,2.035060484632666,2.752500099536457,,,3,64,4,88700,2000,7d10f583164f9874176829f9232e2ee6059fd31b3882dc8b9f94668e053b4247,True,True
electricity,shape,RAMP8_D32,C3,M_RECENCY,0.4848126867766814,0.4854955316767903,-0.0006828449001089,0.1406490596835286,time,-0.0016635242814355,0.283266760798971,-0.0522094249728875,0.3165450280447939,3,64,4,88700,2000,7d10f583164f9874176829f9232e2ee6059fd31b3882dc8b9f94668e053b4247,True,True
electricity,shape,STEP12_D17,C3,C2,0.2932223505117901,0.3000365400670849,-0.0068141895552947,2.271119895520457,time,1.6623930888339953,2.971359268825273,,,3,64,4,88700,2000,7d10f583164f9874176829f9232e2ee6059fd31b3882dc8b9f94668e053b4247,True,True
electricity,shape,STEP12_D17,C3,M_RECENCY,0.2932223505117901,0.294891612079579,-0.0016692615677889,0.5660593585613549,time,0.296473121435199,0.8464850008762902,0.2304430745000967,0.9213959839750726,3,64,4,88700,2000,7d10f583164f9874176829f9232e2ee6059fd31b3882dc8b9f94668e053b4247,True,True
electricity,shape,STEP12_D63,C3,C2,0.2213221966892454,0.2189994590319351,0.0023227376573102,-1.0606134223242858,time,-1.5038326847125485,-0.6385155411778516,,,3,64,4,88700,2000,7d10f583164f9874176829f9232e2ee6059fd31b3882dc8b9f94668e053b4247,True,True
electricity,shape,STEP12_D63,C3,M_RECENCY,0.2213221966892454,0.2209144992128207,0.0004076974764247,-0.1845498950397095,time,-0.2630843296472079,-0.1072036525199127,-0.2780843909975914,-0.0926988868156033,3,64,4,88700,2000,7d10f583164f9874176829f9232e2ee6059fd31b3882dc8b9f94668e053b4247,True,True
electricity,shape,STEP6_D17,C3,C2,0.2360590337483938,0.2373972406912864,-0.0013382069428926,0.5636994511797333,time,0.0978068638522836,1.09887961558245,,,3,64,4,88700,2000,7d10f583164f9874176829f9232e2ee6059fd31b3882dc8b9f94668e053b4247,True,True
electricity,shape,STEP6_D17,C3,M_RECENCY,0.2360590337483938,0.2366581631597157,-0.0005991294113218,0.2531623685921857,time,0.0764712860449398,0.4795578633487319,0.0363780165143593,0.5331225531319453,3,64,4,88700,2000,7d10f583164f9874176829f9232e2ee6059fd31b3882dc8b9f94668e053b4247,True,True
electricity,shape,STEP6_D63,C3,C2,0.1960496176297994,0.1945055160296177,0.0015441016001817,-0.7938600568770493,time,-1.1321872553373062,-0.4695669878161481,,,3,64,4,88700,2000,7d10f583164f9874176829f9232e2ee6059fd31b3882dc8b9f94668e053b4247,True,True
electricity,shape,STEP6_D63,C3,M_RECENCY,0.1960496176297994,0.1957739272873247,0.0002756903424746,-0.1408207652033422,time,-0.2283341042207193,-0.0590578076031361,-0.2467915787166787,-0.033695655036936,3,64,4,88700,2000,7d10f583164f9874176829f9232e2ee6059fd31b3882dc8b9f94668e053b4247,True,True
electricity,shape,STEP8_D31,C3,C2,0.2077163966597886,0.2079774126812952,-0.0002610160215066,0.1255021005125089,time,-0.2156060221865113,0.5040778086527793,,,3,64,4,88700,2000,7d10f583164f9874176829f9232e2ee6059fd31b3882dc8b9f94668e053b4247,True,True
electricity,shape,STEP8_D31,C3,M_RECENCY,0.2077163966597886,0.207925015016698,-0.0002086183569094,0.1003334576615055,time,-0.0088317588240899,0.2314183305610489,-0.0276272651353465,0.2689389075405514,3,64,4,88700,2000,7d10f583164f9874176829f9232e2ee6059fd31b3882dc8b9f94668e053b4247,True,True
electricity,shape,STEP8_D33,C3,C2,0.2068839389482375,0.2094917599290482,-0.0026078209808106,1.244832246239147,time,0.8287636947132047,1.7841901681164518,,,3,64,4,88700,2000,7d10f583164f9874176829f9232e2ee6059fd31b3882dc8b9f94668e053b4247,True,True
electricity,shape,STEP8_D33,C3,M_RECENCY,0.2068839389482375,0.2073073197312648,-0.0004233807830273,0.2042285740687655,time,0.1020899126358249,0.3264128833430643,0.0823055713955417,0.3543081125286203,3,64,4,88700,2000,7d10f583164f9874176829f9232e2ee6059fd31b3882dc8b9f94668e053b4247,True,True
