panel,kind,condition,comparison,A,B,C,D,total,gate,weights,interaction,total_low,total_high,gate_low,gate_high,weights_low,weights_high
electricity,shape,PAIRED_SHIFT8_D32,C3_vs_C2_fixed1024,0.2055011929683311,0.2070804061450608,0.2076796428019199,0.2078941596668044,0.0023929666984733,0.0008968650208071,0.0014961016776661,-0.0013646963118451,0.0015229994202967,0.0033159827836655,-0.0005215442097799,0.0023959452551364,0.0004708061325257,0.0024803001779829
electricity,shape,PULSE8_D32,C3_vs_C2_fixed1024,2.9957914481944687,2.988668500866774,2.993239392601788,2.9771403033003474,-0.0186511448941213,-0.0116110183145676,-0.0070401265795536,-0.0089761419737457,-0.0199636003046062,-0.0174777807947644,-0.0127503373727809,-0.0104366598905826,-0.0080360977134413,-0.0061471670853037
electricity,shape,RAMP8_D32,C3_vs_C2_fixed1024,0.4896126794891377,0.507106158339882,0.4868406488251769,0.4994161834940065,0.0098035040048688,0.0150345067597869,-0.0052310027549181,-0.0049179441819146,0.0081116792888856,0.0114435354417934,0.0133349769146635,0.0166368744082924,-0.0070770922181089,-0.0035174299095325
electricity,shape,STEP12_D17,C3_vs_C2_fixed1024,0.2932891544589209,0.2968264626170786,0.3009038549901283,0.3025760504626048,0.0092868960036838,0.002604751815317,0.0066821441883667,-0.0018651126856812,0.0073903006952135,0.0111945264425057,0.0001093407202856,0.0051559578065587,0.0049541003155409,0.00828912429619
electricity,shape,STEP12_D63,C3_vs_C2_fixed1024,0.2183394510245025,0.2234138231031711,0.222817905893335,0.217545517501016,-0.0007939335234865,-9.900815682524489e-05,-0.0006949253666612,-0.0103467604709875,-0.0017345155945071,8.212236507820847e-05,-0.0011678144343434,0.0010542215926982,-0.0019335953350252,0.0005713957841192
electricity,shape,STEP6_D17,C3_vs_C2_fixed1024,0.2358467609695614,0.2396949427328867,0.237088491654669,0.2380841709218514,0.0022374099522899,0.0024219305152538,-0.0001845205629638,-0.0028525024961428,0.0009621124325835,0.0035453619179359,0.0007834477906429,0.0041899142593207,-0.0010704113143299,0.0006437063800769
electricity,shape,STEP6_D63,C3_vs_C2_fixed1024,0.1950978123143447,0.1948345555710894,0.1971701702612154,0.1942788387936892,-0.0008189735206554,-0.0015772941053907,0.0007583205847352,-0.0026280747242708,-0.0014888692694274,-0.0001258480538754,-0.0021621114035066,-0.0009690406458802,9.073385394289188e-05,0.0014361963774577
electricity,shape,STEP8_D31,C3_vs_C2_fixed1024,0.208145770041815,0.2101601052490374,0.2083827153525345,0.2088778584190497,0.0007320883772347,0.0012547391368688,-0.0005226507596341,-0.0015191921407072,-5.612343405815566e-05,0.0015369607013855,2.994429610399391e-05,0.0025383334001275,-0.0016629587209397,0.0005617788181972
electricity,shape,STEP8_D33,C3_vs_C2_fixed1024,0.2083501895588521,0.2098739203512392,0.2106502803249281,0.2111110715118679,0.0027608819530157,0.0009922609896634,0.0017686209633523,-0.0010629396054473,0.0019009537935098,0.0036463391037951,-0.0002904110364766,0.002333825415818,0.000791675591637,0.0027068839523528
electricity,standard,FAULT,C3_vs_C2_fixed1024,0.1730853579943995,0.1731651538242938,0.1728666863532998,0.1729556628604655,-0.000129695133934,8.438616852997349e-05,-0.000214081302464,9.180677271375393e-06,-0.0003026598479884,7.098733079949888e-05,-9.594782083069096e-05,0.0003147701699581,-0.0003478741383611,-5.95911978721657e-05
electricity,standard,REFERENCE,C3_vs_C2_fixed1024,0.1676364336554988,0.1676734612847208,0.1673923162486812,0.1674518615795615,-0.0001845720759373,4.828648005111846e-05,-0.0002328585559884,2.2517701658231196e-05,-0.0003408037575439,-1.6629496374277777e-05,-0.0001027269486916,0.0002278693378738,-0.000345638577594,-0.0001094144388141
electricity,standard,SHIFT4,C3_vs_C2_fixed1024,0.1894722662545647,0.1895931877749006,0.1903244572181136,0.1898173710670705,0.0003451048125058,-0.0001930823153535,0.0005381871278593,-0.000628007671379,-6.998262583639837e-05,0.0007734813998286,-0.0007036631684413,0.0003179064677988,9.17230792253667e-05,0.0009720848743184
electricity,standard,SHIFT8,C3_vs_C2_fixed1024,0.2014825202585415,0.20336666642474,0.2041152306253396,0.2043332281834225,0.002850707924881,0.0010510718621406,0.0017996360627403,-0.0016661486081155,0.0020830568880959,0.0036361606797348,-1.27840159226171e-05,0.0021729345418277,0.0009894282065623,0.0026070099577459
electricity,standard,SHIFT_POINT,C3_vs_C2_fixed1024,0.1937413098005095,0.1939070284742663,0.1945893941176082,0.1941606886089937,0.0004193788084841,-0.0001314934174288,0.000550872225913,-0.0005944241823713,2.0227015220924267e-05,0.0008079074367122,-0.0006181659125152,0.0003835319443133,0.0001929467443162,0.0009187253070187
electricity_transfer,shape,PAIRED_SHIFT8_D32,C3_vs_C2_fixed1024,0.3600065071228042,0.3629098116513615,0.3720165997905421,0.3704882917544657,0.0104817846316614,0.0006874982462404,0.0097942863854209,-0.0044316125646337,0.0091304642754447,0.011754345786048,-0.0023249065027591,0.00397560805285,0.0071430360498403,0.0122712568433001
electricity_transfer,shape,PULSE8_D32,C3_vs_C2_fixed1024,7.050438556609067,7.046313220102931,7.037077349374901,7.002570902114168,-0.0478676544948992,-0.0193158918834344,-0.0285517626114648,-0.0303811107545968,-0.0489767180344,-0.0467385107592295,-0.0201516076623171,-0.0185098343371944,-0.0297966532782974,-0.0273548286282511
electricity_transfer,shape,RAMP8_D32,C3_vs_C2_fixed1024,0.8918787027860454,0.9171495289336806,0.8895577884781759,0.9237879018110692,0.0319091990250237,0.0297504697402642,0.0021587292847595,0.008959287185258,0.0299511630918682,0.0338748569739869,0.0279412730915477,0.0314961440275106,-0.0006417397356633,0.0049147433405288
electricity_transfer,shape,STEP12_D17,C3_vs_C2_fixed1024,0.5396881494579832,0.5415067131552911,0.5646622498177425,0.5716275405459708,0.0319393910879876,0.004391927212768,0.0275474638752195,0.0051467270309203,0.0288641656424764,0.0348356261757583,0.0005475555856951,0.0083604917943346,0.0247992857807954,0.0301416191284563
electricity_transfer,shape,STEP12_D63,C3_vs_C2_fixed1024,0.4082293692120811,0.4331854348658082,0.4126910960674106,0.4047733914585539,-0.0034559777535272,0.0085191805224351,-0.0119751582759624,-0.0328737702625838,-0.005581958498063,-0.0014702243347702,0.0063742254078311,0.0105764353318922,-0.0151612973834954,-0.00876712630542
electricity_transfer,shape,STEP6_D17,C3_vs_C2_fixed1024,0.3966547336708687,0.4015558251209867,0.4065670449449372,0.4082626612859472,0.0116079276150784,0.0032983538955639,0.0083095737195144,-0.003205475109108,0.0101241091794338,0.0129806107282344,0.00091460996743,0.0057119688586674,0.0065585399174348,0.0099194305193298
electricity_transfer,shape,STEP6_D63,C3_vs_C2_fixed1024,0.3448443757234904,0.3458799094866512,0.3509133921248874,0.3409046042960857,-0.0039397714274047,-0.0044866270328204,0.0005468556054157,-0.0110443215919624,-0.0048381188148787,-0.0029326828919329,-0.0054579321900837,-0.0034802614553244,-0.000986711754278,0.0020848419182706
electricity_transfer,shape,STEP8_D31,C3_vs_C2_fixed1024,0.3643668376589842,0.3706125082984797,0.3716480922783877,0.3721352711682413,0.0077684335092571,0.0033664247646745,0.0044020087445825,-0.0057584917496419,0.0064143959553957,0.0089779963353964,0.0007531943450895,0.0061462537782085,0.0014615831441526,0.0071630996668396
electricity_transfer,shape,STEP8_D33,C3_vs_C2_fixed1024,0.3739069175435569,0.3786032606438254,0.3843777800067791,0.3865243442751185,0.0126174267315615,0.0034214536843039,0.0091959730472576,-0.002549778831929,0.0112538944044805,0.0138847089469041,0.0005683653718809,0.0064940296506686,0.0066734927160908,0.0115437193949692
electricity_transfer,standard,FAULT,C3_vs_C2_fixed1024,0.2585603916963739,0.2584657102982162,0.2584937081163559,0.25841823243652,-0.0001421592598539,-8.507853899686335e-05,-5.708072085708338e-05,1.920571832181306e-05,-0.0003095318092366,3.170996277633418e-05,-0.0001396160916357,-3.3036573897308324e-05,-0.0002217260215154,0.0001127680061552
electricity_transfer,standard,REFERENCE,C3_vs_C2_fixed1024,0.2422397326592063,0.2422167694526962,0.2422825574919021,0.2422583190235439,1.858636433757499e-05,-2.3600837434148425e-05,4.2187201771723415e-05,-1.2752618481493003e-06,-0.0001815767151592,0.0002255548118915,-5.395543877726173e-05,3.447948455249576e-06,-0.0001537688451459,0.0002459656365455
electricity_transfer,standard,SHIFT4,C3_vs_C2_fixed1024,0.3181331035842492,0.3175804140572475,0.3215861080133737,0.3193032748111317,0.0011701712268825,-0.0014177613646218,0.0025879325915043,-0.0017301436752402,0.0005312560762208,0.0017878727821437,-0.0021891013900143,-0.0005774646357446,0.0016533617437611,0.0034392938279044
electricity_transfer,standard,SHIFT8,C3_vs_C2_fixed1024,0.3592014777363286,0.3637391473076505,0.3699408176184632,0.370804904544707,0.0116034268083783,0.0027008782487827,0.0089025485595955,-0.0036735826450781,0.0103294030964385,0.0129176866135972,0.000477557606803,0.0050425116950518,0.0067334588835728,0.0108684678098855
electricity_transfer,standard,SHIFT_POINT,C3_vs_C2_fixed1024,0.3335658574041881,0.3331681465780795,0.3379617873721969,0.3360751282663193,0.0025092708621311,-0.0011421849659931,0.0036514558281242,-0.001488948279769,0.0017739965352348,0.003259568668214,-0.0018631073123494,-0.0004104354967174,0.002665446744661,0.0045602137440392
neso_2025,shape,PAIRED_SHIFT8_D32,C3_vs_C2_fixed1024,0.3153082185821809,0.3180200871631896,0.3246005326506513,0.3232109415514239,0.0079027229692429,0.0006611387408906,0.0072415842283523,-0.0041014596802361,0.0055721284786008,0.0102832988520078,-0.0039646954996931,0.0050708116814693,0.0043402700845022,0.0104487645134895
neso_2025,shape,PAIRED_SHIFT8_D32,C3_vs_RECENCY_selected,0.314355846363754,0.314355846363754,0.3145285249809741,0.314528524980974,0.00017267861722,-2.775557561562892e-17,0.00017267861722,-5.551115123125783e-17,-0.0002276055017324,0.0005752225108347,-2.775557561562892e-17,5.551115123125783e-17,-0.0002276055017324,0.0005752225108347
neso_2025,shape,PULSE8_D32,C3_vs_C2_fixed1024,6.1945620945332855,6.206290651370001,6.189063560465811,6.161929899626954,-0.0326321949063315,-0.0077025520010707,-0.0249296429052607,-0.0388622176755717,-0.0375795996375704,-0.0281913364039966,-0.0092455052338739,-0.0061962737645229,-0.0297644774649899,-0.020579232311125
neso_2025,shape,PULSE8_D32,C3_vs_RECENCY_selected,6.208670091320353,6.208670091320353,6.203762474018923,6.203762474018923,-0.0049076173014297,0.0,-0.0049076173014297,0.0,-0.0057259321815252,-0.0041961302351321,-4.440892098500626e-16,4.440892098500626e-16,-0.0057259321815252,-0.0041961302351317
neso_2025,shape,RAMP8_D32,C3_vs_C2_fixed1024,0.8969469033373548,0.907170700316211,0.900790912484231,0.9162360459343866,0.0192891425970317,0.0128344652145058,0.0064546773825258,0.0052213364712992,0.0147640518986456,0.024319109513288,0.0092785509799837,0.0168446318539322,0.0016541709423339,0.0114840332720165
neso_2025,shape,RAMP8_D32,C3_vs_RECENCY_selected,0.8898537320343795,0.8898537320343795,0.8929766674360476,0.8929766674360476,0.0031229354016681,0.0,0.0031229354016681,0.0,0.0020997993643075,0.0041371952342059,-5.551115123125783e-17,5.551115123125783e-17,0.0020997993643075,0.0041371952342059
