panel,condition,F0_PLAIN_vs_F0_pct,F0_MAG_vs_F0_pct,F0_MAG_vs_PLAIN_pct,mag_gain_F0,mag_gain_B0,interaction_B0_minus_F0,decision
electricity,REFERENCE,1.196183806000828,0.4155943324264943,-0.7900398017437693,0.0007025999955042,-0.0003655610063112,-0.0010681610018154,MIXED_OR_UNSUPPORTED
electricity,FAULT,0.1046034135298024,-0.9537385901511096,-1.0594502247806892,-0.0016615619127299,-0.0005577733640528,0.0011037885486771,MIXED_OR_UNSUPPORTED
electricity,SHIFT4,22.008847037458867,20.16276121432575,-2.367045175008231,0.0534451999197977,0.0021473601577306,-0.0512978397620671,MIXED_OR_UNSUPPORTED
electricity,SHIFT8,27.063956550523827,23.30896879311032,-5.148329385339689,0.0748745375020159,0.008608197331157,-0.0662663401708589,SECOND_STAGE_SUPPORTED_STANDALONE_UNCERTAIN
electricity,SHIFT_POINT,26.28041830604865,23.633968480728427,-3.589887197552244,0.0674403995519001,0.0027015252336569,-0.0647388743182431,MIXED_OR_UNSUPPORTED
ettm1,REFERENCE,-0.9838297534614072,-1.356174138600208,-0.3687168391690143,-0.0055057771036038,0.0,0.0055057771036038,MIXED_OR_UNSUPPORTED
ettm1,FAULT,-2.540084916792784,-4.0300574202492445,-1.4530634577351045,-0.0168278632464811,0.0,0.0168278632464811,MIXED_OR_UNSUPPORTED
ettm1,SHIFT4,31.62003289834273,28.361783198065748,-4.764918496426152,0.2610988061737467,0.0,-0.2610988061737467,MIXED_OR_UNSUPPORTED
ettm1,SHIFT8,36.41244876420272,33.64294497693211,-4.355418212286,0.3462466564772318,0.0,-0.3462466564772318,MIXED_OR_UNSUPPORTED
ettm1,SHIFT_POINT,34.70042598871225,32.01898605321926,-4.106366658731142,0.3171477802334879,0.0,-0.3171477802334879,MIXED_OR_UNSUPPORTED
electricity_transfer,REFERENCE,-1.9176567084733696,-2.400915463765996,-0.4741658814575666,-0.0055487443287698,-0.0004170293227736,0.0051317150059962,MIXED_OR_UNSUPPORTED
electricity_transfer,FAULT,-3.1962997471416843,-4.720219159006023,-1.4767190447703582,-0.0116712577146468,-0.0005170226755688,0.011154235039078,MIXED_OR_UNSUPPORTED
electricity_transfer,SHIFT4,20.399184327703452,20.13603738186476,-0.3305832278428289,0.0895127417122736,0.0073507572226854,-0.0821619844895882,MIXED_OR_UNSUPPORTED
electricity_transfer,SHIFT8,25.141660546618137,22.423255723829925,-3.631398776192607,0.1256700817321068,0.0367222670095075,-0.0889478147225992,SECOND_STAGE_SUPPORTED_STANDALONE_UNCERTAIN
electricity_transfer,SHIFT_POINT,27.23702526445453,26.61448445306737,-0.8555736123347923,0.134609819752304,0.0085174934399012,-0.1260923263124027,MIXED_OR_UNSUPPORTED
neso_2026_jul_aug,REFERENCE,-3.1535641142085518,-2.658191486904826,0.480228319358178,-0.0045507971671839,-0.0004634445874775,0.0040873525797063,MIXED_OR_UNSUPPORTED
neso_2026_jul_aug,FAULT,-2.7883493983508645,-4.09086699146477,-1.267184073621097,-0.007437785183033,-0.0008217229204232,0.0066160622626097,MIXED_OR_UNSUPPORTED
neso_2026_jul_aug,SHIFT4,43.50064289227917,44.45670231620882,1.692159827777917,0.2378843984473233,0.0024421553501583,-0.2354422430971651,STANDALONE_MAG_SUPPORTED
neso_2026_jul_aug,SHIFT8,38.29486366260105,35.81681428381908,-4.015953169979558,0.1844338342479221,0.0134819814963115,-0.1709518527516105,SECOND_STAGE_SUPPORTED_STANDALONE_UNCERTAIN
neso_2026_jul_aug,SHIFT_POINT,42.84238326433242,44.65442596084951,3.170255864405802,0.2449359481387427,0.0034146926451395,-0.2415212554936033,STANDALONE_MAG_SUPPORTED
