panel,kind,stage,condition,block_count,origin_count,seed_count,proposed,baseline,seed,proposed_nmae,baseline_nmae,gain_pct,absolute_gain
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,32,64,2,F0_MAG,F0_PLAIN,81551,0.24629767102516537,0.2393621339851786,-2.897508024563411,-0.0069355370399867555
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,32,64,2,F0_MAG,F0_PLAIN,81552,0.25010732899358484,0.24125481007739294,-3.6693647323972733,-0.008852518916191904
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,32,64,2,F0_MAG,F0,81551,0.24629767102516537,0.3239126702860632,23.96170523133665,0.07761499926089782
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,32,64,2,F0_MAG,F0,81552,0.25010732899358484,0.3239126702860632,22.78556785916933,0.07380534129247834
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,32,64,2,B0_MAG,B0_PLAIN,81551,0.20558481886616045,0.20880591253478728,1.5426256993992915,0.0032210936686268288
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,32,64,2,B0_MAG,B0_PLAIN,81552,0.20588890323084488,0.21016006454604297,2.0323372684644125,0.004271161315198085
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,32,64,2,B0_MAG,B0,81551,0.20558481886616045,0.21142078463748248,2.7603557433242942,0.0058359657713220325
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,32,64,2,B0_MAG,B0,81552,0.20588890323084488,0.21438705495349572,3.9639295033434885,0.008498151722650837
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,32,64,2,F0_PLAIN,F0,81551,0.2393621339851786,0.3239126702860632,26.10288020725273,0.08455053630088458
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,32,64,2,F0_PLAIN,F0,81552,0.24125481007739294,0.3239126702860632,25.518563425033992,0.08265786020867025
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,32,64,2,B0_PLAIN,B0,81551,0.20880591253478728,0.21142078463748248,1.236809383324755,0.0026148721026952038
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,32,64,2,B0_PLAIN,B0,81552,0.21016006454604297,0.21438705495349572,1.9716630784305744,0.004226990407452752
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,32,64,2,F0_MAG,B0_MAG,81551,0.24629767102516537,0.20558481886616045,-19.803433144307082,-0.040712852159004914
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,32,64,2,F0_MAG,B0_MAG,81552,0.25010732899358484,0.20588890323084488,-21.47683778428884,-0.04421842576273996
electricity,shape,fixed1024,PULSE8_D32,32,64,2,F0_MAG,F0_PLAIN,81551,2.9809989580427834,2.9469177097529347,-1.1565049195997323,-0.03408124828984871
electricity,shape,fixed1024,PULSE8_D32,32,64,2,F0_MAG,F0_PLAIN,81552,2.992026819189787,2.938465487566721,-1.822765380423741,-0.05356133162306609
