panel,kind,arm,seed,stage,step,condition,nmae,mae,normalized_mse,pinball,crossing,nrmse
electricity,shape,B0,81551,fixed1024,768,PAIRED_SHIFT8_D32,0.21142078463748248,13.783960023444152,0.16771648808912537,0.17301395010613096,0.00018310546875,0.3486296928886482
electricity,shape,B0,81551,fixed1024,768,PULSE8_D32,2.993564815341061,227.36221388525155,13.325944659597024,2.8912659557006837,0.00018310546875,3.223022872406799
electricity,shape,B0,81551,fixed1024,768,RAMP8_D32,0.5137246579801916,36.76724838205068,0.5254438060829398,0.39746082808685784,0.0,0.6493336992023713
electricity,shape,B0,81551,fixed1024,768,STEP12_D17,0.30498695349387034,19.8735306752847,0.2652020076138222,0.2523173215938363,0.00017547607421875,0.4532214934922097
electricity,shape,B0,81551,fixed1024,768,STEP12_D63,0.2257596413913575,15.364967168408434,0.1783963219364081,0.1831782863092198,2.6702880859375e-05,0.36490449816237963
electricity,shape,B0,81551,fixed1024,768,STEP6_D17,0.2393722619533945,15.512925326592558,0.19376917066203334,0.196686729901585,0.000102996826171875,0.37997462701673085
electricity,shape,B0,81551,fixed1024,768,STEP6_D63,0.20223268501427122,13.700167134195562,0.16046012271161705,0.16447501379181395,3.814697265625e-05,0.3410277284941383
electricity,shape,B0,81551,fixed1024,768,STEP8_D31,0.20999537202876958,13.688779888348945,0.1668911644918887,0.1722665866673837,0.00032806396484375,0.3468390353947262
electricity,shape,B0,81551,fixed1024,768,STEP8_D33,0.21485539999825579,13.995491208493348,0.17003695850879944,0.17505109402192956,0.00019073486328125,0.35216766807586874
electricity,shape,B0,81551,selected,768,PAIRED_SHIFT8_D32,0.21142078463748248,13.783960023444152,0.16771648808912537,0.17301395010613096,0.00018310546875,0.3486296928886482
electricity,shape,B0,81551,selected,768,PULSE8_D32,2.993564815341061,227.36221388525155,13.325944659597024,2.8912659557006837,0.00018310546875,3.223022872406799
