panel,kind,stage,condition,block_count,origin_count,seed_count,proposed,baseline,proposed_nmae,baseline_nmae,gain_pct,ci_low,ci_high,absolute_gain,absolute_ci_low,absolute_ci_high,seed_gains,main_table
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,32,64,2,F0_MAG,F0_PLAIN,0.2482025000093751,0.24030847203128577,-3.2849561696108642,-5.038579706192687,-1.519459904908987,-0.007894027978089337,-0.011640407094621528,-0.003771121837805413,"{""81551"": -2.897508024563411, ""81552"": -3.6693647323972733}",False
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,32,64,2,F0_MAG,F0,0.2482025000093751,0.32391267028606324,23.373636545252996,19.352894950736083,27.313272784898267,0.07571017027668808,0.06425272493998568,0.08663973137544924,"{""81551"": 23.96170523133665, ""81552"": 22.78556785916933}",False
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,32,64,2,B0_MAG,B0_PLAIN,0.20573686104850267,0.20948298854041514,1.7882728893710342,1.1939340432450665,2.4800772464377485,0.0037461274919124597,0.0026425647793242957,0.004880283507250917,"{""81551"": 1.5426256993992915, ""81552"": 2.0323372684644125}",False
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,32,64,2,B0_MAG,B0,0.20573686104850267,0.21290391979548912,3.3663348020416817,2.588394910433877,4.298622982882889,0.007167058746986441,0.0056477584774335355,0.008640889116211086,"{""81551"": 2.7603557433242942, ""81552"": 3.9639295033434885}",False
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,32,64,2,F0_PLAIN,F0,0.24030847203128577,0.32391267028606324,25.810721816143367,21.14574036075495,30.25888871775257,0.08360419825477743,0.07055532498431911,0.09608853672190806,"{""81551"": 26.10288020725273, ""81552"": 25.518563425033992}",False
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,32,64,2,B0_PLAIN,B0,0.20948298854041514,0.21290391979548912,1.606795806465211,0.8562622619483384,2.3725055564386515,0.0034209312550739814,0.0018224486171847156,0.005004737467725626,"{""81551"": 1.236809383324755, ""81552"": 1.9716630784305744}",False
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,32,64,2,F0_MAG,B0_MAG,0.2482025000093751,0.20573686104850267,-20.640753798057187,-27.23367090829261,-15.012794745682106,-0.042465638960872444,-0.05265284819157162,-0.03226434036238531,"{""81551"": -19.803433144307082, ""81552"": -21.47683778428884}",False
electricity,shape,fixed1024,PULSE8_D32,32,64,2,F0_MAG,F0_PLAIN,2.9865128886162853,2.9426915986598283,-1.489156729044061,-1.7569642831459202,-1.1919956718163904,-0.04382128995645746,-0.05233061722196828,-0.0348605602842109,"{""81551"": -1.1565049195997323, ""81552"": -1.822765380423741}",False
electricity,shape,fixed1024,PULSE8_D32,32,64,2,F0_MAG,F0,2.9865128886162853,2.886527138233591,-3.46387702572859,-3.907862233765897,-3.0227900718686675,-0.09998575038269433,-0.11180112199516815,-0.08791288371364395,"{""81551"": -3.2728540313327725, ""81552"": -3.6549000201244297}",False
electricity,shape,fixed1024,PULSE8_D32,32,64,2,B0_MAG,B0_PLAIN,2.9829472452501298,2.9633179213462024,-0.662410326024343,-0.7089668149044454,-0.618467446105947,-0.019629323903927784,-0.021109496490891277,-0.018243757350537237,"{""81551"": -0.6732744823766179, ""81552"": -0.651529444407295}",False
electricity,shape,fixed1024,PULSE8_D32,32,64,2,B0_MAG,B0,2.9829472452501298,2.9724499754568527,-0.35315210953763554,-0.4052931264030435,-0.299446380064693,-0.010497269793277274,-0.01196296314455182,-0.009008054970993088,"{""81551"": 0.26727464242665144, ""81552"": -0.9824563429981836}",False
electricity,shape,fixed1024,PULSE8_D32,32,64,2,F0_PLAIN,F0,2.9426915986598283,2.886527138233591,-1.945745102559715,-2.481574505431203,-1.4250458229183247,-0.05616446042623687,-0.07058667851646026,-0.04170925162295228,"{""81551"": -2.0921532563972223, ""81552"": -1.7993369487221855}",False
electricity,shape,fixed1024,PULSE8_D32,32,64,2,B0_PLAIN,B0,2.9633179213462024,2.9724499754568527,0.30722313869206985,0.2612585297940401,0.3536504374470123,0.00913205411065051,0.007633073525917689,0.010698989976282691,"{""81551"": 0.9342589973746263, ""81552"": -0.3287847690120582}",False
electricity,shape,fixed1024,PULSE8_D32,32,64,2,F0_MAG,B0_MAG,2.9865128886162853,2.9829472452501298,-0.11953424157378212,-0.6334848769710077,0.4171404491755854,-0.0035656433661552522,-0.019140010841089353,0.012253123843595936,"{""81551"": 0.15289633667990854, ""81552"": -0.3924431713713483}",False
electricity,shape,fixed1024,RAMP8_D32,32,64,2,F0_MAG,F0_PLAIN,0.4609406394447811,0.41582617933990584,-10.84935541492149,-15.245072538044225,-7.007257202728215,-0.04511446010487525,-0.062294744618922586,-0.029624731984553797,"{""81551"": -8.781752597135362, ""81552"": -12.911342276887993}",False
electricity,shape,fixed1024,RAMP8_D32,32,64,2,F0_MAG,F0,0.4609406394447811,0.4696372074946976,1.8517630015536413,-3.8891206626293044,6.979388686358738,0.008696568049916519,-0.017856465026170852,0.03278882873240772,"{""81551"": 3.8134450825986432, ""81552"": -0.10991907949138291}",False
electricity,shape,fixed1024,RAMP8_D32,32,64,2,B0_MAG,B0_PLAIN,0.4822501504269867,0.4972621567880782,3.018931997169716,2.6203534981465664,3.442768011292864,0.015012006361091512,0.013124407671226496,0.016793637071408858,"{""81551"": 2.233177117744012, ""81552"": 3.991836314565156}",False
