panel,kind,stage,condition,block_count,origin_count,seed_count,term,nmae_difference,ci_low,ci_high
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,32,64,2,plain_gain_F0,0.08360419825477743,0.07055532498431911,0.09608853672190806
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,32,64,2,plain_gain_B0,0.0034209312550739814,0.0018224486171847156,0.005004737467725626
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,32,64,2,mag_gain_F0,0.07571017027668808,0.06425272493998568,0.08663973137544924
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,32,64,2,mag_gain_B0,0.007167058746986441,0.0056477584774335355,0.008640889116211086
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,32,64,2,mag_specific_F0,-0.007894027978089337,-0.011640407094621528,-0.003771121837805413
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,32,64,2,mag_specific_B0,0.0037461274919124597,0.0026425647793242957,0.004880283507250917
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,32,64,2,second_stage_interaction_mag,-0.06854311152970166,-0.07910537998463844,-0.057470716470991244
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,32,64,2,mag_rule_interaction,0.011640155470001795,0.007492090043948094,0.015541912189290394
electricity,shape,fixed1024,PULSE8_D32,32,64,2,plain_gain_F0,-0.05616446042623687,-0.07058667851646026,-0.04170925162295228
electricity,shape,fixed1024,PULSE8_D32,32,64,2,plain_gain_B0,0.00913205411065051,0.007633073525917689,0.010698989976282691
electricity,shape,fixed1024,PULSE8_D32,32,64,2,mag_gain_F0,-0.09998575038269433,-0.11180112199516815,-0.08791288371364395
electricity,shape,fixed1024,PULSE8_D32,32,64,2,mag_gain_B0,-0.010497269793277274,-0.01196296314455182,-0.009008054970993088
electricity,shape,fixed1024,PULSE8_D32,32,64,2,mag_specific_F0,-0.04382128995645746,-0.05233061722196828,-0.0348605602842109
electricity,shape,fixed1024,PULSE8_D32,32,64,2,mag_specific_B0,-0.019629323903927784,-0.021109496490891277,-0.018243757350537237
electricity,shape,fixed1024,PULSE8_D32,32,64,2,second_stage_interaction_mag,0.08948848058941705,0.07785056444287705,0.10073239229968513
electricity,shape,fixed1024,PULSE8_D32,32,64,2,mag_rule_interaction,0.024191966052529677,0.015592274658188653,0.032343071176475675
electricity,shape,fixed1024,RAMP8_D32,32,64,2,plain_gain_F0,0.053811028154791773,0.03862584240462245,0.06843005338876672
electricity,shape,fixed1024,RAMP8_D32,32,64,2,plain_gain_B0,-0.010452412023357994,-0.012639522576673322,-0.008264010801150972
electricity,shape,fixed1024,RAMP8_D32,32,64,2,mag_gain_F0,0.008696568049916519,-0.017856465026170852,0.03278882873240772
electricity,shape,fixed1024,RAMP8_D32,32,64,2,mag_gain_B0,0.004559594337733517,0.0027524661445700364,0.006350201451486681
electricity,shape,fixed1024,RAMP8_D32,32,64,2,mag_specific_F0,-0.04511446010487525,-0.062294744618922586,-0.029624731984553797
electricity,shape,fixed1024,RAMP8_D32,32,64,2,mag_specific_B0,0.015012006361091512,0.013124407671226496,0.016793637071408858
electricity,shape,fixed1024,RAMP8_D32,32,64,2,second_stage_interaction_mag,-0.004136973712183003,-0.028685089928115824,0.022328468111702353
electricity,shape,fixed1024,RAMP8_D32,32,64,2,mag_rule_interaction,0.060126466465966755,0.04482702948596535,0.07783687580086743
electricity,shape,fixed1024,STEP12_D17,32,64,2,plain_gain_F0,0.185711632126864,0.16276948235403518,0.20798511253834115
electricity,shape,fixed1024,STEP12_D17,32,64,2,plain_gain_B0,0.01135771199842502,0.009645080429452392,0.012948079956211897
electricity,shape,fixed1024,STEP12_D17,32,64,2,mag_gain_F0,0.15823862907422254,0.13768048144376557,0.17776540727486162
electricity,shape,fixed1024,STEP12_D17,32,64,2,mag_gain_B0,0.02741196265830171,0.02463238587570235,0.030194495403322367
electricity,shape,fixed1024,STEP12_D17,32,64,2,mag_specific_F0,-0.02747300305264145,-0.04177408781693299,-0.015321610207408552
electricity,shape,fixed1024,STEP12_D17,32,64,2,mag_specific_B0,0.01605425065987669,0.01387384819861625,0.01821579578467406
electricity,shape,fixed1024,STEP12_D17,32,64,2,second_stage_interaction_mag,-0.13082666641592083,-0.1499427848952281,-0.11096301391311282
electricity,shape,fixed1024,STEP12_D17,32,64,2,mag_rule_interaction,0.043527253712518144,0.03149502291305866,0.057242227442608
electricity,shape,fixed1024,STEP12_D63,32,64,2,plain_gain_F0,0.04632338380306056,0.03584310928178681,0.057433641998163594
electricity,shape,fixed1024,STEP12_D63,32,64,2,plain_gain_B0,0.004740568870931267,0.0032728575234736343,0.00640093715064824
electricity,shape,fixed1024,STEP12_D63,32,64,2,mag_gain_F0,0.044987668191764016,0.03687938168110525,0.05341502009212593
electricity,shape,fixed1024,STEP12_D63,32,64,2,mag_gain_B0,0.004001854303896539,0.002266365811357228,0.005907058092377946
electricity,shape,fixed1024,STEP12_D63,32,64,2,mag_specific_F0,-0.001335715611296542,-0.00689100818796473,0.004035221662806309
electricity,shape,fixed1024,STEP12_D63,32,64,2,mag_specific_B0,-0.0007387145670347281,-0.0020411431901659134,0.00045079852611455007
electricity,shape,fixed1024,STEP12_D63,32,64,2,second_stage_interaction_mag,-0.04098581388786748,-0.04909387075039548,-0.03293849375436587
electricity,shape,fixed1024,STEP12_D63,32,64,2,mag_rule_interaction,0.0005970010442618138,-0.00508734167116678,0.006301633286392306
