source,arm,seed,stage,step,lr
electricity,F0_PLAIN,81551,selected,768,0.0003
electricity,F0_PLAIN,81551,fixed1024,1024,0.0003
electricity,F0_PLAIN,81552,selected,768,0.0003
electricity,F0_PLAIN,81552,fixed1024,1024,0.0003
electricity,F0_MAG,81551,selected,1024,0.0003
electricity,F0_MAG,81551,fixed1024,1024,0.0003
electricity,F0_MAG,81552,selected,1024,0.0003
electricity,F0_MAG,81552,fixed1024,1024,0.0003
electricity,F0,81551,selected,0,
electricity,F0,81551,fixed1024,0,
electricity,F0,81552,selected,0,
electricity,F0,81552,fixed1024,0,
ettm1,F0_PLAIN,81551,selected,1024,0.0003
ettm1,F0_PLAIN,81551,fixed1024,1024,0.0003
ettm1,F0_PLAIN,81552,selected,1024,0.0003
ettm1,F0_PLAIN,81552,fixed1024,1024,0.0003
ettm1,F0_MAG,81551,selected,1024,0.0003
ettm1,F0_MAG,81551,fixed1024,1024,0.0003
ettm1,F0_MAG,81552,selected,1024,0.0003
ettm1,F0_MAG,81552,fixed1024,1024,0.0003
ettm1,F0,81551,selected,0,
ettm1,F0,81551,fixed1024,0,
ettm1,F0,81552,selected,0,
ettm1,F0,81552,fixed1024,0,
electricity,B0_PLAIN,81551,selected,512,0.0003
electricity,B0_PLAIN,81551,fixed1024,1024,0.0003
electricity,B0_MAG,81551,selected,768,0.0003
electricity,B0_MAG,81551,fixed1024,1024,0.0003
electricity,B0,81551,selected,768,
electricity,B0,81551,fixed1024,768,
electricity,B0_PLAIN,81552,selected,1024,0.0003
electricity,B0_PLAIN,81552,fixed1024,1024,0.0003
electricity,B0_MAG,81552,selected,768,0.0003
electricity,B0_MAG,81552,fixed1024,1024,0.0003
electricity,B0,81552,selected,512,
electricity,B0,81552,fixed1024,512,
ettm1,B0_PLAIN,81551,selected,0,0.0003
ettm1,B0_PLAIN,81551,fixed1024,1024,0.0003
ettm1,B0_MAG,81551,selected,0,0.0001
ettm1,B0_MAG,81551,fixed1024,1024,0.0001
ettm1,B0,81551,selected,768,
ettm1,B0,81551,fixed1024,768,
ettm1,B0_PLAIN,81552,selected,1024,0.0003
ettm1,B0_PLAIN,81552,fixed1024,1024,0.0003
ettm1,B0_MAG,81552,selected,0,0.0001
ettm1,B0_MAG,81552,fixed1024,1024,0.0001
ettm1,B0,81552,selected,1024,
ettm1,B0,81552,fixed1024,1024,
