source,arm,seed,phase,supervised,regularizer,gradient_norm
electricity,ANCHOR,81551,first256,0.18565284219221168,7.69299021498441e-05,0.08012172364396926
electricity,ANCHOR,81551,last256,0.1861901210213541,0.0001604971302382312,0.10593489072198232
electricity,ANCHOR,81551,middle512,0.18629278852313244,6.410580192549554e-05,0.08226183808437734
electricity,ANCHOR,81552,first256,0.19085925849503788,7.197282141642199e-05,0.07276122468829221
electricity,ANCHOR,81552,last256,0.1939060728764157,6.599383175395811e-05,0.07295811371295666
electricity,ANCHOR,81552,middle512,0.1932584347086954,5.9454690550350006e-05,0.07226129498303586
electricity,IDEAL,81551,first256,0.18747407611226613,0.22707190684741319,0.1822001310938499
electricity,IDEAL,81551,last256,0.19601373979821757,0.1530594651703718,0.39873530651675493
electricity,IDEAL,81551,middle512,0.1935174238751638,0.17440709179209032,0.34090394244412847
electricity,IDEAL,81552,first256,0.19234561451594298,0.23066016170196188,0.16272784493048628
electricity,IDEAL,81552,last256,0.20113822683924765,0.1532879059086549,0.32686270022531927
electricity,IDEAL,81552,middle512,0.19842186178720977,0.17619961444870522,0.2857214687392111
electricity,SHUFFLE,81551,first256,0.18563790948246559,0.00012415522937173532,0.0937979746668129
electricity,SHUFFLE,81551,last256,0.1861597866518418,0.00013731122328378807,0.09195188600278875
electricity,SHUFFLE,81551,middle512,0.18626435993064613,0.00013501751595839192,0.09498869122762649
electricity,SHUFFLE,81552,first256,0.1908523163874629,0.00012187819632428951,0.0872708741408127
electricity,SHUFFLE,81552,last256,0.19374490165500854,0.0003403556472671563,0.07346016238443506
electricity,SHUFFLE,81552,middle512,0.19319570974039332,0.0002045851973091139,0.08738172785524463
electricity,TRP,81551,first256,0.18565099532133852,0.0001434761829127198,0.10266362616675857
electricity,TRP,81551,last256,0.18618540980969508,0.000218698019395067,0.1538152076973342
electricity,TRP,81551,middle512,0.1862900279229502,0.00012998427898442346,0.09898840554524165
electricity,TRP,81552,first256,0.19085802478366487,0.00012910676061007566,0.09483288870615021
electricity,TRP,81552,last256,0.19390301968087395,0.0001165044235872547,0.09454269162961233
electricity,TRP,81552,middle512,0.19325635378481773,0.00011711044661636368,0.09812240984319893
ettm1,ANCHOR,81551,first256,0.242722620547283,0.000121234448698468,0.11434421015655924
ettm1,ANCHOR,81551,last256,0.24039127823198167,0.000733949579682481,0.16511183846159788
ettm1,ANCHOR,81551,middle512,0.2431399032066106,0.00027978933759678767,0.13557141452474705
ettm1,ANCHOR,81552,first256,0.22928033402422393,0.00017025555742089987,0.14115776589460388
ettm1,ANCHOR,81552,last256,0.22550418460741595,0.0008274750567518192,0.21283729477727273
ettm1,ANCHOR,81552,middle512,0.23078575465478887,0.0005696092513995819,0.1894082972503379
ettm1,IDEAL,81551,first256,0.24418802023865238,0.4390886678011152,4.909604731219588
ettm1,IDEAL,81551,last256,0.2610932444222267,0.21318267856258852,0.5090587359154592
ettm1,IDEAL,81551,middle512,0.2587315382843367,0.24725342431338457,0.4424905620689965
ettm1,IDEAL,81552,first256,0.2335456940927538,0.7836904908181164,24.47916004624858
ettm1,IDEAL,81552,last256,0.252124775666743,0.21787772682728201,0.49547905276995113
ettm1,IDEAL,81552,middle512,0.250590144161833,0.2544447533728085,0.4312559755053367
ettm1,SHUFFLE,81551,first256,0.24248672748217312,0.0003150146293928622,0.07983083945509815
ettm1,SHUFFLE,81551,last256,0.24030829203547865,0.00024732402042052345,0.08744925846985958
ettm1,SHUFFLE,81551,middle512,0.24289528513327194,0.0004341197876267032,0.07678023535481722
ettm1,SHUFFLE,81552,first256,0.22925105743342963,0.0001729403467431713,0.10026424223178713
ettm1,SHUFFLE,81552,last256,0.2254998065182003,0.0002398469300142877,0.11684830723970616
ettm1,SHUFFLE,81552,middle512,0.230764950101729,0.0001769590845123767,0.10410241224599256
ettm1,TRP,81551,first256,0.24272164324065623,0.00018326035518566886,0.16029921584049545
ettm1,TRP,81551,last256,0.24039019097108347,0.0010244485893901793,0.2778521279833508
ettm1,TRP,81551,middle512,0.24313911530771246,0.00043975285049619963,0.21074076156219188
ettm1,TRP,81552,first256,0.22928056010277895,0.00021398818134294847,0.22776381782750785
ettm1,TRP,81552,last256,0.22550418361788568,0.0013698984931233438,0.38143501996819346
ettm1,TRP,81552,middle512,0.2307842436130154,0.0008646340167070486,0.3361652898238385
