panel,stage,arm,seed,condition,checkpoint_step,absolute_correction_nmae,response_distortion_from_B0,ideal_response_error,B0_ideal_response_error,mean_response_to_true_shift_ratio
electricity,fixed1024,IDEAL,81551,SHIFT4,1024,0.054670749950897546,0.05441967788500633,0.0666426766018926,0.08721174576660029,1.000080901910944
electricity,fixed1024,IDEAL,81551,SHIFT8,1024,0.07519086038404262,0.07559265013408265,0.08900251059005937,0.11185574677691051,1.0029987325086864
electricity,fixed1024,IDEAL,81551,SHIFT_POINT,1024,0.05690536474116098,0.05777748158032007,,,
electricity,selected,IDEAL,81551,REFERENCE,512,0.021086890712072086,0.0,,,
electricity,selected,IDEAL,81551,SHIFT4,512,0.04519391087788389,0.04413704301246291,0.07404905407886217,0.08721174576660029,0.9975777348609831
electricity,selected,IDEAL,81551,SHIFT8,512,0.07120865759045808,0.06976821976151139,0.0986298773205912,0.11185574677691051,1.0037507218512145
electricity,selected,IDEAL,81551,SHIFT_POINT,512,0.04677796531571331,0.04596214548974765,,,
electricity,fixed1024,IDEAL,81552,REFERENCE,1024,0.037423814068549235,0.0,,,
electricity,fixed1024,IDEAL,81552,SHIFT4,1024,0.063955630005132,0.05915778755441248,0.06569506317630804,0.08514232178604397,1.006302047224672
electricity,fixed1024,IDEAL,81552,SHIFT8,1024,0.10258966612567974,0.10138854696335282,0.09140111931256895,0.12192197573638969,1.0065184889128187
electricity,fixed1024,IDEAL,81552,SHIFT_POINT,1024,0.06936808417195156,0.06362329481142459,,,
electricity,selected,IDEAL,81552,REFERENCE,512,0.023119055636056304,0.0,,,
electricity,selected,IDEAL,81552,SHIFT4,512,0.05432983545102214,0.05026776349437605,0.07458913685976232,0.08514232178604397,1.0065212806016122
electricity,selected,IDEAL,81552,SHIFT8,512,0.09139185122923177,0.08969516448700476,0.10002402765271459,0.12192197573638969,1.0054252584549057
electricity,selected,IDEAL,81552,SHIFT_POINT,512,0.058620627960710894,0.053845063445043286,,,
electricity,fixed1024,MAG_ONLY,81551,REFERENCE,1024,0.01143106814238811,0.0,,,
electricity,fixed1024,MAG_ONLY,81551,SHIFT4,1024,0.02528001483428243,0.02245373078808023,0.08255077292934643,0.08721174576660029,0.9816996341156418
electricity,fixed1024,MAG_ONLY,81551,SHIFT8,1024,0.04138745327297881,0.037608269425931276,0.10574788106554522,0.11185574677691051,0.9884046529011123
electricity,fixed1024,MAG_ONLY,81551,SHIFT_POINT,1024,0.025887708172324376,0.02328533481055399,,,
electricity,selected,MAG_ONLY,81551,REFERENCE,768,0.009309060636097693,0.0,,,
