role,method,n,primary,raw_2pinball,raw_RMSE,raw_MAE,coverage80,width80
C,F0,12,0.35232458037848685,119718.539160026,285571.9813562054,180083.39924678093,0.7430555555555555,370407.91917249886
C,PAST,12,0.29683008075077133,101434.45171425254,235799.2787907121,152813.39234754772,0.7777777777777778,364709.2280476888
C,LATEST,12,0.18551159490383673,61403.805177988,133572.92764913512,86595.80147750289,0.7743055555555555,235324.61946614584
C,MEAN_INPUT,12,0.18956128544802409,64140.93986615541,141609.49222395458,90890.28155743633,0.7465277777777778,222511.28249782984
C,MIXTURE,12,0.18576864331609913,63265.42048123964,142878.69258004177,91355.74660028616,0.78125,267605.4981233789
C,F0_CAL,12,0.33779426603082324,115134.64323092085,283939.0862206541,178476.7299653302,0.888888888888889,555611.8787587484
C,PAST_CAL,12,0.29113200620293983,99658.27125587365,235008.08983977314,152076.22192250422,0.8680555555555557,455886.5350596109
C,LATEST_CAL,12,0.18367407519833542,61313.986595488765,133064.42106904995,86719.61843645056,0.8715277777777777,294155.7743326823
C,MEAN_INPUT_CAL,12,0.18522688513823624,63194.4150131252,140903.349914355,90981.91705448391,0.8263888888888888,278139.1031222874
C,MIXTURE_CAL,12,0.18467406285023102,63454.43041724904,142411.3285105851,91477.34953482258,0.8680555555555555,334506.87265422376
C,SEASONAL24,12,0.4644424755884991,158996.06199446556,323220.17539998755,196298.05857316245,0.7986111111111112,610258.5731710516
C,SEASONAL168,12,0.4803797692329919,174654.9501648972,347910.8380579979,226051.10958605583,0.798611111111111,817241.2719760613
D,F0,16,0.18172125309349868,77400.07359388628,176242.18999676217,113580.67880418566,0.8020833333333334,335453.6615041097
D,PAST,16,0.19595741904887343,82953.64229896467,185352.82334257677,122087.86005486382,0.8333333333333333,364553.05740483606
D,LATEST,16,0.14947867852478466,64334.836367773234,140815.23325020063,90480.13908640544,0.7994791666666667,256936.73768870038
D,MEAN_INPUT,16,0.1515656252969188,65191.007708750425,138364.0945479765,92467.13358137342,0.78125,241383.14794158936
D,MIXTURE,16,0.1478150751287946,63430.43374895775,139073.09838223146,92739.3692621785,0.84375,290282.67979750707
D,F0_CAL,16,0.18593836832360794,79083.7598553334,174404.4600602826,112281.27487163706,0.9427083333333333,503180.49225616455
D,PAST_CAL,16,0.1956480735400138,82758.3673414157,184705.22983212912,120349.37868079185,0.9088541666666666,455691.321756045
D,LATEST_CAL,16,0.1504573032994731,64727.99318295832,140528.87859935846,91540.84455717413,0.8697916666666667,321170.9221108754
D,MEAN_INPUT_CAL,16,0.15179034198844693,65294.29191334762,138305.56564536842,94202.60912847627,0.8385416666666667,301728.9349269867
D,MIXTURE_CAL,16,0.14979930881096806,64252.86624955348,139118.7994823159,93991.29595808419,0.9010416666666666,362853.34974688385
D,SEASONAL24,16,0.31002273009480386,131266.21507451095,257077.93247234647,160634.1787996515,0.8359375,693746.6443266473
D,SEASONAL168,16,0.2772887998561051,120418.82963426498,228586.30529403902,148098.61833237225,0.9088541666666666,929046.1698761235
