id,role,month,method,primary,raw_2pinball,raw_RMSE,raw_MAE,coverage80,width80
C_0301,C,3,F0,0.9003793364164663,168397.77270585316,376653.3683548478,209011.61328125,0.5416666666666666,197318.53059895834
C_0301,C,3,PAST,0.7742984716020896,144816.89300677914,336331.8811089486,187994.75846354166,0.625,219110.578125
C_0301,C,3,LATEST,0.6420086555043215,120074.75435309194,271311.0112928598,146897.7814670139,0.5833333333333334,149682.93294270834
C_0301,C,3,MEAN_INPUT,0.5135527108533285,96049.66393270504,223797.49004092757,128340.3355034722,0.625,172726.89518229166
C_0301,C,3,MIXTURE,0.496746264646616,92906.35755744405,225619.5216648266,127190.07656236055,0.625,197672.68392028543
C_0301,C,3,F0_CAL,0.8442262043930043,157895.46331163263,379329.2354447244,213415.88716407595,0.6666666666666666,295977.7958984375
C_0301,C,3,PAST_CAL,0.7498036660070845,140235.6342659035,338432.02727628715,190472.1331095996,0.7083333333333334,273888.22265625
C_0301,C,3,LATEST_CAL,0.6139952263753802,114835.40813492754,269914.60239985667,145736.24369057603,0.7083333333333334,187103.6661783854
C_0301,C,3,MEAN_INPUT_CAL,0.4861709582977711,90928.46006157814,222167.14764274593,126999.70731803293,0.7083333333333334,215908.6189778646
C_0301,C,3,MIXTURE_CAL,0.47454816904298613,88754.65204092184,224543.67132316882,126461.53951495548,0.75,247090.85490035676
C_0301,C,3,SEASONAL24,1.0928395251430485,204393.56448523444,411285.11658528703,239357.30755545828,0.5833333333333334,299375.83425950614
C_0301,C,3,SEASONAL168,0.8529938571009871,159535.27569755327,364230.83257279696,183319.86260654542,0.75,400915.7729940748
C_0308,C,3,F0,0.6797320751874648,194512.60634631282,465734.8940098396,289287.72439236107,0.6666666666666666,379645.4453125
C_0308,C,3,PAST,0.5002568222830318,143153.84236937828,331094.8196873786,216980.00954861112,0.6666666666666666,396308.5462239583
C_0308,C,3,LATEST,0.27529284564316103,78777.99337301588,171006.49687368327,115353.98524305555,0.75,288968.5169270833
C_0308,C,3,MEAN_INPUT,0.3431081868407469,98184.07887070105,213230.5381262196,137936.66254340278,0.7083333333333334,279801.0026041667
C_0308,C,3,MIXTURE,0.32556437558141516,93163.72956268986,206612.27962072467,135025.16410875172,0.7083333333333334,319017.37092413945
C_0308,C,3,F0_CAL,0.6249567804405701,178838.06966703729,470308.87172592134,295413.17077490094,0.7916666666666666,569468.16796875
C_0308,C,3,PAST_CAL,0.490697008755632,140418.1994399396,334916.45344523,222767.9862732268,0.7916666666666666,495385.68277994794
C_0308,C,3,LATEST_CAL,0.2663194469763626,76210.15933048948,168226.62409013955,112200.80609594802,0.8333333333333334,361210.6461588542
C_0308,C,3,MEAN_INPUT_CAL,0.32730754829906406,93662.55708753214,210092.04826121844,134820.4679380806,0.7916666666666666,349751.2532552083
C_0308,C,3,MIXTURE_CAL,0.31529473039291084,90224.96070833363,204492.3248790082,132827.9557084042,0.7916666666666666,398771.7136551744
C_0308,C,3,SEASONAL24,0.8949294973823642,256093.65128757656,469177.5423872085,318133.52239290264,0.625,458053.18433810055
C_0308,C,3,SEASONAL168,0.4474355974994068,128038.48371834839,257970.4956494264,165763.89029947916,0.7916666666666666,613412.0575414344
C_0315,C,3,F0,0.264373490707157,93948.81301835318,241447.3049221693,141154.40277777778,0.7083333333333334,318716.3606770833
C_0315,C,3,PAST,0.20927822468766613,74369.94059957837,184305.5806042946,111819.19444444445,0.7916666666666666,299840.3600260417
C_0315,C,3,LATEST,0.10697633596304432,38015.535362103175,88372.23851567408,56775.6193576389,0.8333333333333334,204372.93033854166
C_0315,C,3,MEAN_INPUT,0.13214278817756564,46958.78571263228,108182.7625307129,69645.17795138889,0.6666666666666666,189031.27734375
C_0315,C,3,MIXTURE,0.1282666600532727,45581.34943711799,103219.92524706865,66894.22655305715,0.7916666666666666,226612.73167326138
C_0315,C,3,F0_CAL,0.2518568628531232,89500.85446269948,236308.83610213845,135962.1227755089,0.9583333333333334,478074.541015625
C_0315,C,3,PAST_CAL,0.20353903696806558,72330.4400713532,180451.24187032843,110022.26846563366,0.9583333333333334,374800.45003255206
C_0315,C,3,LATEST_CAL,0.10559016507016192,37522.9401715697,85673.28854598507,53685.86507427207,1.0,255466.1629231771
C_0315,C,3,MEAN_INPUT_CAL,0.1251777253870734,44483.65335342812,104744.98926947621,66012.36821666796,0.8333333333333334,236289.0966796875
