baseline,baseline_primary,candidate_primary,gain_percent,positive_months,ci_low,ci_high
F0,0.18172125309349868,0.14979930881096806,17.566434161724732,3,3.0926483676225147,27.855438883195365
PAST,0.19595741904887343,0.14979930881096806,23.55517359942016,4,7.5840690998463876,34.38316157360421
LATEST,0.14947867852478466,0.14979930881096806,-0.21449901039246602,2,-7.08609231925494,6.438005924890698
MEAN_INPUT,0.1515656252969188,0.14979930881096806,1.1653806610110358,2,-2.9130180235107455,4.349582145315919
MIXTURE,0.1478150751287946,0.14979930881096806,-1.3423757221274968,1,-3.11923629485375,-0.1835805057765687
F0_CAL,0.18593836832360794,0.14979930881096806,19.4360420812897,3,4.379088978784513,29.9662291436729
PAST_CAL,0.1956480735400138,0.14979930881096806,23.43430420727796,4,7.397027518241505,34.2990957096122
LATEST_CAL,0.1504573032994731,0.14979930881096806,0.43732971020712247,2,-5.051380924563556,5.781774516075391
MEAN_INPUT_CAL,0.15179034198844693,0.14979930881096806,1.311699513550348,2,-1.615502119435996,4.226202109566317
SEASONAL24,0.31002273009480386,0.14979930881096806,51.68118519401465,4,30.50549895201003,62.378460777389705
SEASONAL168,0.2772887998561051,0.14979930881096806,45.97715129904122,4,38.34692335590202,53.56759241685807
