uid,group,score,alternate,error_scale_from_context,nuisance_0,nuisance_1,nuisance_2,nuisance_3,nuisance_4,SIMPLE,RIDGE_RAW,RIDGE_STRUCTURE,F0
day28:t7:o120,day28,0.034153583757920186,0.010849127955691068,263.465540281198,0.62007681381222,5.57392258250792,0.5214745400173922,0.5004449532917132,13.197499999999998,0.5211307704736609,0.59815368283459,1.082061199751869,0.751569154094489
day28:t10:o120,day28,0.03019992749549592,0.05489173772420479,276.93914654912555,0.5686420240051175,5.6237977945042115,0.482164718777304,0.26626788201977597,11.939444444444444,0.1321890884315246,0.5278187109917643,1.138121327548541,1.0641917939731247
day29:t7:o48,day29,0.006766845894270175,0.0034728314839480466,334.1582057444617,0.5564274911636264,5.811614550724126,0.36885693455880153,1.2972897045404508,7.396666666666666,1.0707403275330063,0.8595974503660377,0.7026184084273402,0.9560523243084592
day29:t10:o48,day29,0.0048669261294667044,0.01093210054094913,326.1678049047826,0.5547726658332397,5.787411987905773,0.3856507455712185,1.3455037358089814,6.551388888888889,1.0156888418116903,1.140081688813552,1.1288792474527594,0.943331138755382
day29:t7:o84,day29,0.020150482942733344,0.005071194762823611,155.41196963088936,0.8250198756102863,5.046079459619099,0.9246355278343192,2.1704891894823204,8.213055555555556,1.6415402276022235,1.9883667280504436,2.2702660377263255,1.9982653287486059
day29:t10:o84,day29,0.01957642770632525,0.03644062082807753,159.49699396234615,0.8373275205114215,5.07202507541624,0.746672379468889,1.9976552039295445,7.244166666666666,2.205358177991996,1.7722909156311224,1.8189073092712797,2.3352512602229667
day29:t1:o120,day29,0.018685935072445117,0.018776220954296152,212.63861482673389,0.6971916053676117,5.359594080772978,0.8826887554673658,1.296566008129102,8.967777777777776,1.377807131779556,0.5813660516121962,0.9112171471952445,0.3585253596494695
day29:t4:o120,day29,0.009949166655164187,0.0360976107645204,262.1214897290525,0.568121656990648,5.568808097540818,0.676139036184212,0.5200260388451924,8.399444444444443,0.7664702865110622,0.5627374232567286,0.6310417103896859,0.5340989772520784
day29:t7:o120,day29,0.03449173067182793,0.008549262705717956,252.68913770321518,0.672741335956151,5.532160028520586,0.8575053430621948,0.49737001416978965,10.413055555555555,0.9924249308038583,0.8336044688169085,0.5847164889475962,0.5043294354006499
day31:t7:o48,day31,0.0005441838294570742,0.000989287476011446,446.33012899326553,0.3902019830733915,6.101058877743966,0.1333746905937445,2.5204213807779348,9.328055555555556,0.16248062877488204,0.46528737363422534,0.5154082190980336,0.058828949386823835
day31:t10:o48,day31,0.0006574332779432658,0.0008392979124162433,490.06850016307243,0.3759877060499176,6.194545177585256,0.11570160960528279,2.6401615275608665,7.479444444444443,0.12664215984639188,0.3513099505752941,0.5251048558279232,0.0607023684954184
day31:t7:o120,day31,0.04474743606049772,0.014822011764435343,226.2219751750111,0.6589077968930556,5.421516708278146,0.6923806326266049,2.3838974952932466,8.89611111111111,1.3165166636424026,1.4407591040109813,1.391594251058116,1.06389033757204
day31:t10:o120,day31,0.021625314823720175,0.0427090011569858,249.20899078089852,0.7084968742269129,5.518291864837516,0.7574973208856322,2.103575791376229,7.105277777777777,1.3732650612950175,0.7284881385034568,0.7257118856927667,1.1107236528235926
day34:t1:o120,day34,0.04032703277943441,0.045343202921365164,264.3737082529806,0.7911464073812349,5.57736366374787,0.9155027507926496,0.16000078177033747,6.456111111111111,0.7456490333424733,0.7294059351686455,0.7047480117985845,0.710078705572279
