seed,arm,trainable,model_total,lora,head,frequency_adapter,channel_adapter
40000,LORA_HEAD,3317856,38655264,172032,3145824,0,0
40000,SPECIFIC,12265312,47602720,172032,3145824,262656,8684800
40000,SHARED,3975520,39312928,172032,3145824,262656,395008
40000,SHARED_WIDE,4370529,39707937,172032,3145824,262656,790017
40000,GROUP4,4370272,39707680,172032,3145824,262656,789760
40000,BASIS4,4370528,39707936,172032,3145824,262656,790016
40001,LORA_HEAD,3317856,38655264,172032,3145824,0,0
40001,SPECIFIC,12265312,47602720,172032,3145824,262656,8684800
40001,SHARED,3975520,39312928,172032,3145824,262656,395008
40001,SHARED_WIDE,4370529,39707937,172032,3145824,262656,790017
40001,GROUP4,4370272,39707680,172032,3145824,262656,789760
40001,BASIS4,4370528,39707936,172032,3145824,262656,790016
