track,phase,calls
N02,main_train,8192
N02,smoke_train,8
N02,smoke_verify,16
N02,restore_verify,16
N02,V,1408
N02,cross,1024
N02,E,1024
N03,main_train,8192
N03,smoke_train,8
N03,smoke_verify,16
N03,restore_verify,16
N03,V,2816
N03,E,3584
N03,cross,4096
