track,fits,optimizer_seconds,selection_included_fit_seconds,main_E_prediction_seconds,cross_prediction_seconds,peak_allocated_MiB,contaminated_updates
N02,16,786.9515381246165,984.0200403219496,34.86148571703234,34.61496280800202,783.71240234375,0
N03,16,811.8916003178165,1064.412031215994,121.4116924070986,139.54798294100328,748.02587890625,0
