panel,kind,arm,seed,stage,step,condition,nmae,mae,pinball
electricity,shape,B0,81551,fixed1024,768,PAIRED_SHIFT8_D32,0.2114207846374824,13.783960023444152,0.1730139501061309
electricity,shape,B0,81551,fixed1024,768,PULSE8_D32,2.993564815341061,227.36221388525155,2.891265955700684
electricity,shape,B0,81551,fixed1024,768,RAMP8_D32,0.5137246579801916,36.76724838205068,0.3974608280868579
electricity,shape,B0,81551,fixed1024,768,STEP12_D17,0.3049869534938703,19.8735306752847,0.2523173215938363
electricity,shape,B0,81551,fixed1024,768,STEP12_D63,0.2257596413913575,15.364967168408434,0.1831782863092198
electricity,shape,B0,81551,fixed1024,768,STEP6_D17,0.2393722619533945,15.512925326592558,0.196686729901585
electricity,shape,B0,81551,fixed1024,768,STEP6_D63,0.2022326850142712,13.700167134195562,0.1644750137918139
electricity,shape,B0,81551,fixed1024,768,STEP8_D31,0.2099953720287695,13.688779888348945,0.1722665866673837
electricity,shape,B0,81551,fixed1024,768,STEP8_D33,0.2148553999982557,13.995491208493348,0.1750510940219295
electricity,shape,B0,81551,selected,768,PAIRED_SHIFT8_D32,0.2114207846374824,13.783960023444152,0.1730139501061309
electricity,shape,B0,81551,selected,768,PULSE8_D32,2.993564815341061,227.36221388525155,2.891265955700684
electricity,shape,B0,81551,selected,768,RAMP8_D32,0.5137246579801916,36.76724838205068,0.3974608280868579
electricity,shape,B0,81551,selected,768,STEP12_D17,0.3049869534938703,19.8735306752847,0.2523173215938363
electricity,shape,B0,81551,selected,768,STEP12_D63,0.2257596413913575,15.364967168408434,0.1831782863092198
electricity,shape,B0,81551,selected,768,STEP6_D17,0.2393722619533945,15.512925326592558,0.196686729901585
electricity,shape,B0,81551,selected,768,STEP6_D63,0.2022326850142712,13.700167134195562,0.1644750137918139
electricity,shape,B0,81551,selected,768,STEP8_D31,0.2099953720287695,13.688779888348945,0.1722665866673837
electricity,shape,B0,81551,selected,768,STEP8_D33,0.2148553999982557,13.995491208493348,0.1750510940219295
electricity,shape,B0,81552,fixed1024,512,PAIRED_SHIFT8_D32,0.2143870549534957,13.806072913704034,0.17636629834536
electricity,shape,B0,81552,fixed1024,512,PULSE8_D32,2.9513351355726445,223.56778593568012,2.8377340143590426
