panel,kind,condition,arm,matched_nmae,swapped_nmae,pairing_penalty,penalty_pct,ci_low,ci_high,bonferroni2_low,bonferroni2_high
electricity,shape,PAIRED_SHIFT8_D32,C3,0.2056656329218718,0.2178402220424747,0.0121745891206029,5.919603070109346,0.0104327214589482,0.0139859050401674,0.0101486605027716,0.0143544574531974
electricity,shape,PAIRED_SHIFT8_D32,MAG_ONLY,0.2056905500923917,0.2178409777350944,0.0121504276427026,5.907139456452904,0.0104800696780836,0.0138727973732932,0.0102184633082245,0.0142452905250738
electricity,shape,PULSE8_D32,C3,2.984486567584905,2.96780652516976,-0.0166800424151448,-0.5588915224585037,-0.0177295637243465,-0.0156589244343773,-0.0178671608686632,-0.0155291624859829
electricity,shape,PULSE8_D32,MAG_ONLY,2.984728620090697,2.9672502598568644,-0.0174783602338331,-0.5855929452407641,-0.0185045134634644,-0.0164842046419469,-0.0186510987986405,-0.016335763061324
electricity,shape,RAMP8_D32,C3,0.4854218410800445,0.4948081171576001,0.0093862760775555,1.9336328288548916,0.0076799777651403,0.0113124534087383,0.0074373425853316,0.0115332147746431
electricity,shape,RAMP8_D32,MAG_ONLY,0.4805995017445339,0.4888971409248643,0.0082976391803303,1.7265184733256356,0.0066389709046305,0.0101377732637282,0.0063495712630959,0.0103876847692833
electricity,shape,STEP12_D17,C3,0.3003061736251586,0.3203668161936011,0.0200606425684424,6.680063325465312,0.0174284161169054,0.0224835603467636,0.0170070381026577,0.0227928050758796
electricity,shape,STEP12_D17,MAG_ONLY,0.2966230403691396,0.3177397190035571,0.0211166786344175,7.119028450432713,0.0182893615800868,0.023617299907073,0.0178737355643656,0.0240632461387865
electricity,shape,STEP12_D63,C3,0.2148845785080977,0.2149786347604693,9.405625237160096e-05,0.0437705921125729,-0.0010625820875015,0.0013357647724512,-0.0012529807719078,0.0015087307315599
electricity,shape,STEP12_D63,MAG_ONLY,0.2148976545849067,0.2152679436566843,0.0003702890717776,0.1723094989067546,-0.0008477899965532,0.0016627916197155,-0.0010615402057917,0.0018508534946292
electricity,shape,STEP6_D17,C3,0.2364985978362637,0.2444164558263891,0.0079178579901254,3.347951346251628,0.0066388054339125,0.0091386017325728,0.0064576134407188,0.009322647286136
electricity,shape,STEP6_D17,MAG_ONLY,0.2355180586343155,0.2435489165832551,0.0080308579489396,3.409869287946626,0.0066687194511784,0.0093537328099759,0.006470587004063,0.0095308373248857
electricity,shape,STEP6_D63,C3,0.1942208615348176,0.196618928243343,0.0023980667085254,1.2347111888881817,0.0014135019286022,0.0034925198088246,0.0012806417364647,0.0036808841570717
electricity,shape,STEP6_D63,MAG_ONLY,0.1943903139930592,0.1968822373776025,0.0024919233845432,1.281917464587375,0.0014865668180612,0.0036265829823252,0.0013215520187369,0.0037908357980434
electricity,shape,STEP8_D31,C3,0.208178764881012,0.2211246101381067,0.0129458452570946,6.218619494881732,0.0112380667161291,0.0147067076996829,0.0109803634613971,0.0151508868246633
