candidate,control,seed,candidate_score,control_score,improvement_pct
A_TIME,STATIC,92401,0.179604471340672,0.17960641567987193,0.0010825555382121266
A_TIME,STATIC,92402,0.18046637664482765,0.18042259412249698,-0.02426665160404351
A_TIME,A_NOERROR,92401,0.179604471340672,0.179606012223995,0.0008579241328909859
A_TIME,A_NOERROR,92402,0.18046637664482765,0.18046176280545148,-0.0025566853079750373
A_TIME,A_SET,92401,0.179604471340672,0.1797407487198949,0.07581885587628623
A_TIME,A_SET,92402,0.18046637664482765,0.18037702850120726,-0.049534103296178245
A_TIME,G0,92401,0.179604471340672,0.17881507205944067,-0.4414612661783446
A_TIME,G0,92402,0.18046637664482765,0.1790729857235219,-0.7781134131850997
A_TIME,STATIC_LONG512,92401,0.179604471340672,0.1744151314104251,-2.9752808075095283
A_TIME,STATIC_LONG512,92402,0.18046637664482765,0.17501140694397985,-3.116922374433506
A_TIME,A_AFFINE,92401,0.179604471340672,0.18630306309929656,3.5955349564243733
A_TIME,A_AFFINE,92402,0.18046637664482765,0.18678639863997382,3.3835557841274344
A_TIME,A_LOCAL,92401,0.179604471340672,0.17960641567987193,0.0010825555382121266
A_TIME,A_LOCAL,92402,0.18046637664482765,0.18042259412249698,-0.02426665160404351
A_TIME,A_COEFF,92401,0.179604471340672,0.17960222280000981,-0.0012519559207779807
A_TIME,A_COEFF,92402,0.18046637664482765,0.1804119719085003,-0.03015583486607465
A_NOERROR,STATIC,92401,0.179606012223995,0.17960641567987193,0.00022463333250177797
A_NOERROR,STATIC,92402,0.18046176280545148,0.18042259412249698,-0.021709411254722255
A_SET,STATIC,92401,0.1797407487198949,0.17960641567987193,-0.07479300754067442
A_SET,STATIC,92402,0.18037702850120726,0.18042259412249698,0.025254941883157134
STATIC_LONG512,STATIC,92401,0.1744151314104251,0.17960641567987193,2.8903668333873367
STATIC_LONG512,STATIC,92402,0.17501140694397985,0.18042259412249698,2.9991738035000437
A_AFFINE,STATIC,92401,0.18630306309929656,0.17960641567987193,-3.7285123663737263
A_AFFINE,STATIC,92402,0.18678639863997382,0.18042259412249698,-3.5271660672144822
A_LOCAL,STATIC,92401,0.17960641567987193,0.17960641567987193,0.0
A_LOCAL,STATIC,92402,0.18042259412249698,0.18042259412249698,0.0
A_COEFF,STATIC,92401,0.17960222280000981,0.17960641567987193,0.0023344822323023706
A_COEFF,STATIC,92402,0.1804119719085003,0.18042259412249698,0.005887407865035055
STATIC,G0,92401,0.17960641567987193,0.17881507205944067,-0.4425486125510858
STATIC,G0,92402,0.18042259412249698,0.1790729857235219,-0.7536638725948341
