role,arm,seed,tag,kind,query_count,compute_seconds,median_seconds,peak_allocated,peak_scope,episodes_reset,budget,seconds,mean_episode_seconds
DEV,STATIC,92401,0.0,fixed,96.0,1.616276100219693,0.01669229999242816,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
DEV,STATIC,92401,128.0,fixed,96.0,1.6382238002552185,0.016906049990211613,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
DEV,STATIC,92401,512.0,fixed,96.0,1.623451699852012,0.016402599998400547,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
DEV,STATIC,92402,0.0,fixed,96.0,1.6515532998018898,0.017022100000758655,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
DEV,STATIC,92402,128.0,fixed,96.0,1.632678600057261,0.01697930000955239,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
DEV,STATIC,92402,512.0,fixed,96.0,1.6711734998680186,0.017083899991121143,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
DEV,A_NOERROR,92401,0.0,fixed,96.0,2.179942499875324,0.021987000000081025,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
DEV,A_NOERROR,92401,128.0,fixed,96.0,2.190949500305578,0.021839850014657713,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
DEV,A_NOERROR,92401,512.0,fixed,96.0,2.1141731001844164,0.02124825000646524,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
DEV,A_NOERROR,92402,0.0,fixed,96.0,2.0723095000139438,0.02143439999781549,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
DEV,A_NOERROR,92402,128.0,fixed,96.0,2.156639900204027,0.022124349998193793,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
DEV,A_NOERROR,92402,512.0,fixed,96.0,2.1043226999463513,0.02162174999830313,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
DEV,A_SET,92401,0.0,fixed,96.0,2.268556500086561,0.02348500001244247,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
DEV,A_SET,92401,128.0,fixed,96.0,2.2651494000747334,0.02310554998985026,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
DEV,A_SET,92401,512.0,fixed,96.0,2.336637099942891,0.023389850015519187,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
DEV,A_SET,92402,0.0,fixed,96.0,2.1731897000863682,0.022602349999942817,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
DEV,A_SET,92402,128.0,fixed,96.0,2.263857799989637,0.02329354999528732,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
DEV,A_SET,92402,512.0,fixed,96.0,2.259601699974155,0.023380500002531335,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
DEV,A_TIME,92401,0.0,fixed,96.0,2.3252679000434,0.024146650001057424,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
DEV,A_TIME,92401,128.0,fixed,96.0,2.223788500239607,0.023040950021822937,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
DEV,A_TIME,92401,512.0,fixed,96.0,2.271993800124619,0.023447600004146807,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
DEV,A_TIME,92402,0.0,fixed,96.0,2.1801096998387948,0.022652349987765774,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
DEV,A_TIME,92402,128.0,fixed,96.0,2.257059399911668,0.023225950004416518,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
DEV,A_TIME,92402,512.0,fixed,96.0,2.259103699994739,0.023248550001881085,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
DEV,G0,92401,512.0,fixed,96.0,1.6149678997753654,0.0166629000013927,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
DEV,STATIC_LONG512,92401,128.0,fixed,96.0,1.624996599945007,0.01682135000010021,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
DEV,A_AFFINE,92401,128.0,fixed,96.0,9.009171799960313,0.09271304999128915,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
DEV,A_LOCAL,92401,,local,,,,466889216,Process high-water since last offline fit reset; not isolated method memory,True,0.0,1.5967165001202375,0.01663246354291914
DEV,A_LOCAL,92401,,local,,,,466889216,Process high-water since last offline fit reset; not isolated method memory,True,1.0,6.639960800064728,0.06916625833400758
DEV,A_LOCAL,92401,,local,,,,466889216,Process high-water since last offline fit reset; not isolated method memory,True,4.0,21.159120200085454,0.22040750208422347
DEV,A_LOCAL,92401,,local,,,,466889216,Process high-water since last offline fit reset; not isolated method memory,True,8.0,40.45623770027305,0.4214191427111776
DEV,A_COEFF,92401,,local,,,,466889216,Process high-water since last offline fit reset; not isolated method memory,True,0.0,3.243701899977168,0.0337885614580955
DEV,A_COEFF,92401,,local,,,,466889216,Process high-water since last offline fit reset; not isolated method memory,True,1.0,10.76370869987295,0.11212196562367656
DEV,A_COEFF,92401,,local,,,,466889216,Process high-water since last offline fit reset; not isolated method memory,True,4.0,34.77420290009468,0.36223128020931955
DEV,A_COEFF,92401,,local,,,,466889216,Process high-water since last offline fit reset; not isolated method memory,True,8.0,66.40054550007335,0.6916723489590973
DEV,G0,92402,512.0,fixed,96.0,3.249007299891673,0.034303649998037145,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
DEV,STATIC_LONG512,92402,512.0,fixed,96.0,3.087594800075749,0.032722200005082414,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
DEV,A_AFFINE,92402,512.0,fixed,96.0,18.1915209000872,0.18652879999717698,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
DEV,A_COEFF,92402,,local,,,,466889216,Process high-water since last offline fit reset; not isolated method memory,True,0.0,3.380715400009649,0.035215785416767176
DEV,A_COEFF,92402,,local,,,,466889216,Process high-water since last offline fit reset; not isolated method memory,True,1.0,12.001104800379835,0.12501150833728994
DEV,A_COEFF,92402,,local,,,,466889216,Process high-water since last offline fit reset; not isolated method memory,True,4.0,38.39997349987971,0.3999997239570803
DEV,A_COEFF,92402,,local,,,,466889216,Process high-water since last offline fit reset; not isolated method memory,True,8.0,73.39844109985279,0.7645670947901332
DEV,A_LOCAL,92402,,local,,,,466889216,Process high-water since last offline fit reset; not isolated method memory,True,0.0,2.7337368999724276,0.028476426041379455
DEV,A_LOCAL,92402,,local,,,,466889216,Process high-water since last offline fit reset; not isolated method memory,True,1.0,11.420850300433813,0.11896719062951888
DEV,A_LOCAL,92402,,local,,,,466889216,Process high-water since last offline fit reset; not isolated method memory,True,4.0,37.38757680042181,0.38945392500439385
DEV,A_LOCAL,92402,,local,,,,466889216,Process high-water since last offline fit reset; not isolated method memory,True,8.0,71.23037900027703,0.741983114586219
TEST,G0,92401,512.0,fixed,96.0,1.6194226000807248,0.016712700002244674,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
TEST,STATIC,92401,128.0,fixed,96.0,1.6383000999048818,0.016787749991635792,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
TEST,A_NOERROR,92401,128.0,fixed,96.0,2.07462909995229,0.021639599988702685,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
TEST,A_SET,92401,128.0,fixed,96.0,2.2781050000630785,0.02345959999365732,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
TEST,A_TIME,92401,128.0,fixed,96.0,2.314963599987095,0.023731599998427555,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
TEST,STATIC_LONG512,92401,128.0,fixed,96.0,1.600689299957594,0.016602549992967397,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
TEST,A_AFFINE,92401,128.0,fixed,96.0,9.153768400050467,0.09358149999752641,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
TEST,A_LOCAL,92401,,local,,,,466889216,Process high-water since last offline fit reset; not isolated method memory,True,0.0,1.6012770000379533,0.016679968750395346
TEST,A_LOCAL,92401,,local,,,,466889216,Process high-water since last offline fit reset; not isolated method memory,True,1.0,6.608671000023605,0.06884032291691256
TEST,A_LOCAL,92401,,local,,,,466889216,Process high-water since last offline fit reset; not isolated method memory,True,4.0,21.00169600028312,0.2187676666696158
TEST,A_LOCAL,92401,,local,,,,466889216,Process high-water since last offline fit reset; not isolated method memory,True,8.0,40.22216740029398,0.418980910419729
TEST,A_COEFF,92401,,local,,,,466889216,Process high-water since last offline fit reset; not isolated method memory,True,0.0,1.6288672000227962,0.016967366666904127
TEST,A_COEFF,92401,,local,,,,466889216,Process high-water since last offline fit reset; not isolated method memory,True,1.0,5.777189499727683,0.06017905728883003
TEST,A_COEFF,92401,,local,,,,466889216,Process high-water since last offline fit reset; not isolated method memory,True,4.0,18.244835799909197,0.1900503729157208
TEST,A_COEFF,92401,,local,,,,466889216,Process high-water since last offline fit reset; not isolated method memory,True,8.0,34.91916339987074,0.3637412854153202
TEST,A_AFFINE,92402,512.0,fixed,96.0,9.01571020000847,0.0926286500034621,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
TEST,STATIC_LONG512,92402,512.0,fixed,96.0,1.5983548001095187,0.0165481500007445,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
TEST,A_TIME,92402,512.0,fixed,96.0,2.232388600241393,0.023141049983678386,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
TEST,A_SET,92402,512.0,fixed,96.0,2.2298066000803374,0.023041799999191426,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
TEST,A_NOERROR,92402,512.0,fixed,96.0,2.113967000012053,0.02186100001563318,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
TEST,STATIC,92402,512.0,fixed,96.0,1.6034052000904921,0.016670749988406897,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
TEST,G0,92402,512.0,fixed,96.0,1.6548053999140393,0.01707544999953825,466889216,Process high-water since last offline fit reset; not isolated method memory,,,,
TEST,A_COEFF,92402,,local,,,,466889216,Process high-water since last offline fit reset; not isolated method memory,True,0.0,1.6215374000021257,0.016891014583355474
TEST,A_COEFF,92402,,local,,,,466889216,Process high-water since last offline fit reset; not isolated method memory,True,1.0,5.784501299989643,0.06025522187489211
