arm,seed,pinball,raw_pinball,nmae,raw_mae,coverage,width,crossing,early32,late32,early16,late48
STATIC,92401,0.17960641567987193,32.012592077751954,0.22647036423126263,40.37315373681486,0.7960611979166666,0.706724158488214,6.103515625e-05,0.16817291694313652,0.1910399144166073,0.14706057549051663,0.1904550290763237
STATIC,92402,0.18042259412249698,32.25960787078021,0.227705167519114,40.65914321132004,0.8074544270833334,0.7254462242126465,0.0,0.16861874208332947,0.19222644616166454,0.14788722655302147,0.19126771664565553
A_NOERROR,92401,0.179606012223995,32.01252419773351,0.22647071843423705,40.373027647535004,0.7962239583333334,0.7066639329617223,6.103515625e-05,0.16817528234839096,0.1910367420995991,0.14706538985590853,0.19045288634669053
A_NOERROR,92402,0.18046176280545148,32.26767132129106,0.2277505748203127,40.668346858893834,0.8082682291666666,0.7265047499289116,0.0,0.168630526497636,0.19229299911326703,0.14792138726365123,0.19130855465271826
A_SET,92401,0.17974074871989487,32.049150468298684,0.2266336955570407,40.416721714039646,0.7939453125,0.7056551637748877,6.103515625e-05,0.16825712586194683,0.19122437157784297,0.14705932898067706,0.19063455529963416
A_SET,92402,0.1803770285012073,32.24679684093981,0.22765447261247798,40.648624415819846,0.80859375,0.7256290732572476,0.0,0.16857729507807653,0.192176761924338,0.14785093217843312,0.19121906060879867
A_TIME,92401,0.17960447134067195,32.01193257521976,0.22646890343812517,40.372481955215335,0.7962239583333334,0.7066939696669579,6.103515625e-05,0.16817293042414805,0.1910360122571959,0.1470642258221612,0.1904512198468422
A_TIME,92402,0.18046637664482765,32.26826353099335,0.22775773943916333,40.66858941627046,0.8079427083333334,0.7262539882212877,0.0,0.16864843761347834,0.19228431567617696,0.14794059677813412,0.19130830326705883
G0,92401,0.1788150720594407,31.668290728896306,0.2255968397096955,40.00116213349005,0.7991536458333334,0.6988624526808659,0.0001220703125,0.1678441365557607,0.18978600756312067,0.14736822262566687,0.18929735520403193
G0,92402,0.1790729857235219,31.88994785290625,0.22613323033852348,40.287416499728955,0.8019205729166666,0.7097422877947489,0.0001220703125,0.16817839221468792,0.18996757923235588,0.14702047674486346,0.18975715538307472
STATIC_LONG512,92401,0.1744151314104251,31.22566676535816,0.2201178686029144,39.46363875331978,0.783203125,0.6744456747546792,0.00016276041666666666,0.16591052916959023,0.18291973365126002,0.14465982934896965,0.18433356543091028
STATIC_LONG512,92402,0.17501140694397985,31.517805964485916,0.2206569012763182,39.71935270602504,0.7967122395833334,0.6899589747190475,0.0001220703125,0.16613034792850626,0.1838924659594534,0.14578539660974726,0.18475341038872403
A_AFFINE,92401,0.18630306309929656,32.68418534268384,0.2324892788627411,40.8539588858063,0.7942708333333334,0.7489193131526312,6.103515625e-05,0.17509674177261217,0.19750938442598098,0.15450271055822368,0.19690318061298753
A_AFFINE,92402,0.18678639863997382,32.86810477255257,0.23392884302051187,41.14385949416707,0.798828125,0.748996173342069,0.0,0.17547385352445558,0.19809894375549209,0.15515238598900147,0.1973310695236313
A_LOCAL,92401,0.17960641567987193,32.012592077751954,0.22647036423126263,40.37315373681486,0.7960611979166666,0.706724158488214,6.103515625e-05,0.16817291694313652,0.1910399144166073,0.14706057549051663,0.1904550290763237
A_LOCAL,92402,0.18042259412249698,32.25960787078021,0.227705167519114,40.65914321132004,0.8074544270833334,0.7254462242126465,0.0,0.16861874208332947,0.19222644616166454,0.14788722655302147,0.19126771664565553
A_COEFF,92401,0.17960222280000984,32.011219110050135,0.22646552758304395,40.37153900663058,0.7960611979166666,0.7066106932858626,6.103515625e-05,0.16817078363989715,0.1910336619601225,0.14706394950135535,0.19044831389956132
A_COEFF,92402,0.1804119719085003,32.26056781746447,0.22769197078623657,40.66293309877316,0.80810546875,0.7264384614924589,0.0,0.16861824033221615,0.19220570348478447,0.14788641128035604,0.19125382545121505
