candidate,control,series_original,improvement_pct
A_TIME,STATIC,202,-0.017715923921879373
A_TIME,STATIC,138,-0.008416785305076502
A_TIME,STATIC,48,-0.01683960634475401
A_TIME,STATIC,5,-0.006879476227727999
A_TIME,STATIC,294,-0.01742478845123685
A_TIME,STATIC,68,-0.0076693026114016405
A_TIME,STATIC,237,-0.013781893885322916
A_TIME,STATIC,142,-0.005463792145055102
A_TIME,A_NOERROR,202,-0.00507139579613014
A_TIME,A_NOERROR,138,-0.0037078733942985664
A_TIME,A_NOERROR,48,0.005220490575430503
A_TIME,A_NOERROR,5,0.007702476257831492
A_TIME,A_NOERROR,294,0.003786825506901792
A_TIME,A_NOERROR,68,-0.02024397023918656
A_TIME,A_NOERROR,237,0.0020629009100825435
A_TIME,A_NOERROR,142,0.003227941174077653
A_TIME,A_SET,202,0.008068054470744546
A_TIME,A_SET,138,0.06629406980910302
A_TIME,A_SET,48,0.00782562635389672
A_TIME,A_SET,5,-0.017050237915072763
A_TIME,A_SET,294,0.05649523808239909
A_TIME,A_SET,68,-0.014580308600797842
A_TIME,A_SET,237,0.000800419053592627
A_TIME,A_SET,142,0.03703627625432082
A_TIME,G0,202,-1.3246302812921495
A_TIME,G0,138,-1.4565663974722032
A_TIME,G0,48,0.17425347881686593
A_TIME,G0,5,1.1226731947555302
A_TIME,G0,294,-2.304991900887998
A_TIME,G0,68,-1.0473549738507115
A_TIME,G0,237,-1.0595358518346698
A_TIME,G0,142,-0.7869823941619059
A_TIME,STATIC_LONG512,202,-1.3882310360703087
A_TIME,STATIC_LONG512,138,-2.1527449677591015
A_TIME,STATIC_LONG512,48,-6.879616824127788
A_TIME,STATIC_LONG512,5,-0.10736440491359023
A_TIME,STATIC_LONG512,294,-3.2808292580788656
A_TIME,STATIC_LONG512,68,-4.518576828719945
A_TIME,STATIC_LONG512,237,-3.1637534228607267
A_TIME,STATIC_LONG512,142,-1.1739742896374583
A_TIME,A_AFFINE,202,7.358839184790678
A_TIME,A_AFFINE,138,1.0563823223356472
A_TIME,A_AFFINE,48,7.9207854990616555
A_TIME,A_AFFINE,5,0.12685487547927643
A_TIME,A_AFFINE,294,0.6010602659488606
A_TIME,A_AFFINE,68,4.962894139089502
A_TIME,A_AFFINE,237,1.749539659117172
A_TIME,A_AFFINE,142,0.1600126525400536
A_TIME,A_LOCAL,202,-0.017715923921879373
A_TIME,A_LOCAL,138,-0.008416785305076502
A_TIME,A_LOCAL,48,-0.01683960634475401
A_TIME,A_LOCAL,5,-0.006879476227727999
A_TIME,A_LOCAL,294,-0.01742478845123685
A_TIME,A_LOCAL,68,-0.0076693026114016405
A_TIME,A_LOCAL,237,-0.013781893885322916
A_TIME,A_LOCAL,142,-0.005463792145055102
A_TIME,A_COEFF,202,-0.012834637448100317
A_TIME,A_COEFF,138,-0.007692757261357208
A_TIME,A_COEFF,48,-0.02863307553266914
A_TIME,A_COEFF,5,-0.0012105234627357575
A_TIME,A_COEFF,294,-0.010542201005092622
A_TIME,A_COEFF,68,-0.023551027801160807
A_TIME,A_COEFF,237,-0.015344805644379456
A_TIME,A_COEFF,142,-0.018625106314673623
A_NOERROR,STATIC,202,-0.012643886904206703
A_NOERROR,STATIC,138,-0.004708737316772016
A_NOERROR,STATIC,48,-0.022061248625604435
A_NOERROR,STATIC,5,-0.014583075743512808
A_NOERROR,STATIC,294,-0.02121241723536116
A_NOERROR,STATIC,68,0.012572122531040453
A_NOERROR,STATIC,237,-0.015845121664570527
A_NOERROR,STATIC,142,-0.008692013892219741
A_SET,STATIC,202,-0.025786058825905123
A_SET,STATIC,138,-0.07476041683711632
A_SET,STATIC,48,-0.024667163058667008
A_SET,STATIC,5,0.010169027843887068
A_SET,STATIC,294,-0.07396181143510816
A_SET,STATIC,68,0.006909998490289837
A_SET,STATIC,237,-0.014582429659459883
A_SET,STATIC,142,-0.042515814673937946
STATIC_LONG512,STATIC,202,1.351749703238081
STATIC_LONG512,STATIC,138,2.0991390717212677
STATIC_LONG512,STATIC,48,6.421034638509093
STATIC_LONG512,STATIC,5,0.10037715934605451
STATIC_LONG512,STATIC,294,3.1597388334992926
STATIC_LONG512,STATIC,68,4.315890689461632
STATIC_LONG512,STATIC,237,3.053370417867496
STATIC_LONG512,STATIC,142,1.1549516619236866
A_AFFINE,STATIC,202,-7.962502891588885
A_AFFINE,STATIC,138,-1.0761675514125768
A_AFFINE,STATIC,48,-8.620430950055002
A_AFFINE,STATIC,5,-0.13390421573313827
A_AFFINE,STATIC,294,-0.6222250016498121
A_AFFINE,STATIC,68,-5.230129218134505
A_AFFINE,STATIC,237,-1.794720907041647
A_AFFINE,STATIC,142,-0.1657416522993005
A_LOCAL,STATIC,202,0.0
A_LOCAL,STATIC,138,0.0
A_LOCAL,STATIC,48,0.0
A_LOCAL,STATIC,5,0.0
A_LOCAL,STATIC,294,0.0
A_LOCAL,STATIC,68,0.0
A_LOCAL,STATIC,237,0.0
A_LOCAL,STATIC,142,0.0
A_COEFF,STATIC,202,-0.004880660058770303
A_COEFF,STATIC,138,-0.0007239723502916462
A_COEFF,STATIC,48,0.011790093321584205
A_COEFF,STATIC,5,-0.0056688841418406355
A_COEFF,STATIC,294,-0.006881861946417267
A_COEFF,STATIC,68,0.015877985760914815
A_COEFF,STATIC,237,0.0015626719700678748
A_COEFF,STATIC,142,0.013158863317352942
STATIC,G0,202,-1.3066828664277441
STATIC,G0,138,-1.4480277347815207
STATIC,G0,48,0.1910609112562911
STATIC,G0,5,1.1294749690212713
STATIC,G0,294,-2.287168578150478
STATIC,G0,68,-1.0396059407137503
STATIC,G0,237,-1.0456098531089308
STATIC,G0,142,-0.7814759037978236
