arm,seed,lead,pinball,raw_pinball,nmae,raw_mae,coverage,width,crossing
STATIC,92401,1,0.10615507677604119,17.474102121812326,0.13138807356744978,22.085129102071125,0.8645833333333334,0.5104323625564575,0.0
STATIC,92401,2,0.1203548364057427,20.221262594505593,0.1565265777964351,26.165002187093098,0.84375,0.5550578236579895,0.0
STATIC,92401,3,0.13923672129481088,22.921256454785663,0.1814702668852415,29.834291259447735,0.8333333333333334,0.5981705188751221,0.0
STATIC,92401,4,0.14482038813137,23.579971617239494,0.18636351624217595,29.91163496176402,0.8645833333333334,0.6192644834518433,0.0
STATIC,92401,5,0.12672402269115937,22.214612194343847,0.15976639249457147,27.678998589515686,0.84375,0.6160754561424255,0.0
STATIC,92401,6,0.1351468363357771,21.44433647526635,0.1741254945174385,28.130618055661518,0.8854166666666666,0.6212049722671509,0.0
STATIC,92401,7,0.1557178047602412,26.824813146944404,0.19671661193141285,33.16732140382131,0.8125,0.618103563785553,0.0
STATIC,92401,8,0.13864730769386585,22.3967594800172,0.1793089205548765,28.71407135327657,0.84375,0.621932327747345,0.0
STATIC,92401,9,0.14173753704072328,20.55583552342874,0.1779914512749804,25.957567135492962,0.8645833333333334,0.6349700093269348,0.0
STATIC,92401,10,0.1476960094657593,23.760767743322578,0.1940468453275297,31.9240562915802,0.8229166666666666,0.6622074842453003,0.0
STATIC,92401,11,0.13587275316854633,21.373428085115222,0.17002803302923464,26.623802701632183,0.8958333333333334,0.6931508183479309,0.0
STATIC,92401,12,0.15355420727550415,25.02220181712398,0.1893587575767024,30.67229473590851,0.8333333333333334,0.7081219553947449,0.0
STATIC,92401,13,0.18064679270540393,34.35072111553615,0.2295645813727277,42.71779231230418,0.8020833333333334,0.6910822987556458,0.0
STATIC,92401,14,0.17814112377822142,33.78557288293485,0.21909091393375593,42.4353981812795,0.75,0.6898654103279114,0.0
STATIC,92401,15,0.18148827653772548,30.338937377929692,0.23012247536679697,38.09292256832123,0.7916666666666666,0.6905123591423035,0.0
