arm,seed,series_local,series_original,issue,tag,pinball,raw_pinball,nmae,raw_mae,coverage,width,crossing,early32,late32,early16,late48
STATIC,92401,40,202,21056,128,0.09709150696415567,14.680042997996011,0.118229302458714,17.876035690307617,0.953125,0.6367440223693848,0.0,0.09668023771192175,0.09750277621638961,0.08177967633824215,0.10219545050612684
STATIC,92401,40,202,21504,128,0.2124815044587492,38.99844665527343,0.2765241717474218,50.75271463394165,0.6875,0.8156166672706604,0.0,0.18044809093439218,0.24451491798310623,0.18954863163348776,0.220125795400503
STATIC,92401,40,202,22016,128,0.16441560495937418,28.143896516164144,0.20721634649626455,35.470327854156494,0.8125,0.7731088399887085,0.0,0.20126502233186805,0.12756618758688035,0.1796768293332548,0.15932853016808068
STATIC,92401,40,202,22464,128,0.20136008313427725,37.91008416281806,0.26568036526226646,50.019670486450195,0.640625,0.6364564895629883,0.0,0.1552342065599002,0.24748595970865428,0.1107943841763685,0.23154864945358014
STATIC,92401,40,202,22912,128,0.136420565664985,27.81569374932183,0.1697056921244891,34.60241889953613,0.796875,0.46879181265830994,0.0,0.13823201304111676,0.13460911828885325,0.05464967974456687,0.1636775276384577
STATIC,92401,40,202,23424,128,0.16388356673569238,42.110134802924264,0.1962599302140931,50.42929124832153,0.6875,0.41476941108703613,0.0,0.17290075201570046,0.15486638145568427,0.22351357377333964,0.1440068977231433
STATIC,92401,40,202,23872,128,0.14322495945031377,21.616173288557263,0.1888817164677846,28.50690221786499,0.796875,0.6243640184402466,0.0,0.13348982383460972,0.1529600950660178,0.11596884226385643,0.15231033184579953
STATIC,92401,40,202,24384,128,0.15375597328184007,23.033639505174424,0.19372324026565235,29.020994663238525,0.703125,0.5479439496994019,0.0,0.15493864954130823,0.15257329702237193,0.09989372132671179,0.17171005726688285
STATIC,92401,40,202,24832,128,0.1001281544972491,15.7958758354187,0.12480856117964802,19.689372539520264,0.9375,0.5239184498786926,0.0,0.107029133941659,0.09322717505283916,0.10304130763400757,0.09915710345166291
STATIC,92401,40,202,25280,128,0.08218279309013538,12.257470268673368,0.0916625405014343,13.671363830566406,0.984375,0.556644856929779,0.0,0.07422968473937445,0.09013590144089627,0.07149148777917574,0.0857465615271219
STATIC,92401,40,202,25792,128,0.14593939914987603,22.0569324599372,0.18315927871910953,27.68225622177124,0.734375,0.46138522028923035,0.0,0.10373528499700041,0.18814351330275164,0.07322043951306807,0.17017905236214534
STATIC,92401,40,202,26240,128,0.17196835556106266,32.09551211463081,0.21655941920925925,40.41781663894653,0.71875,0.566909909248352,0.0,0.16135068431155467,0.18258602681057065,0.10291735237917082,0.19498535662169328
STATIC,92401,41,138,21056,128,0.16287400881002911,34.06814910040961,0.20292197869391954,42.444931983947754,0.8125,0.6096241474151611,0.0,0.16983187715883896,0.15591614046121927,0.10440537546183212,0.1823635532594281
STATIC,92401,41,138,21504,128,0.16489532088958803,37.1114276462131,0.19535341342795193,43.966341972351074,0.859375,0.8453121185302734,0.0,0.17565059075194073,0.15414005102723535,0.25817582880561746,0.13380181825091156
STATIC,92401,41,138,22016,128,0.12712379497413,28.469966231452098,0.16436862329230045,36.811119079589844,0.703125,0.4994995594024658,0.0,0.11799526085743417,0.13625232909082585,0.08767307582778805,0.14027403468957733
STATIC,92401,41,138,22464,128,0.1291495061063641,29.131070688035752,0.16335884900551076,36.84735870361328,0.875,0.5682666897773743,0.0,0.14030052524379316,0.11799848696893511,0.11534118202842836,0.1337522807990094
STATIC,92401,41,138,22912,128,0.13489061523511806,28.839538023206924,0.16737928673049973,35.785597801208496,0.59375,0.43164265155792236,0.0,0.10941753701842015,0.16036369345181595,0.10069625365412735,0.14628873576211496
STATIC,92401,41,138,23424,128,0.0929201158426122,20.24581529829237,0.11636697589221968,25.35451316833496,0.921875,0.44368717074394226,0.0,0.06808504154409657,0.11775519014112781,0.0745430673342616,0.09904579867872905
STATIC,92401,41,138,23872,128,0.12185082527210835,26.607527669270837,0.15491771962843331,33.82806396484375,0.640625,0.4454309344291687,0.0,0.11467123368590824,0.12903041685830843,0.09272312849817656,0.1315600575300856
STATIC,92401,41,138,24384,128,0.20142206637793147,43.968865903218585,0.23579425196873433,51.4720458984375,0.71875,0.4549703598022461,0.0,0.2784408913015522,0.12440324145431073,0.07183777598567577,0.2446168298420167
STATIC,92401,41,138,24832,128,0.16433424766975818,34.92585008409288,0.20209799044667198,42.95175361633301,0.484375,0.5180023908615112,0.0,0.12888154462943013,0.19978695071008626,0.08812503173185657,0.18973731964905874
STATIC,92401,41,138,25280,128,0.21097556256317873,47.38813800811768,0.2587312388313053,58.11474800109863,0.59375,0.4847908020019531,0.001953125,0.162610506099654,0.2593406190267034,0.14176321669465788,0.23404634451935236
