role,arm,seed,updates_per_episode,pinball,primary
DEV,A_LOCAL,92401,0,0.20660365230215683,True
DEV,A_LOCAL,92401,1,0.20692701804300204,False
DEV,A_LOCAL,92401,4,0.20794358397655466,False
DEV,A_LOCAL,92401,8,0.20930805688346718,False
DEV,A_LOCAL,92402,0,0.2078189820015722,True
DEV,A_LOCAL,92402,1,0.2081140344020416,False
DEV,A_LOCAL,92402,4,0.20915704281706626,False
DEV,A_LOCAL,92402,8,0.2107319565688525,False
DEV,A_COEFF,92401,0,0.2066038162047914,True
DEV,A_COEFF,92401,1,0.2066041739282718,False
DEV,A_COEFF,92401,4,0.20660524700779706,False
DEV,A_COEFF,92401,8,0.20660667900322707,False
DEV,A_COEFF,92402,0,0.20783907805793142,True
DEV,A_COEFF,92402,1,0.20783935860754524,False
DEV,A_COEFF,92402,4,0.2078401971870064,False
DEV,A_COEFF,92402,8,0.20784132081335982,False
TEST,A_LOCAL,92401,0,0.17960641567987193,True
TEST,A_LOCAL,92401,1,0.1797025907225339,False
TEST,A_LOCAL,92401,4,0.18007465352795105,False
TEST,A_LOCAL,92401,8,0.1807776993799044,False
TEST,A_LOCAL,92402,0,0.18042259412249698,True
TEST,A_LOCAL,92402,1,0.18053886121371168,False
TEST,A_LOCAL,92402,4,0.18097254236726512,False
TEST,A_LOCAL,92402,8,0.18178793156818177,False
TEST,A_COEFF,92401,0,0.17960222280000981,True
TEST,A_COEFF,92401,1,0.17960232851663696,False
TEST,A_COEFF,92401,4,0.17960263728698936,False
TEST,A_COEFF,92401,8,0.17960304836638855,False
TEST,A_COEFF,92402,0,0.1804119719085003,True
TEST,A_COEFF,92402,1,0.1804120314461084,False
TEST,A_COEFF,92402,4,0.18041219766357464,False
TEST,A_COEFF,92402,8,0.1804124264283494,False
