candidate,control,candidate_score,control_score,improvement_pct,ci_low,ci_high,series_ci_low,series_ci_high
A_TIME,STATIC,0.18003542399274983,0.18001450490118445,-0.011620781101417954,-0.020210867247220654,0.0006489044781321472,-0.020210867247220654,0.0006489044781321472
A_TIME,A_NOERROR,0.18003542399274983,0.18003388751472324,-0.0008534382319957956,-0.010754103073853938,0.00564350759036186,-0.010754103073853938,0.00564350759036186
A_TIME,A_SET,0.18003542399274983,0.18005888861055108,0.013031635362370508,-0.0013378910443240242,0.057430957726405364,-0.0013378910443240242,0.057430957726405364
A_TIME,G0,0.18003542399274983,0.17894402889148128,-0.6099086446357038,-1.678785826571354,0.22281626851405273,-1.678785826571354,0.22281626851405273
A_TIME,STATIC_LONG512,0.18003542399274983,0.1747132691772025,-3.0462224424118167,-6.147203031395508,-0.5458821995295995,-6.147203031395508,-0.5458821995295995
A_TIME,A_AFFINE,0.18003542399274983,0.1865447308696352,3.4894080612945966,0.2579369369977019,5.778041786896099,0.2579369369977019,5.778041786896099
A_TIME,A_LOCAL,0.18003542399274983,0.18001450490118445,-0.011620781101417954,-0.020210867247220654,0.0006489044781321472,-0.020210867247220654,0.0006489044781321472
A_TIME,A_COEFF,0.18003542399274983,0.18000709735425505,-0.015736400903709757,-0.03420837914320518,0.004703653258902314,-0.03420837914320518,0.004703653258902314
A_NOERROR,STATIC,0.18003388751472324,0.18001450490118445,-0.010767250977594678,-0.018661587973572424,0.003180980818824896,-0.018661587973572424,0.003180980818824896
A_SET,STATIC,0.18005888861055108,0.18001450490118445,-0.024655629495518028,-0.06630191961942977,-0.010234727273063004,-0.06630191961942977,-0.010234727273063004
STATIC_LONG512,STATIC,0.1747132691772025,0.18001450490118445,2.9448936500377942,0.531679003308194,5.768268248955124,0.531679003308194,5.768268248955124
A_AFFINE,STATIC,0.1865447308696352,0.18001450490118445,-3.627610992811592,-6.135037224218813,-0.270690840085552,-6.135037224218813,-0.270690840085552
A_LOCAL,STATIC,0.18001450490118445,0.18001450490118445,0.0,0.0,0.0,0.0,0.0
A_COEFF,STATIC,0.18000709735425505,0.18001450490118445,0.004114972253743687,-0.006603448524196698,0.01603502212806251,-0.006603448524196698,0.01603502212806251
STATIC,G0,0.18001450490118445,0.17894402889148128,-0.5982183458898005,-1.6628467229510129,0.2195710596326737,-1.6628467229510129,0.2195710596326737
