arm,seed,policy,condition,score,revision
B0,73101,selected,PRIMARY,0.3712896037459268,
B0,73101,selected,standard,0.3712896037459268,
B0,73101,fixed512,PRIMARY,0.37801353987997044,
B0,73101,fixed512,standard,0.37801353987997044,
B1,73101,selected,PRIMARY,0.37489282463288365,
B1,73101,selected,standard,0.3748928246328837,
B1,73101,fixed512,PRIMARY,0.412879723684946,
B1,73101,fixed512,standard,0.41287972368494597,
B2,73101,selected,PRIMARY,0.37511928431438507,
B2,73101,selected,standard,0.37511928431438507,
B2,73101,fixed512,PRIMARY,0.37511928431438507,
B2,73101,fixed512,standard,0.37511928431438507,
B3,73101,selected,PRIMARY,0.3853583854945591,
B3,73101,selected,standard,0.3853583854945591,
B3,73101,fixed512,PRIMARY,0.3961940429026233,
B3,73101,fixed512,standard,0.3961940429026232,
B0,73102,selected,PRIMARY,0.3719578570632296,
B0,73102,selected,standard,0.3719578570632296,
B0,73102,fixed512,PRIMARY,0.38546730864225853,
B0,73102,fixed512,standard,0.38546730864225853,
B1,73102,selected,PRIMARY,0.3821995153785059,
B1,73102,selected,standard,0.3821995153785058,
B1,73102,fixed512,PRIMARY,0.40658907570442465,
B1,73102,fixed512,standard,0.4065890757044246,
B2,73102,selected,PRIMARY,0.38467016867176956,
B2,73102,selected,standard,0.38467016867176956,
B2,73102,fixed512,PRIMARY,0.3850997592059506,
B2,73102,fixed512,standard,0.38509975920595063,
B3,73102,selected,PRIMARY,0.3897207775816558,
B3,73102,selected,standard,0.3897207775816558,
B3,73102,fixed512,PRIMARY,0.38843836059602344,
B3,73102,fixed512,standard,0.38843836059602344,
BLEND,73101,selected,PRIMARY,0.3712896037459268,
BLEND,73101,selected,standard,0.3712896037459268,
RETRIEVAL_MEAN,73101,selected,PRIMARY,1.2418765010684019,
RETRIEVAL_MEAN,73101,selected,standard,1.2418765010684019,
BLEND,73102,selected,PRIMARY,0.3719578570632296,
BLEND,73102,selected,standard,0.3719578570632296,
RETRIEVAL_MEAN,73102,selected,PRIMARY,1.2418765010684019,
RETRIEVAL_MEAN,73102,selected,standard,1.2418765010684019,
