id,unique_origins,each_occurrences,total_updates,contaminated_updates,clip_fraction
B0_73100_1e-04,64,8,512,0,0.00390625
B0_73100_3e-05,64,8,512,0,0.00390625
B1_73100_1e-04,64,8,512,0,0.00390625
B1_73100_3e-05,64,8,512,0,0.009765625
B2_73100_1e-04,64,8,512,0,0.00390625
B2_73100_3e-05,64,8,512,0,0.001953125
B3_73100_1e-04,64,8,512,0,0.00390625
B3_73100_3e-05,64,8,512,0,0.00390625
B0_73101_3e-05,64,8,512,0,0.0
B1_73101_3e-05,64,8,512,0,0.005859375
B2_73101_1e-04,64,8,512,0,0.0
B3_73101_3e-05,64,8,512,0,0.001953125
B0_73102_3e-05,64,8,512,0,0.00390625
B1_73102_3e-05,64,8,512,0,0.0078125
B2_73102_1e-04,64,8,512,0,0.001953125
B3_73102_3e-05,64,8,512,0,0.001953125
