arm,updates,clip_fraction,gradnorm_median,gradnorm_max,contaminated_updates,minimum_boundary_free_MiB,mean_update_seconds,extra_a_nonzero_fraction,extra_a_mean_norm,extra_b_nonzero_fraction,extra_b_mean_norm,mean_a_saturation,max_a_saturation
B0,2048,0.0029296875,0.2033483013510704,1.1585849523544312,0,8138,0.09716923061465366,,,,,,
B1,2048,0.0068359375,0.18809890002012253,4.916016101837158,0,7951,0.09831770253785521,,,,,,
B2,2048,0.001953125,0.191306434571743,2.434147596359253,0,7974,0.0986821579916608,,,,,,
B3,2048,0.0029296875,0.21665025502443314,2.415971517562866,0,7975,0.1001155535957281,1.0,0.008329230143317545,1.0,0.00807199554253657,0.0,0.0
