arm,LoRA_parameters,extra_parameters,total_trainable,frozen_parameters,input_rows,context,horizon,native_calls_per_update,CPU_coefficients,unique_training_origins,occurrences_per_unique_origin
B0,1179648,0,1179648,119477664,4,336,48,1,0,64,8
B1,1179648,0,1179648,119477664,4,1344,48,1,0,64,8
B2,1179648,0,1179648,119477664,12,336,48,1,0,64,8
B3,1179648,8,1179656,119477664,12,336,48,1,0,64,8
