role,origin,queries,bank_candidates,seconds
TRAIN,2048,4,55,0.015680342010455206
TRAIN,2049,4,55,0.014692857977934182
TRAIN,2050,4,55,0.015115295012947172
TRAIN,2051,4,55,0.013617032003821805
TRAIN,2052,4,55,0.014860018010949716
TRAIN,2053,4,55,0.014419652987271547
TRAIN,2054,4,55,0.013311071001226082
TRAIN,2055,4,55,0.014875097025651485
TRAIN,2056,4,55,0.013353662012377754
TRAIN,2057,4,55,0.014824171987129375
TRAIN,2058,4,55,0.013854936987627298
TRAIN,2059,4,55,0.01324935199227184
TRAIN,2060,4,55,0.014829669002210721
TRAIN,2061,4,55,0.013451985985739157
TRAIN,2062,4,55,0.014904480980476364
TRAIN,2063,4,55,0.013558347010985017
TRAIN,2064,4,56,0.014011566003318876
TRAIN,2065,4,56,0.013924788014264777
TRAIN,2066,4,56,0.013369022984988987
TRAIN,2067,4,56,0.015132446977077052
TRAIN,2068,4,56,0.013592578005045652
TRAIN,2069,4,56,0.014862938987789676
TRAIN,2070,4,56,0.013542250002501532
TRAIN,2071,4,56,0.015977993985870853
TRAIN,6248,4,230,0.016742188978241757
TRAIN,6249,4,230,0.015790328005095944
TRAIN,6250,4,230,0.015720177994808182
TRAIN,6251,4,230,0.014423790998989716
TRAIN,6252,4,230,0.01645306998398155
TRAIN,6253,4,230,0.014457626006333157
TRAIN,6254,4,230,0.015888691996224225
TRAIN,6255,4,230,0.01524217301630415
TRAIN,6264,4,231,0.017141554999398068
TRAIN,6265,4,231,0.01497078497777693
TRAIN,6266,4,231,0.016339825990144163
TRAIN,6267,4,231,0.014465232990914956
TRAIN,6268,4,231,0.016321758012054488
TRAIN,6269,4,231,0.01448301100754179
TRAIN,6270,4,231,0.015366018022177741
TRAIN,6271,4,231,0.01521822900394909
TRAIN,10455,4,405,0.021261952992063016
TRAIN,10456,4,405,0.017146445985417813
TRAIN,10457,4,405,0.020813357987208292
TRAIN,10458,4,405,0.016082283022115007
TRAIN,10459,4,405,0.0181074480060488
TRAIN,10460,4,405,0.015356029995018616
TRAIN,10461,4,405,0.018445889989379793
TRAIN,10462,4,405,0.016505624022101983
TRAIN,10463,4,405,0.01833389900275506
TRAIN,10464,4,406,0.01622200701967813
TRAIN,10465,4,406,0.01755427202442661
TRAIN,10466,4,406,0.018579614988993853
TRAIN,10467,4,406,0.021986431995173916
TRAIN,10468,4,406,0.01966267600073479
TRAIN,10469,4,406,0.016952640988165513
TRAIN,10470,4,406,0.01990874100010842
TRAIN,10471,4,406,0.016962416004389524
TRAIN,10472,4,406,0.01794580402201973
TRAIN,10473,4,406,0.016110015014419332
TRAIN,10474,4,406,0.01901955300127156
TRAIN,10475,4,406,0.01737450298969634
TRAIN,10476,4,406,0.017427867016522214
TRAIN,10477,4,406,0.018412409990560263
TRAIN,10478,4,406,0.02003218501340598
V_SELECT,10526,4,408,0.012782753998180851
V_SELECT,10527,4,408,0.01355235997471027
V_SELECT,10528,4,408,0.012045236013364047
V_SELECT,10529,4,408,0.013008019013796002
V_SELECT,10530,4,408,0.012147914996603504
V_SELECT,10531,4,408,0.010614063998218626
V_SELECT,10532,4,408,0.013320772995939478
V_SELECT,10533,4,408,0.01121146700461395
V_SELECT,10534,4,408,0.011008052999386564
V_SELECT,10535,4,408,0.013606021006125957
V_SELECT,10536,4,409,0.011506036971695721
V_SELECT,10537,4,409,0.01076500999624841
V_SELECT,10538,4,409,0.012535795016447082
V_SELECT,10539,4,409,0.011502099019708112
V_SELECT,10540,4,409,0.011830130009911954
V_SELECT,10541,4,409,0.012922391993924975
V_SELECT,10542,4,409,0.011515169986523688
V_SELECT,10543,4,409,0.013026084983721375
V_SELECT,10544,4,409,0.01105756001197733
V_SELECT,10545,4,409,0.013157164008589461
V_SELECT,10546,4,409,0.013417686015600339
V_SELECT,10547,4,409,0.011124990996904671
V_SELECT,10548,4,409,0.010655530000803992
V_SELECT,10549,4,409,0.013449677993776277
V_SELECT,12216,4,423,0.0119649609841872
V_SELECT,12217,4,423,0.010608735989080742
V_SELECT,12218,4,423,0.012954217003425583
V_SELECT,12219,4,423,0.010662202985258773
V_SELECT,12220,4,423,0.012053692014887929
V_SELECT,12221,4,423,0.011765741015551612
V_SELECT,12222,4,423,0.011843838990898803
V_SELECT,12223,4,423,0.014713863987708464
V_CAL,12280,4,423,0.010840612987522036
V_CAL,12281,4,423,0.0104806839954108
V_CAL,12282,4,423,0.013645190017996356
