role,origin,channel,bank_origin,continuation_end,max_legal_end,distance,query_sigma
TRAIN,2048,0,480,528,1688,2.180452733150681,0.05986373651315281
TRAIN,2048,0,600,648,1688,2.1873585969553684,0.05986373651315281
TRAIN,2048,1,432,480,1688,2.2515042539966785,0.047342778648088266
TRAIN,2048,1,408,456,1688,2.2515789390186307,0.047342778648088266
TRAIN,2048,2,1488,1536,1688,2.2031370527947844,0.08819160383925972
TRAIN,2048,2,1464,1512,1688,2.2759918768574567,0.08819160383925972
TRAIN,2048,3,504,552,1688,1.8752201066354504,0.0333791686980465
TRAIN,2048,3,336,384,1688,1.9028960229696494,0.0333791686980465
TRAIN,2049,0,480,528,1689,2.2194386265415442,0.0598630092845162
TRAIN,2049,0,648,696,1689,2.2320233372550033,0.0598630092845162
TRAIN,2049,1,432,480,1689,2.268642895640379,0.047342113043551716
TRAIN,2049,1,408,456,1689,2.2782118099686666,0.047342113043551716
TRAIN,2049,2,1488,1536,1689,2.4572395308041255,0.0881970081960268
TRAIN,2049,2,1464,1512,1689,2.498104260079559,0.0881970081960268
TRAIN,2049,3,336,384,1689,1.88640797097706,0.0333791686980465
TRAIN,2049,3,504,552,1689,1.9063961369009892,0.0333791686980465
TRAIN,2050,0,792,840,1690,2.2523939637557344,0.05986210076731891
TRAIN,2050,0,480,528,1690,2.274874151839884,0.05986210076731891
TRAIN,2050,1,432,480,1690,2.287282184874667,0.04734703359290292
TRAIN,2050,1,600,648,1690,2.298637766418664,0.04734703359290292
TRAIN,2050,2,1464,1512,1690,2.7220772462127454,0.08827051309499838
TRAIN,2050,2,1488,1536,1690,2.7261231074024543,0.08827051309499838
TRAIN,2050,3,528,576,1690,2.076618423622337,0.03341826980431728
TRAIN,2050,3,336,384,1690,2.122012429178373,0.03341826980431728
TRAIN,2051,0,792,840,1691,2.26672132697702,0.059864129204553716
TRAIN,2051,0,960,1008,1691,2.298070433472959,0.059864129204553716
TRAIN,2051,1,432,480,1691,2.2868562339873555,0.04734989147001524
TRAIN,2051,1,456,504,1691,2.2973519344824185,0.04734989147001524
TRAIN,2051,2,1296,1344,1691,2.908613625354012,0.08832925028618156
TRAIN,2051,2,1464,1512,1691,2.918148192709979,0.08832925028618156
TRAIN,2051,3,1536,1584,1691,2.1740771759407704,0.03343742378188698
TRAIN,2051,3,528,576,1691,2.179539324024165,0.03343742378188698
TRAIN,2052,0,792,840,1692,2.263689421996385,0.05986363716968367
TRAIN,2052,0,816,864,1692,2.282945974337233,0.05986363716968367
TRAIN,2052,1,432,480,1692,2.277771376546444,0.047349611298342954
TRAIN,2052,1,456,504,1692,2.297310852404018,0.047349611298342954
TRAIN,2052,2,744,792,1692,2.9122639338298097,0.08833193493339818
TRAIN,2052,2,768,816,1692,2.9127770882932573,0.08833193493339818
TRAIN,2052,3,888,936,1692,2.292448159144423,0.033432545164499575
TRAIN,2052,3,528,576,1692,2.313154394008114,0.033432545164499575
TRAIN,2053,0,1416,1464,1693,2.2487913936746216,0.059863704275371736
TRAIN,2053,0,1272,1320,1693,2.253124976536091,0.059863704275371736
TRAIN,2053,1,432,480,1693,2.2717401241129433,0.04735017536455678
TRAIN,2053,1,456,504,1693,2.2937455242963716,0.04735017536455678
TRAIN,2053,2,432,480,1693,2.7056757002336855,0.08833912786986438
TRAIN,2053,2,408,456,1693,2.752803187448286,0.08833912786986438
TRAIN,2053,3,1056,1104,1693,2.376757010740033,0.033440051617098246
TRAIN,2053,3,888,936,1693,2.3904065914483135,0.033440051617098246
TRAIN,2054,0,1416,1464,1694,2.2357343453573404,0.05986335680314737
TRAIN,2054,0,1272,1320,1694,2.2378558325160403,0.05986335680314737
TRAIN,2054,1,432,480,1694,2.2933801148672623,0.04734839886940246
TRAIN,2054,1,456,504,1694,2.301713983890232,0.04734839886940246
TRAIN,2054,2,432,480,1694,2.506536703590283,0.08836319174670747
TRAIN,2054,2,456,504,1694,2.5651508263554157,0.08836319174670747
TRAIN,2054,3,888,936,1694,2.4776927752196025,0.0334460393868407
TRAIN,2054,3,1056,1104,1694,2.4954945186717485,0.0334460393868407
TRAIN,2055,0,1416,1464,1695,2.2101963669369904,0.05986055028516006
TRAIN,2055,0,1272,1320,1695,2.2268631031820747,0.05986055028516006
TRAIN,2055,1,384,432,1695,2.2995999431681318,0.04734806284659653
TRAIN,2055,1,432,480,1695,2.3029000781988085,0.04734806284659653
TRAIN,2055,2,432,480,1695,2.3563466616782116,0.08840283636951138
TRAIN,2055,2,456,504,1695,2.3835811209138806,0.08840283636951138
TRAIN,2055,3,888,936,1695,2.555217825034584,0.03345321403041434
TRAIN,2055,3,720,768,1695,2.5684812072490972,0.03345321403041434
TRAIN,2056,0,1416,1464,1696,2.165208883584734,0.05985972929827802
TRAIN,2056,0,1392,1440,1696,2.1783570450551197,0.05985972929827802
TRAIN,2056,1,384,432,1696,2.2666073704667027,0.04734769637822165
TRAIN,2056,1,432,480,1696,2.2955897592200336,0.04734769637822165
TRAIN,2056,2,432,480,1696,2.199593283684262,0.08888231088980586
TRAIN,2056,2,408,456,1696,2.222261555094712,0.08888231088980586
TRAIN,2056,3,720,768,1696,2.4958012041401165,0.03344205745956257
TRAIN,2056,3,888,936,1696,2.502323819507354,0.03344205745956257
TRAIN,2057,0,1416,1464,1697,2.1056102581453975,0.05985876673828158
TRAIN,2057,0,1392,1440,1697,2.108572242702359,0.05985876673828158
TRAIN,2057,1,384,432,1697,2.195955751910213,0.0473478142933037
TRAIN,2057,1,888,936,1697,2.243956218268995,0.0473478142933037
TRAIN,2057,2,1272,1320,1697,2.0190772424231276,0.08909025435591603
TRAIN,2057,2,432,480,1697,2.0466261529882948,0.08909025435591603
TRAIN,2057,3,720,768,1697,2.2996088365200684,0.03335102800835596
TRAIN,2057,3,888,936,1697,2.3410005599773327,0.03335102800835596
TRAIN,2058,0,1392,1440,1698,2.0234107487879127,0.05985871839423605
TRAIN,2058,0,1416,1464,1698,2.0239649760793093,0.05985871839423605
TRAIN,2058,1,384,432,1698,2.0785441937140607,0.04734701700259559
TRAIN,2058,1,1224,1272,1698,2.1117419080975344,0.04734701700259559
TRAIN,2058,2,360,408,1698,1.7952538367721596,0.0890958949842643
TRAIN,2058,2,1272,1320,1698,1.811274398788021,0.0890958949842643
TRAIN,2058,3,720,768,1698,1.9909866778538774,0.03226399359424555
TRAIN,2058,3,1056,1104,1698,2.0576121916136407,0.03226399359424555
TRAIN,2059,0,1392,1440,1699,1.9123383308374253,0.05985949876031985
TRAIN,2059,0,1416,1464,1699,1.919516393412361,0.05985949876031985
TRAIN,2059,1,1224,1272,1699,1.8668785387517823,0.047346801403839345
TRAIN,2059,1,384,432,1699,1.8844646889895975,0.047346801403839345
TRAIN,2059,2,360,408,1699,1.4400773130062228,0.08909064206841885
TRAIN,2059,2,336,384,1699,1.4634027235970417,0.08909064206841885
TRAIN,2059,3,720,768,1699,1.6253342557826096,0.032268854888288886
TRAIN,2059,3,1224,1272,1699,1.667146702126282,0.032268854888288886
TRAIN,2060,0,1392,1440,1700,1.7352927493913943,0.05986266519966561
TRAIN,2060,0,1224,1272,1700,1.7575767121692096,0.05986266519966561
TRAIN,2060,1,1224,1272,1700,1.5027088953301995,0.04734426542305665
TRAIN,2060,1,336,384,1700,1.5250492416548374,0.04734426542305665
TRAIN,2060,2,360,408,1700,1.0643416114199584,0.08908590768250332
TRAIN,2060,2,384,432,1700,1.0804086255847434,0.08908590768250332
TRAIN,2060,3,720,768,1700,1.2119811959482263,0.03226814794187357
TRAIN,2060,3,1224,1272,1700,1.227256786061054,0.03226814794187357
TRAIN,2061,0,552,600,1701,1.3129477340152047,0.059868079843327066
TRAIN,2061,0,720,768,1701,1.390800141147238,0.059868079843327066
TRAIN,2061,1,1224,1272,1701,0.9915277926598016,0.0473408338833848
TRAIN,2061,1,1056,1104,1701,1.0540576142154625,0.0473408338833848
TRAIN,2061,2,360,408,1701,0.7002859754765073,0.08908244264680683
TRAIN,2061,2,384,432,1701,0.7028758342221301,0.08908244264680683
TRAIN,2061,3,1392,1440,1701,0.7834183058922848,0.032267768432110294
TRAIN,2061,3,720,768,1701,0.7871308713479666,0.032267768432110294
TRAIN,2062,0,552,600,1702,0.5258021314170401,0.05984645970550114
TRAIN,2062,0,384,432,1702,0.7063077676678063,0.05984645970550114
TRAIN,2062,1,1224,1272,1702,0.5104476908693013,0.047337803320504246
TRAIN,2062,1,888,936,1702,0.6131119751900271,0.047337803320504246
TRAIN,2062,2,384,432,1702,0.39201876807404606,0.08907772185381366
TRAIN,2062,2,552,600,1702,0.4529165457404482,0.08907772185381366
TRAIN,2062,3,1224,1272,1702,0.3423245134991066,0.03226855421365421
TRAIN,2062,3,720,768,1702,0.3588001211263285,0.03226855421365421
