panel,kind,condition,contexts,gate_equal_fraction,mean_gate_gap,mean_C3_gate,mean_MAG_gate,extreme_fraction,mean_longest_run,gap_mass,gap_mass_short_runs,gap_recent128,gap_recent32,short_run_mass_fraction,recent128_mass_fraction,recent32_mass_fraction
electricity,shape,PAIRED_SHIFT8_D32,512,0.001953125,0.027669013,0.9277621,0.9000931,0.09990692,31.6796875,7253.2656,7253.2656,2983.125,1810.125,1.0,0.41128027,0.24956
electricity,shape,PULSE8_D32,512,0.001953125,0.027669013,0.9277621,0.9000931,0.09990692,31.6796875,7253.2656,7253.2656,2983.125,1810.125,1.0,0.41128027,0.24956
electricity,shape,RAMP8_D32,512,0.001953125,0.029329104,0.9527262,0.92339706,0.076602936,19.072265625,7688.4487,7688.4487,3272.375,2074.875,1.0,0.42562228,0.26986915
electricity,shape,STEP12_D17,512,0.0,0.030144628,0.9546632,0.9245186,0.075481415,18.462890625,7902.2334,7902.2334,3209.5,1937.25,1.0,0.406151,0.2451522
electricity,shape,STEP12_D63,512,0.001953125,0.02214068,0.871586,0.84944534,0.15055466,62.078125,5804.0464,5804.0464,2437.625,31.875,1.0,0.41998717,0.0054918583
electricity,shape,STEP6_D17,512,0.001953125,0.030428823,0.9555387,0.92510986,0.07489014,17.830078125,7976.7334,7976.7334,3273.125,2000.625,1.0,0.41033402,0.25080755
electricity,shape,STEP6_D63,512,0.0078125,0.025222955,0.88064975,0.8554268,0.14457321,48.345703125,6612.0464,6612.0464,3225.375,511.75,1.0,0.48780283,0.07739662
electricity,shape,STEP8_D31,512,0.001953125,0.027845824,0.9294991,0.9016533,0.09834671,30.80859375,7299.615,7299.615,2997.125,1816.75,1.0,0.4105867,0.24888298
electricity,shape,STEP8_D33,512,0.001953125,0.027377224,0.9260093,0.89863205,0.10136795,32.59765625,7176.775,7176.775,2963.25,1379.375,1.0,0.41289437,0.19219984
electricity,standard,BURST16,1024,0.0009765625,0.032613575,0.9706076,0.937994,0.062005997,10.5908203125,17098.906,17098.906,4565.125,1093.875,1.0,0.26698345,0.06397339
electricity,standard,BURST4,1024,0.001953125,0.032487646,0.9724176,0.93992996,0.060070038,9.5732421875,17032.883,17032.883,4411.75,1093.75,1.0,0.2590137,0.06421403
electricity,standard,BURST8,1024,0.0,0.032643884,0.97004086,0.937397,0.062603,10.7392578125,17114.797,17114.797,4487.125,1128.75,1.0,0.2621781,0.065951705
electricity,standard,POINT16,1024,0.0,0.030924428,0.9780966,0.94717216,0.052827835,5.658203125,16213.307,16213.307,4288.0,1096.5,1.0,0.26447412,0.067629635
electricity,standard,POINT4,1024,0.0048828125,0.030345773,0.97827137,0.94792557,0.052074432,5.6875,15909.925,15909.925,4198.625,1085.875,1.0,0.26389974,0.06825142
electricity,standard,POINT8,1024,0.0,0.03069752,0.97830075,0.9476032,0.052396774,5.67578125,16094.342,16094.342,4258.375,1113.75,1.0,0.26458833,0.069201335
electricity,standard,REFERENCE,1024,0.396484375,0.028065369,0.9783637,0.9502983,0.04970169,5.390625,14714.336,14714.336,3904.25,1004.25,1.0,0.26533648,0.06824977
electricity,standard,SHIFT4,1024,0.0068359375,0.03180231,0.9445411,0.9127388,0.0872612,20.3251953125,16673.57,16673.57,8030.125,5644.875,1.0,0.481608,0.33855227
electricity,standard,SHIFT8,1024,0.001953125,0.027833471,0.9277606,0.89992714,0.10007286,31.6845703125,14592.755,14592.755,5975.0,3636.625,1.0,0.40944976,0.24920757
