panel,kind,condition,family,stratum,contexts,fraction,status,A,B,C,D,total,gate,weights,interaction,MAG_gain_pct,weighted_total,weighted_gate,weighted_weights,bootstrap_nonempty,posthoc,total_low,total_high,gate_low,gate_high,weights_low,weights_high,interaction_low,interaction_high,MAG_gain_pct_low,MAG_gain_pct_high
electricity,standard,REFERENCE,ALL,ALL,1024,1.0,SCORED,0.1674955548362827,0.1674927592560039,0.1675501887000601,0.1675458454326681,-5.029059638542166e-05,3.5694238353783936e-06,-5.386002022080005e-05,-1.5476871131625547e-06,-0.0300250334610836,-5.029059638542166e-05,3.5694238353783936e-06,-5.386002022080005e-05,2000.0,True,-9.928617184416024e-05,-4.2765387041635225e-06,-3.0323185278183577e-05,3.618667156104475e-05,-9.838993510903026e-05,-9.343568280927812e-06,-5.921392067428921e-06,2.978315340493305e-06,-0.0551664217756859,-0.0027686895328485
electricity,standard,SHIFT4,ALL,ALL,1024,1.0,SCORED,0.1894954045683174,0.189617055070028,0.1895754042725279,0.1895625692354254,-6.716466710798841e-05,-5.440773230401541e-05,-1.2756934803972997e-05,-0.0001344855388132,-0.0354439556257281,-6.716466710798841e-05,-5.440773230401541e-05,-1.2756934803972997e-05,2000.0,True,-0.0002187418902456,9.026640380821802e-05,-0.0001765177244726,8.325157872671669e-05,-9.672965364230062e-05,7.363434088606496e-05,-0.0001831742396982,-8.399759320569109e-05,-0.1131775352473398,0.0471794151107957
electricity,standard,SHIFT8,ALL,ALL,1024,1.0,SCORED,0.2008912272209722,0.2012674403984201,0.2006719356978762,0.2007356696930941,0.0001555575278781,-0.0002199735863328,0.000375531114211,-0.00031247918223,0.077433708793577,0.0001555575278781,-0.0002199735863328,0.000375531114211,2000.0,True,2.9631977697906072e-05,0.0002740994736054,-0.0003459135139547,-9.306121039179034e-05,0.0002138823517787,0.0005323375057981,-0.0003706892587975,-0.0002516689458823,0.0149852744828682,0.1380354915083876
electricity,standard,SHIFT_POINT,ALL,ALL,1024,1.0,SCORED,0.1936299913685862,0.1937875772284633,0.1936991725436645,0.1937232690510482,-9.327768246195078e-05,-9.084118363041072e-05,-2.436498831540068e-06,-0.0001334893524934,-0.0481731584051931,-9.327768246195078e-05,-9.084118363041072e-05,-2.436498831540068e-06,2000.0,True,-0.0002266259709091,4.4566863805624977e-05,-0.0001919545676386,1.1405729885233944e-05,-8.747639041045592e-05,9.135548748504283e-05,-0.000167899201252,-9.698332749302836e-05,-0.1182820013927872,0.0237739848848824
electricity,standard,FAULT,ALL,ALL,6144,1.0,SCORED,0.1728932741191997,0.172895124433116,0.1729309219254002,0.1729349474895681,-4.167337036839469e-05,-2.9379390421024887e-06,-3.87354313262922e-05,2.175250251590377e-06,-0.0241035231594164,-4.167337036839469e-05,-2.9379390421024887e-06,-3.87354313262922e-05,2000.0,True,-8.903178848207182e-05,2.049940453616091e-06,-4.546296192216269e-05,3.589160220934874e-05,-8.337048862612079e-05,5.3684820475713366e-06,-4.159176808721937e-06,9.80267939050538e-06,-0.0490658987893337,0.0012953886461568
electricity_transfer,standard,REFERENCE,ALL,ALL,4096,1.0,SCORED,0.2422930695004038,0.2422955870128899,0.242377993966917,0.2423732188395702,-8.0149339166391e-05,1.128807430375578e-06,-8.127814659676658e-05,-7.292639832817693e-06,-0.0330795013376383,-8.0149339166391e-05,1.128807430375578e-06,-8.127814659676658e-05,2000.0,True,-0.0001306248830531,-3.4211938947027044e-05,-2.0369623926599565e-05,2.4282803293211933e-05,-0.00013135355778,-3.612847132336076e-05,-1.2748493007404964e-05,-1.991149456415098e-06,-0.0527949697957451,-0.0142190625281442
electricity_transfer,standard,SHIFT4,ALL,ALL,4096,1.0,SCORED,0.3199162718085115,0.3202282378648887,0.3197341657215727,0.3196618826231567,0.0002543891853548,-0.0001198414789805,0.0003742306643353,-0.0003842491547931,0.0795174262055277,0.0002543891853548,-0.0001198414789805,0.0003742306643353,2000.0,True,7.18932965860175e-05,0.0004387774824699,-0.0002793636521207,4.612360307944513e-05,0.000201852995513,0.0005439488469019,-0.0004722021000166,-0.00030367690307,0.0222178748056844,0.1388668114734531
electricity_transfer,standard,SHIFT8,ALL,ALL,4096,1.0,SCORED,0.3586602241855594,0.3606091086050906,0.3568919927982956,0.3577603890204782,0.0008998351650812,-0.0014086403208568,0.002308475485938,-0.0010804881973486,0.2508879168646523,0.0008998351650812,-0.0014086403208568,0.002308475485938,2000.0,True,0.0006486083005472,0.0011467276813815,-0.0017031881348909,-0.0011193303864438,0.0018567731901699,0.002780294326588,-0.0012238724135276,-0.0009464003906991,0.1764276623989556,0.3233584412789662
electricity_transfer,standard,SHIFT_POINT,ALL,ALL,4096,1.0,SCORED,0.3350885026826686,0.3350980619576358,0.3349856977722522,0.334655327405273,0.0004331752773956,0.0001604055460059,0.0002727697313896,-0.0003399296419465,0.1292719009836737,0.0004331752773956,0.0001604055460059,0.0002727697313896,2000.0,True,0.0002006376569021,0.0006463636538792,-1.2996315479711638e-05,0.0003453102777199,0.0001011296319053,0.0004381190728614,-0.0004207341490001,-0.0002559730053371,0.0591750663339726,0.1944667367265467
electricity_transfer,standard,FAULT,ALL,ALL,24576,1.0,SCORED,0.2584063917043225,0.2584775518871868,0.2584604074588553,0.2585342904152763,-0.0001278987109538,-7.252156964271395e-05,-5.537714131115257e-05,2.72277355672923e-06,-0.0494951808700663,-0.0001278987109538,-7.252156964271395e-05,-5.537714131115257e-05,2000.0,True,-0.0001709263248386,-8.529352970299556e-05,-0.000107695728368,-3.6556645485100246e-05,-0.0001018563878659,-1.172513898303544e-05,-4.010397785374209e-06,9.51959954508252e-06,-0.0670091995475513,-0.0321900611875426
