panel,arm,seed,parameters,retained_adaptation_parameters,median_seconds,range_seconds,raw_seconds,inference_peak_allocated_mib,profile_series,device,precision,source
electricity,MAG_ONLY,81551,8712,303624,0.0562931740423664,0.0069055980420671,"[0.056293174042366445, 0.06203930400079116, 0.05513370595872402]",234.556640625,128,RTX3080,FP32,new matched-size profile
electricity,MAG_ONLY,81552,8712,303624,0.0566937039839103,0.0046259060036391,"[0.06027638597879559, 0.055650479975156486, 0.05669370398391038]",234.556640625,128,RTX3080,FP32,new matched-size profile
electricity,MAG_ONLY,81553,8712,303624,0.0559423670056276,0.0038901490042917,"[0.0559423670056276, 0.05633539101108909, 0.052445242006797343]",234.556640625,128,RTX3080,FP32,new matched-size profile
electricity,OUTPUT_CONTEXT,81551,4673,299585,0.0540591279859654,0.000875481928233,"[0.05401043902384117, 0.05405912798596546, 0.05488592095207423]",234.54150390625,128,RTX3080,FP32,new matched-size profile
electricity,OUTPUT_CONTEXT,81552,4673,299585,0.0547583390143699,0.0036949689965695,"[0.056781893013976514, 0.053086924017407, 0.054758339014369994]",234.54150390625,128,RTX3080,FP32,new matched-size profile
electricity,OUTPUT_CONTEXT,81553,4673,299585,0.0544840099755674,0.0048274840228259,"[0.05448400997556746, 0.051803573966026306, 0.05663105798885226]",234.54150390625,128,RTX3080,FP32,new matched-size profile
electricity,POS_ONLY,81551,8744,303656,0.0532883459818549,0.0042483960278332,"[0.053288345981854945, 0.051112868008203804, 0.05536126403603703]",234.494140625,128,RTX3080,FP32,new matched-size profile
electricity,POS_ONLY,81552,8744,303656,0.0527628469862975,0.0031680170213803,"[0.05516271700616926, 0.05276284698629752, 0.051994699984788895]",234.55712890625,128,RTX3080,FP32,new matched-size profile
electricity,POS_ONLY,81553,8744,303656,0.0541459810337983,0.0063044110429473,"[0.053732483997009695, 0.05414598103379831, 0.06003689503995702]",234.55712890625,128,RTX3080,FP32,new matched-size profile
electricity_transfer,MAG_ONLY,81551,8712,303624,0.0610717479721643,0.0111258620163425,"[0.0610717479721643, 0.0679747230024077, 0.05684886098606512]",234.556640625,128,RTX3080,FP32,new matched-size profile
electricity_transfer,MAG_ONLY,81552,8712,303624,0.0579589790431782,0.0053155320347286,"[0.05795897904317826, 0.05852500203764066, 0.053209470002911985]",234.556640625,128,RTX3080,FP32,new matched-size profile
electricity_transfer,MAG_ONLY,81553,8712,303624,0.056216669967398,0.0070346429711207,"[0.055909222981426865, 0.06294386595254764, 0.05621666996739805]",234.556640625,128,RTX3080,FP32,new matched-size profile
electricity_transfer,OUTPUT_CONTEXT,81551,4673,299585,0.0584730610135011,0.0036076960386708,"[0.05847306101350114, 0.06006109301233664, 0.056453396973665804]",234.54150390625,128,RTX3080,FP32,new matched-size profile
electricity_transfer,OUTPUT_CONTEXT,81552,4673,299585,0.0677891210070811,0.0125640580663457,"[0.05659419496078044, 0.06778912100708112, 0.06915825302712619]",234.54150390625,128,RTX3080,FP32,new matched-size profile
electricity_transfer,OUTPUT_CONTEXT,81553,4673,299585,0.0549568400019779,0.0009494189871475,"[0.05540426500374451, 0.05495684000197798, 0.054454846016597]",234.54150390625,128,RTX3080,FP32,new matched-size profile
electricity_transfer,POS_ONLY,81551,8744,303656,0.0566395390196703,0.0080930549884215,"[0.06291217199759558, 0.05663953901967034, 0.05481911700917408]",234.55712890625,128,RTX3080,FP32,new matched-size profile
electricity_transfer,POS_ONLY,81552,8744,303656,0.0542381439590826,0.0006768379826098,"[0.054237415024545044, 0.05423814395908266, 0.05491425300715491]",234.55712890625,128,RTX3080,FP32,new matched-size profile
electricity_transfer,POS_ONLY,81553,8744,303656,0.0519955619820393,0.0027341349050402,"[0.05199556198203936, 0.05451614095363766, 0.051782006048597395]",234.55712890625,128,RTX3080,FP32,new matched-size profile
ettm1,MAG_ONLY,81551,8712,303624,0.0550513069611042,0.0071079360204748,"[0.055051306961104274, 0.05433954199543223, 0.06144747801590711]",234.556640625,128,RTX3080,FP32,new matched-size profile
ettm1,MAG_ONLY,81552,8712,303624,0.058408906974364,0.0098588000400923,"[0.05840890697436407, 0.06483453401597217, 0.05497573397587985]",234.556640625,128,RTX3080,FP32,new matched-size profile
ettm1,MAG_ONLY,81553,8712,303624,0.0555436360300518,0.0051738409674726,"[0.05554363603005186, 0.05970382899977267, 0.054529988032300025]",234.556640625,128,RTX3080,FP32,new matched-size profile
ettm1,OUTPUT_CONTEXT,81551,4673,299585,0.0547335890005342,0.0011500910040922,"[0.05383426102343947, 0.05498435202753171, 0.054733589000534266]",234.54150390625,128,RTX3080,FP32,new matched-size profile
ettm1,OUTPUT_CONTEXT,81552,4673,299585,0.0536217910121195,0.0031583029776811,"[0.05553708301158622, 0.0536217910121195, 0.05237878003390506]",234.54150390625,128,RTX3080,FP32,new matched-size profile
ettm1,OUTPUT_CONTEXT,81553,4673,299585,0.0528591299662366,0.0017683480400592,"[0.05423649703152478, 0.05246814899146557, 0.05285912996623665]",234.54150390625,128,RTX3080,FP32,new matched-size profile
ettm1,POS_ONLY,81551,8744,303656,0.052401875029318,0.0044211719650775,"[0.052401875029318035, 0.05599265795899555, 0.05157148599391803]",234.55712890625,128,RTX3080,FP32,new matched-size profile
