panel,kind,stage,condition,b,i,o,C3,MAG,difference,MAG_gain_pct
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,81551,81551,81551,0.20549214519604114,0.20558481886616048,-9.267367011920637e-05,-0.045098400248240605
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,81551,81551,81552,0.2044411900213936,0.20452160087084115,-8.041084944742727e-05,-0.03933201985324618
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,81551,81552,81551,0.20523137890772702,0.20514462891531116,8.674999241586401e-05,0.0422693609902934
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,81551,81552,81552,0.2043083230614959,0.20432889262570253,-2.05695642066545e-05,-0.010067903205520977
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,81552,81551,81551,0.2072239657633327,0.20709944311575354,0.00012452264757908667,0.06009085248436084
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,81552,81551,81552,0.20648762490849332,0.20629096574828049,0.0001966591602127869,0.09524016768556373
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,81552,81552,81551,0.20619194793230292,0.20666514736623998,-0.0004731994339369464,-0.22949462318106986
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,81552,81552,81552,0.20594848758418763,0.2058889032308449,5.9584353342770954e-05,0.028931678033524796
electricity,shape,fixed1024,PULSE8_D32,81551,81551,81551,2.9864796282574617,2.9855637756850473,0.0009158525724144023,0.030666627146851828
electricity,shape,fixed1024,PULSE8_D32,81551,81551,81552,2.9950828007348647,2.994336433716354,0.0007463670185114679,0.02491974573552162
electricity,shape,fixed1024,PULSE8_D32,81551,81552,81551,2.9898912244351843,2.990206325115529,-0.00031510068034474453,-0.010538867694234252
electricity,shape,fixed1024,PULSE8_D32,81551,81552,81552,2.9985291816007313,2.9984665172097067,6.26643910241198e-05,0.0020898376246806147
electricity,shape,fixed1024,PULSE8_D32,81552,81551,81551,2.9728995487110237,2.9746261747357945,-0.0017266260247705834,-0.0580788552213009
electricity,shape,fixed1024,PULSE8_D32,81552,81551,81552,2.975655179187004,2.97770651735519,-0.002051338168187561,-0.06893736151068482
electricity,shape,fixed1024,PULSE8_D32,81552,81552,81551,2.9778888728301918,2.976592502092745,0.001296370737446935,0.043533214058953836
electricity,shape,fixed1024,PULSE8_D32,81552,81552,81552,2.979466104922774,2.9803307148152105,-0.0008646098924384241,-0.029018953798799273
electricity,shape,fixed1024,RAMP8_D32,81551,81551,81551,0.5391172877823663,0.5378923284382192,0.0012249593441469421,0.227215741714712
electricity,shape,fixed1024,RAMP8_D32,81551,81551,81552,0.5321009455436269,0.5306672950442598,0.0014336504993671395,0.2694320525783758
electricity,shape,fixed1024,RAMP8_D32,81551,81552,81551,0.5379825068213276,0.535153523772259,0.00282898304906866,0.5258503786273128
electricity,shape,fixed1024,RAMP8_D32,81551,81552,81552,0.5306825484249859,0.5289238434153487,0.0017587050096370804,0.33140434236187827
electricity,shape,fixed1024,RAMP8_D32,81552,81551,81551,0.4371736373653813,0.43047272792820546,0.0067009094371759045,1.532779853231501
electricity,shape,fixed1024,RAMP8_D32,81552,81551,81552,0.4346282060703855,0.4270262850131638,0.007601921057221615,1.749062980967813
electricity,shape,fixed1024,RAMP8_D32,81552,81552,81551,0.43538346293535723,0.4280520379290617,0.007331425006295582,1.683900660091011
electricity,shape,fixed1024,RAMP8_D32,81552,81552,81552,0.43630613369692556,0.4266079724157543,0.009698161281171276,2.2227882058398882
electricity,shape,fixed1024,STEP12_D17,81551,81551,81551,0.2994322499119348,0.3009043020720644,-0.0014720521601296766,-0.49161443383690895
electricity,shape,fixed1024,STEP12_D17,81551,81551,81552,0.2922321627324319,0.29264941451703874,-0.00041725178460671423,-0.14278092483227126
electricity,shape,fixed1024,STEP12_D17,81551,81552,81551,0.3000330811931406,0.2995716491128981,0.0004614320802425486,0.15379373448006903
electricity,shape,fixed1024,STEP12_D17,81551,81552,81552,0.291995482872179,0.29220894963358196,-0.00021346676140270547,-0.07310618619951409
