panel,kind,stage,condition,factor,effect_nmae,effect_pct_common_C3,C3_effect,MAG_effect,ci_low,ci_high,bonferroni7_low,bonferroni7_high,cell_variance_share_pct,common_C3,conditional_on_two_factor_levels
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,B0,3.617704638780568e-06,0.0017590224420989484,0.0015947472504147242,0.0015911295457758934,-0.0002637867427844097,0.00022701451672234603,-0.0003560163997488999,0.00030514570810827714,0.00873436892031945,0.2056656329218718,True
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,INIT,-0.00012388298515255146,-0.060235141570595854,-0.0004911971008868324,-0.000367314115734263,-0.00021899612986556435,-2.819383116635201e-05,-0.00025100387235167985,2.782889920895249e-06,10.242091272182968,0.2056656329218718,True
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,ORDER,0.00012746589099066954,0.06197724392732706,-0.0007384530559583352,-0.0008659189469490194,5.624715525940859e-05,0.00021344242596739219,3.274801924686756e-05,0.00024633034524324904,10.843095684597008,0.2056656329218718,True
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,B0:INIT,-0.00024351545904047303,-0.11840357359704314,-0.0002943804767809241,-5.0865017740292506e-05,-0.0003464533312272077,-0.0001534373391182031,-0.00038736224310826213,-0.00011426594480048475,39.57476926079882,0.2056656329218718,True
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,B0:ORDER,0.00017499425896603924,0.08508677725097417,0.0002485524544809936,7.355819551495973e-05,9.486847978266446e-05,0.00026195132146700955,6.416160515578231e-05,0.0002940508773189471,20.43680119179635,0.2056656329218718,True
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,INIT:ORDER,8.526622433792987e-05,0.04145866430213004,0.000155194958785132,6.992873444717357e-05,1.214332787632135e-05,0.0001674324198368568,-1.0130654525293064e-05,0.00019376415235139693,4.851984256875303,0.2056656329218718,True
electricity,shape,fixed1024,PAIRED_SHIFT8_D32,B0:INIT:ORDER,0.00014505741298507867,0.0705307011795126,9.12452945769221e-05,-5.38121184081794e-05,7.342596850645008e-05,0.00021781398055473682,5.2685276327132015e-05,0.00024043091992158067,14.042523964829213,0.2056656329218718,True
electricity,shape,fixed1024,PULSE8_D32,B0,-0.0011889966623887197,-0.03983923651400031,-0.016018282344311352,-0.014829285681924098,-0.0017429865873242298,-0.0007266864920913817,-0.0019763426160514237,-0.0006158251608759474,26.554330217006623,2.9844865675849044,True
electricity,shape,fixed1024,PULSE8_D32,INIT,0.00057376728943004,0.01922499151652547,0.0039145567246318125,0.003340789435201108,0.0003830669375722245,0.0007935704753688176,0.00033429527151917983,0.0008643701155497588,6.183660696764474,2.9844865675849044,True
electricity,shape,fixed1024,PULSE8_D32,ORDER,-0.0005693533139591016,-0.019077094202499017,0.005393498052878143,0.005962851366836497,-0.0006590496766618433,-0.00048065750736925956,-0.0006952459000554523,-0.00045181046022648266,6.088885204582578,2.9844865675849044,True
electricity,shape,fixed1024,PULSE8_D32,B0:INIT,0.0015310952295532875,0.05130179663674195,0.00048556820283718327,-0.0010455270267157868,0.00140790412403049,0.0016611558375911966,0.0013584369028324516,0.0017046033383878898,44.0330214993512,2.9844865675849044,True
electricity,shape,fixed1024,PULSE8_D32,B0:ORDER,-0.0006734930726920666,-0.02256646352531813,-0.0032270667685968535,-0.0025535736959058086,-0.0008246471127779131,-0.000560291184884315,-0.0008912057621810485,-0.0005187016622094708,8.520014752675463,2.9844865675849044,True
electricity,shape,fixed1024,PULSE8_D32,INIT:ORDER,-0.0003222544652991457,-0.010797651723389035,-0.0002859034238135161,3.63510414852497e-05,-0.00045671188636852637,-0.00019588557179754055,-0.0005070099589149417,-0.00014546590581256908,1.9506168357037823,2.9844865675849044,True
electricity,shape,fixed1024,PULSE8_D32,B0:INIT:ORDER,-0.0005958797779350451,-0.019965905841460723,-0.00030329576788556967,0.00029258401004972345,-0.0007132248621672671,-0.0005010930551662585,-0.0007558259770022479,-0.00047262954786571353,6.669470793915893,2.9844865675849044,True
electricity,shape,fixed1024,RAMP8_D32,B0,0.006021529719911138,1.2404735861314915,-0.09909796212606425,-0.10511949184597541,0.0051436583953690445,0.006872137209238126,0.004815687969997289,0.007131429113119673,91.66924254517541,0.48542184108004455,True
electricity,shape,fixed1024,RAMP8_D32,INIT,0.0011639585020652495,0.2397828864633465,-0.000666356220790934,-0.0018303147228561495,0.0006225376861132321,0.00159476073708703,0.00034563158081557565,0.001705230114919141,3.425192373126603,0.48542184108004455,True
electricity,shape,fixed1024,RAMP8_D32,ORDER,0.0006015402526775055,0.12392113452066804,-0.003984765292127185,-0.004586305544804686,0.00040149698464520813,0.0008110651789110408,0.00034540596218280854,0.0009335479403872177,0.9148278182365704,0.48542184108004455,True
electricity,shape,fixed1024,RAMP8_D32,B0:INIT,0.00019941939446942018,0.04108166909542427,0.0006102328190489142,0.0004108134245795064,-9.115104872356789e-05,0.0004708961111554123,-0.00016829597694036858,0.0005614881443874055,0.10054136122502778,0.48542184108004455,True
electricity,shape,fixed1024,RAMP8_D32,B0:ORDER,0.0010323336947831965,0.2126673353811799,0.00317338502541345,0.002141051330630167,0.0008270224292291384,0.0012809449535891057,0.0007639741975550811,0.0013824112887640338,2.6943262344190155,0.48542184108004455,True
electricity,shape,fixed1024,RAMP8_D32,INIT:ORDER,4.668886504455164e-05,0.009618204434450404,0.0007961214747404521,0.0007494326096958437,-8.733056866723774e-05,0.000180404987975638,-0.00014969099179109016,0.00022722972849304582,0.0055110786385141435,0.48542184108004455,True
electricity,shape,fixed1024,RAMP8_D32,B0:INIT:ORDER,0.0006861734623704401,0.14135611633043355,0.0009379295535416055,0.0002517560911712846,0.00045967482018717613,0.0009219459463321886,0.0003776548064647406,0.0010256070984304686,1.1903585891788389,0.48542184108004455,True
electricity,shape,fixed1024,STEP12_D17,B0,0.00818693582498639,2.7261963103047298,0.008765858895474099,0.0005789230704876247,0.00717869181244009,0.009227198264453179,0.00677512197532924,0.009623471648340093,91.79578839337944,0.3003061736251586,True
electricity,shape,fixed1024,STEP12_D17,INIT,0.001528079555016311,0.5088405398297459,-0.0014593549782273424,-0.0029874345332436825,0.000983116050020985,0.002040932631067243,0.0007399819226468101,0.0022096189124999176,3.1979518034472276,0.3003061736251586,True
electricity,shape,fixed1024,STEP12_D17,ORDER,0.0010424808507235677,0.34713933388022505,-0.006276397607020701,-0.007318878457744121,0.0008266170637362547,0.0012841954499746599,0.0007495805277045709,0.0013810624638157256,1.4883879877802253,0.3003061736251586,True
electricity,shape,fixed1024,STEP12_D17,B0:INIT,0.00045944492322819413,0.15299216718790207,-0.0016414306887038294,-0.002100875611932118,0.0001367172789543055,0.0007440920943099231,9.495520932363116e-06,0.0008228824376353849,0.2890992054094239,0.3003061736251586,True
electricity,shape,fixed1024,STEP12_D17,B0:ORDER,0.0008525300837847138,0.2838869655902711,0.0013424451432115236,0.0004899150594267765,0.0006116884146196562,0.0011027882338075156,0.0005203204550629662,0.0012010375728693252,0.9954040657526456,0.3003061736251586,True
electricity,shape,fixed1024,STEP12_D17,INIT:ORDER,0.00036027355655830285,0.11996874796453415,0.0002047509125591429,-0.00015552264399912308,0.00014670212263917414,0.0005675944336363763,6.289460792997785e-05,0.0006354917670861986,0.1777643862173226,0.3003061736251586,True
electricity,shape,fixed1024,STEP12_D17,B0:INIT:ORDER,0.0012251231651424113,0.4079580350790946,0.0006235064832884885,-0.0006016166818539059,0.0009679258727873266,0.0014775881169211181,0.0008647222833070617,0.001588942052359592,2.0556041580137006,0.3003061736251586,True
electricity,shape,fixed1024,STEP12_D63,B0,-0.0021685640701858246,-1.0091762215984725,-0.009086307969908586,-0.006917743899722745,-0.002506099733650361,-0.0017999224462614222,-0.002607368731057126,-0.0016642250635852413,90.35870492100184,0.2148845785080978,True
