seed,variant,gain_vs_feature_percent_f0,gain_vs_standard_percent_f0
30000,refresh_shift1,1.6514830290749511,-0.26417430401003483
30000,refresh_shift2,2.08454817658351,-0.10366443184155268
30000,block_shift1,0.16681991087955098,0.07827255901211458
30000,block_shift2,0.1510314160981642,-0.07138267563722486
30000,clean,-0.17626693350866796,-0.02346950337425406
30001,refresh_shift1,0.050899626508417825,0.14433155892749902
30001,refresh_shift2,0.05097825629401114,0.1900528724984406
30001,block_shift1,-0.6047970741106115,0.08296850112472279
30001,block_shift2,-0.556828173100744,0.0641733960872924
30001,clean,-0.521507099323521,0.02269359185041999
