fit,step,kind,variant,conditional_gradient_norm,lora_gradient_norm,conditional_to_lora_gradient_ratio,conditional_update_norm,conditional_parameter_norm,train_state_replacement_prediction_max_abs,scale_gradient_norm,shift_gradient_norm,multiplier_min,multiplier_max,multiplier_mean,shift_abs_max
30000_AFFINE_V2_R1,60,branch_probe,,,,,,1.0867650508880615,1.00048828125,,,0.9823770523071289,1.0379581451416016,1.0121663808822632,0.06953365355730057
30000_AFFINE_V2_R1,120,optimizer,combined_train,2.669545888900757,53.32646179199219,0.05006043527346177,0.02597172185778618,,,0.12026652693748474,2.666835308074951,,,,
30000_AFFINE_V2_R1,120,branch_probe,,,,,,2.32145094871521,1.4923095703125,,,0.9763896465301514,1.0850924253463745,1.0284953117370605,0.12904036045074463
30000_AFFINE_V2_R1,180,optimizer,combined_train,2.1365597248077393,38.55637741088867,0.05541391251669705,0.022528449073433876,,,0.10064679384231567,2.134187698364258,,,,
30000_AFFINE_V2_R1,180,branch_probe,,,,,,3.150052547454834,2.47830867767334,,,0.9742975234985352,1.1360862255096436,1.039199709892273,0.17489786446094513
30000_AFFINE_V2_R1,240,optimizer,combined_train,2.1494317054748535,39.231590270996094,0.05478828899433954,0.02073320932686329,,,0.12026365846395493,2.146064519882202,,,,
30000_AFFINE_V2_R1,240,branch_probe,,,,,,3.7339658737182617,2.564208984375,,,0.9724094271659851,1.1608555316925049,1.0456182956695557,0.24878725409507751
30000_AFFINE_V2_R1,360,optimizer,combined_train,0.8952432870864868,19.78269386291504,0.04525386144526679,0.021862594410777092,,,0.07897135615348816,0.8917533159255981,,,,
30000_AFFINE_V2_R1,360,branch_probe,,,,,,4.461958408355713,2.4814453125,,,0.9695678353309631,1.1885817050933838,1.0535513162612915,0.3125353157520294
30001_STANDARD_LORA_R0,1,optimizer,clean,0.0,7.412528038024902,0.0,0.0,,,,,,,,
30001_STANDARD_LORA_R0,2,optimizer,refresh_train,0.0,20.65583610534668,0.0,0.0,,,,,,,,
30001_STANDARD_LORA_R0,4,optimizer,combined_train,0.0,12.093581199645996,0.0,0.0,,,,,,,,
30001_STANDARD_LORA_R0,4,branch_probe,,,,,,0.0,0.0,,,,,,
30001_STANDARD_LORA_R0,8,optimizer,combined_train,0.0,12.230798721313477,0.0,0.0,,,,,,,,
30001_STANDARD_LORA_R0,8,branch_probe,,,,,,0.0,0.0,,,,,,
30001_STANDARD_LORA_R0,15,optimizer,block_train,0.0,7.344771385192871,0.0,0.0,,,,,,,,
30001_STANDARD_LORA_R0,15,branch_probe,,,,,,0.0,0.0,,,,,,
30001_STANDARD_LORA_R0,30,optimizer,refresh_train,0.0,10.394039154052734,0.0,0.0,,,,,,,,
30001_STANDARD_LORA_R0,30,branch_probe,,,,,,0.0,0.0,,,,,,
30001_STANDARD_LORA_R0,60,optimizer,combined_train,0.0,14.892473220825195,0.0,0.0,,,,,,,,
30001_STANDARD_LORA_R0,60,branch_probe,,,,,,0.0,0.0,,,,,,
30001_STANDARD_LORA_R0,120,optimizer,combined_train,0.0,14.70468807220459,0.0,0.0,,,,,,,,
30001_STANDARD_LORA_R0,120,branch_probe,,,,,,0.0,0.0,,,,,,
30001_STANDARD_LORA_R0,180,optimizer,combined_train,0.0,29.43019676208496,0.0,0.0,,,,,,,,
30001_STANDARD_LORA_R0,180,branch_probe,,,,,,0.0,0.0,,,,,,
30001_STANDARD_LORA_R0,240,optimizer,combined_train,0.0,23.94137191772461,0.0,0.0,,,,,,,,
30001_STANDARD_LORA_R0,240,branch_probe,,,,,,0.0,0.0,,,,,,
30001_STANDARD_LORA_R0,360,optimizer,combined_train,0.0,25.0974063873291,0.0,0.0,,,,,,,,
30001_STANDARD_LORA_R0,360,branch_probe,,,,,,0.0,0.0,,,,,,
30001_STANDARD_LORA_R1,1,optimizer,clean,0.0,7.412528038024902,0.0,0.0,,,,,,,,
30001_STANDARD_LORA_R1,2,optimizer,refresh_train,0.0,20.564411163330078,0.0,0.0,,,,,,,,
30001_STANDARD_LORA_R1,4,optimizer,combined_train,0.0,12.176797866821289,0.0,0.0,,,,,,,,
30001_STANDARD_LORA_R1,4,branch_probe,,,,,,0.0,0.0,,,,,,
30001_STANDARD_LORA_R1,8,optimizer,combined_train,0.0,12.94967269897461,0.0,0.0,,,,,,,,
30001_STANDARD_LORA_R1,8,branch_probe,,,,,,0.0,0.0,,,,,,
30001_STANDARD_LORA_R1,15,optimizer,block_train,0.0,7.0006890296936035,0.0,0.0,,,,,,,,
30001_STANDARD_LORA_R1,15,branch_probe,,,,,,0.0,0.0,,,,,,
30001_STANDARD_LORA_R1,30,optimizer,refresh_train,0.0,11.733011245727539,0.0,0.0,,,,,,,,
30001_STANDARD_LORA_R1,30,branch_probe,,,,,,0.0,0.0,,,,,,
30001_STANDARD_LORA_R1,60,optimizer,combined_train,0.0,11.034656524658203,0.0,0.0,,,,,,,,
30001_STANDARD_LORA_R1,60,branch_probe,,,,,,0.0,0.0,,,,,,
30001_STANDARD_LORA_R1,120,optimizer,combined_train,0.0,17.838714599609375,0.0,0.0,,,,,,,,
30001_STANDARD_LORA_R1,120,branch_probe,,,,,,0.0,0.0,,,,,,
30001_STANDARD_LORA_R1,180,optimizer,combined_train,0.0,35.59019470214844,0.0,0.0,,,,,,,,
30001_STANDARD_LORA_R1,180,branch_probe,,,,,,0.0,0.0,,,,,,
30001_STANDARD_LORA_R1,240,optimizer,combined_train,0.0,31.196247100830078,0.0,0.0,,,,,,,,
30001_STANDARD_LORA_R1,240,branch_probe,,,,,,0.0,0.0,,,,,,
30001_STANDARD_LORA_R1,360,optimizer,combined_train,0.0,25.141054153442383,0.0,0.0,,,,,,,,
30001_STANDARD_LORA_R1,360,branch_probe,,,,,,0.0,0.0,,,,,,
30001_FEATURE_LORA_R0,1,optimizer,clean,0.0,7.412528038024902,0.0,0.0,,,,,,,,
30001_FEATURE_LORA_R0,2,optimizer,refresh_train,0.031825799494981766,20.65583610534668,0.0015407654927482594,0.010929792188107967,,,,,,,,
30001_FEATURE_LORA_R0,4,optimizer,combined_train,0.05633047968149185,12.082858085632324,0.004662016162258347,0.008701535873115063,,,,,,,,
30001_FEATURE_LORA_R0,4,branch_probe,,,,,,0.022869015112519264,0.00225830078125,,,,,,
30001_FEATURE_LORA_R0,8,optimizer,combined_train,0.139678493142128,12.361688613891602,0.011299305257144444,0.006758562754839659,,,,,,,,
30001_FEATURE_LORA_R0,8,branch_probe,,,,,,0.0435580238699913,0.00970458984375,,,,,,
30001_FEATURE_LORA_R0,15,optimizer,block_train,0.14502598345279694,7.513442039489746,0.019302202997049534,0.006443336606025696,,,,,,,,
30001_FEATURE_LORA_R0,15,branch_probe,,,,,,0.07332215458154678,0.01885986328125,,,,,,
30001_FEATURE_LORA_R0,30,optimizer,refresh_train,0.25716376304626465,10.887468338012695,0.02362016173662693,0.007998662069439888,,,,,,,,
30001_FEATURE_LORA_R0,30,branch_probe,,,,,,0.17121721804141998,0.08530807495117188,,,,,,
30001_FEATURE_LORA_R0,60,optimizer,combined_train,0.7344051003456116,15.914411544799805,0.04614717284885007,0.007493568584322929,,,,,,,,
30001_FEATURE_LORA_R0,60,branch_probe,,,,,,0.37787139415740967,0.49285888671875,,,,,,
30001_FEATURE_LORA_R0,120,optimizer,combined_train,0.49545764923095703,15.922982215881348,0.031115882848678614,0.008358330465853214,,,,,,,,
30001_FEATURE_LORA_R0,120,branch_probe,,,,,,0.7247167825698853,0.991485595703125,,,,,,
30001_FEATURE_LORA_R0,180,optimizer,combined_train,1.6241976022720337,46.343528747558594,0.03504691261468943,0.005948015954345465,,,,,,,,
30001_FEATURE_LORA_R0,180,branch_probe,,,,,,1.1024028062820435,1.78564453125,,,,,,
30001_FEATURE_LORA_R0,240,optimizer,combined_train,1.2233290672302246,37.19491958618164,0.03288968173182195,0.004919452592730522,,,,,,,,
30001_FEATURE_LORA_R0,240,branch_probe,,,,,,1.3660742044448853,2.2342777252197266,,,,,,
30001_FEATURE_LORA_R0,360,optimizer,combined_train,0.8593112826347351,46.46345520019531,0.018494347416313606,0.004014302045106888,,,,,,,,
30001_FEATURE_LORA_R0,360,branch_probe,,,,,,1.7488195896148682,4.372795104980469,,,,,,
30001_FEATURE_LORA_R1,1,optimizer,clean,0.0,7.412528038024902,0.0,0.0,,,,,,,,
30001_FEATURE_LORA_R1,2,optimizer,refresh_train,0.10624843090772629,20.564411163330078,0.0051666167372293025,0.03811091557145119,,,,,,,,
30001_FEATURE_LORA_R1,4,optimizer,combined_train,0.18882383406162262,12.162063598632812,0.015525641066607239,0.029799193143844604,,,,,,,,
30001_FEATURE_LORA_R1,4,branch_probe,,,,,,0.07926702499389648,0.02484130859375,,,,,,
30001_FEATURE_LORA_R1,8,optimizer,combined_train,0.40450969338417053,13.335653305053711,0.030332949134998625,0.023161625489592552,,,,,,,,
30001_FEATURE_LORA_R1,8,branch_probe,,,,,,0.14995162189006805,0.0699462890625,,,,,,
30001_FEATURE_LORA_R1,15,optimizer,block_train,0.5120401978492737,7.820478439331055,0.06547428035529146,0.02162809669971466,,,,,,,,
30001_FEATURE_LORA_R1,15,branch_probe,,,,,,0.2474949061870575,0.17544174194335938,,,,,,
30001_FEATURE_LORA_R1,30,optimizer,refresh_train,0.6616012454032898,14.0137939453125,0.04721071595494595,0.02422778122127056,,,,,,,,
30001_FEATURE_LORA_R1,30,branch_probe,,,,,,0.5533528923988342,0.739654541015625,,,,,,
30001_FEATURE_LORA_R1,60,optimizer,combined_train,0.7315136194229126,12.164443016052246,0.06013539777017365,0.020728733390569687,,,,,,,,
30001_FEATURE_LORA_R1,60,branch_probe,,,,,,0.8149033188819885,0.9525146484375,,,,,,
30001_FEATURE_LORA_R1,120,optimizer,combined_train,0.9094905257225037,19.536544799804688,0.04655329460978157,0.01664326712489128,,,,,,,,
30001_FEATURE_LORA_R1,120,branch_probe,,,,,,1.4576411247253418,2.432037353515625,,,,,,
30001_FEATURE_LORA_R1,180,optimizer,combined_train,1.2449121475219727,33.75703048706055,0.03687860364374057,0.015499673783779144,,,,,,,,
30001_FEATURE_LORA_R1,180,branch_probe,,,,,,1.9117411375045776,3.199737548828125,,,,,,
30001_FEATURE_LORA_R1,240,optimizer,combined_train,1.3368964195251465,34.826446533203125,0.03838739098031621,0.01581503264605999,,,,,,,,
30001_FEATURE_LORA_R1,240,branch_probe,,,,,,2.2811129093170166,2.992523193359375,,,,,,
30001_FEATURE_LORA_R1,360,optimizer,combined_train,1.1379755735397339,24.932004928588867,0.045643163347639466,0.015607998706400394,,,,,,,,
30001_FEATURE_LORA_R1,360,branch_probe,,,,,,2.741472005844116,1.9859619140625,,,,,,
30001_AFFINE_V2_R0,1,optimizer,clean,0.0,7.412528038024902,0.0,0.0,,,0.0,0.0,,,,
30001_AFFINE_V2_R0,2,optimizer,refresh_train,0.03220922872424126,20.65583610534668,0.0015593282479571973,0.012055354192852974,,,0.0006087693036533892,0.03220347315073013,,,,
30001_AFFINE_V2_R0,4,optimizer,combined_train,0.056601401418447495,12.084371566772461,0.004683851461012698,0.0099074337631464,,,0.0010555303888395429,0.05659155547618866,,,,
30001_AFFINE_V2_R0,4,branch_probe,,,,,,0.026610365137457848,0.00115966796875,,,0.9993239045143127,1.0006999969482422,1.0000033378601074,0.00142221013084054
30001_AFFINE_V2_R0,8,optimizer,combined_train,0.13692834973335266,12.369444847106934,0.011069886435960671,0.007212067488580942,,,0.002307340269908309,0.13690891861915588,,,,
30001_AFFINE_V2_R0,8,branch_probe,,,,,,0.047930359840393066,0.005859375,,,0.998611569404602,1.0015407800674438,1.0001747608184814,0.003096075030043721
30001_AFFINE_V2_R0,15,optimizer,block_train,0.04300452396273613,7.351676940917969,0.005849621019577387,0.008128110319375992,,,0.0006292363395914435,0.04299991950392723,,,,
30001_AFFINE_V2_R0,15,branch_probe,,,,,,0.0817483514547348,0.01078033447265625,,,0.9974512457847595,1.0029346942901611,1.0004887580871582,0.006059415638446808
30001_AFFINE_V2_R0,30,optimizer,refresh_train,0.20146766304969788,10.805990219116211,0.018644072312160143,0.010125838220119476,,,0.004840327892452478,0.2014095038175583,,,,
30001_AFFINE_V2_R0,30,branch_probe,,,,,,0.20176133513450623,0.06388092041015625,,,0.9961047172546387,1.0062170028686523,1.001916527748108,0.012895055115222931
30001_AFFINE_V2_R0,60,optimizer,combined_train,0.9227100610733032,16.09682273864746,0.05732249625001674,0.01263225544244051,,,0.03252784162759781,0.9221366047859192,,,,
