candidate,baseline,mode,gain_pct,lower95,upper95,replicates,block_origins,origins,seed_resampling,series_resampling
SCENARIO3,TARGET,raw,25.654374107574263,21.67829265190674,29.896161452974415,2000,14,242,False,False
SCENARIO3,TARGET,cal,26.687848461976415,23.120279381132917,30.66429561167298,2000,14,242,False,False
SCENARIO3,CONTROL,raw,1.479038191507931,1.1381528955522389,2.0957960177392967,2000,14,242,False,False
SCENARIO3,CONTROL,cal,1.3201375255857073,0.855436589824388,2.0028230078118634,2000,14,242,False,False
SCENARIO3,MOMENTS,raw,2.260417437411222,1.4276835419034468,3.3005528495139833,2000,14,242,False,False
SCENARIO3,MOMENTS,cal,2.3343603595093243,1.212671703007716,3.4555699140740934,2000,14,242,False,False
SCENARIO3,SET,raw,-6.372264335719002,-8.097233666927812,-4.65109415391257,2000,14,242,False,False
SCENARIO3,SET,cal,-6.341130875069045,-8.158001496844362,-4.463723579837495,2000,14,242,False,False
SCENARIO3,MEMBER,raw,0.37052923667260096,0.038882123924318945,0.9204617778036627,2000,14,242,False,False
SCENARIO3,MEMBER,cal,0.17312911633678985,-0.32523565147013767,0.8406260573845559,2000,14,242,False,False
SCENARIO3,F0,raw,30.16562337762125,25.951256621442436,34.236994317802676,2000,14,242,False,False
SCENARIO3,F0,cal,29.738138867302965,26.181923481685303,33.38398182276504,2000,14,242,False,False
SCENARIO3,NAIVE,raw,63.48577893980608,60.57966016128904,65.34231784967571,2000,14,242,False,False
SCENARIO3,NAIVE,cal,63.88987213888954,61.20976945881417,65.66769112115762,2000,14,242,False,False
SCENARIO3,GBQR,raw,-58.18795995320978,-75.33547808763588,-46.09034114241922,2000,14,242,False,False
SCENARIO3,GBQR,cal,-57.97671071711616,-74.9187837993517,-45.65272974807928,2000,14,242,False,False
TARGET,F0,raw,6.067941746262973,4.098972976223798,7.708552439752016,2000,14,242,False,False
TARGET,F0,cal,4.160688700759929,2.4131570549964594,5.620320226404277,2000,14,242,False,False
CONTROL,TARGET,raw,24.538266245369243,20.427635054828006,28.682273705893696,2000,14,242,False,False
CONTROL,TARGET,cal,25.70707974280776,22.246161469412684,29.499878776748254,2000,14,242,False,False
MOMENTS,TARGET,raw,23.934987296658882,20.17707200471523,27.97655995789474,2000,14,242,False,False
MOMENTS,TARGET,cal,24.93557426349001,21.73561516782784,28.73482107895808,2000,14,242,False,False
SET,TARGET,raw,30.10807247856898,26.243299226226643,34.45124687322322,2000,14,242,False,False
SET,TARGET,cal,31.059458428976406,27.294718249104825,35.24752661352525,2000,14,242,False,False
MEMBER,TARGET,raw,25.377877326041553,21.285727611658036,29.55372840642991,2000,14,242,False,False
MEMBER,TARGET,cal,26.560703657174123,23.15385305731445,30.428040095391136,2000,14,242,False,False
GBQR,TARGET,raw,53.00171649320444,49.300755097955374,58.057401858176235,2000,14,242,False,False
GBQR,TARGET,cal,53.59306368310117,49.960595767402175,58.47559089878108,2000,14,242,False,False
MOMENTS,CONTROL,raw,-0.799450156647552,-1.605413501165725,0.0973367362594555,2000,14,242,False,False
MOMENTS,CONTROL,cal,-1.038464333676603,-1.7999469361359859,-0.15863740756169573,2000,14,242,False,False
SET,CONTROL,raw,7.3809677515631495,5.929979696748221,9.007648787224179,2000,14,242,False,False
SET,CONTROL,cal,7.204426300163503,5.631849435800946,8.89166553977976,2000,14,242,False,False
MEMBER,CONTROL,raw,1.1126315801361808,0.9432070048195504,1.356913391497135,2000,14,242,False,False
MEMBER,CONTROL,cal,1.1489976587422235,0.9694483627610556,1.3920575068918195,2000,14,242,False,False
GBQR,CONTROL,raw,37.71905153993169,32.51567430800866,43.969010277276446,2000,14,242,False,False
GBQR,CONTROL,cal,37.53518349225718,32.2546565300389,43.79312086923028,2000,14,242,False,False
