candidate,arm,seed,batch,round,repeat,seconds,peak_allocated,peak_reserved
B,TARGET,92301,1,0,0,0.0163170000014361,260940800,306184192
B,TARGET,92301,1,0,1,0.016704099980415776,260940800,306184192
B,TARGET,92301,1,0,2,0.017455699999118224,260940800,306184192
B,TARGET,92301,1,0,3,0.016717900027288124,260940800,306184192
B,TARGET,92301,1,0,4,0.016472200019052252,260940800,306184192
B,TARGET,92301,1,0,5,0.016189099987968802,260940800,306184192
B,TARGET,92301,1,0,6,0.016390000004321337,260940800,306184192
B,TARGET,92301,1,0,7,0.015503799979342148,260940800,306184192
B,TARGET,92301,1,0,8,0.015290599985746667,260940800,306184192
B,TARGET,92301,1,0,9,0.015403900004457682,260940800,306184192
B,TARGET,92301,1,0,10,0.015597999998135492,260940800,306184192
B,TARGET,92301,1,0,11,0.01579080001101829,260940800,306184192
B,TARGET,92301,1,0,12,0.015473699982976541,260940800,306184192
B,TARGET,92301,1,0,13,0.015505199990002438,260940800,306184192
B,TARGET,92301,1,0,14,0.015215200022794306,260940800,306184192
B,TARGET,92301,8,0,0,0.016136999998707324,263270400,308281344
B,TARGET,92301,8,0,1,0.016169900016393512,263270400,308281344
B,TARGET,92301,8,0,2,0.016184800013434142,263270400,308281344
B,TARGET,92301,8,0,3,0.01654079998843372,263270400,308281344
B,TARGET,92301,8,0,4,0.016256700007943437,263270400,308281344
B,TARGET,92301,8,0,5,0.016282399999909103,263270400,308281344
B,TARGET,92301,8,0,6,0.01644750000559725,263270400,308281344
B,TARGET,92301,8,0,7,0.01631710000219755,263270400,308281344
B,TARGET,92301,8,0,8,0.016016499983379617,263270400,308281344
B,TARGET,92301,8,0,9,0.01637739999569021,263270400,308281344
B,TARGET,92301,8,0,10,0.01611830000183545,263270400,308281344
B,TARGET,92301,8,0,11,0.016504500003065914,263270400,308281344
B,TARGET,92301,8,0,12,0.016101100016385317,263270400,308281344
B,TARGET,92301,8,0,13,0.016391700017265975,263270400,308281344
B,TARGET,92301,8,0,14,0.01617769998847507,263270400,308281344
B,CONTROL,92301,1,0,0,0.015750399994431064,260962304,306184192
B,CONTROL,92301,1,0,1,0.015569500013953075,260962304,306184192
B,CONTROL,92301,1,0,2,0.015630099980626255,260962304,306184192
B,CONTROL,92301,1,0,3,0.015795699990121648,260962304,306184192
B,CONTROL,92301,1,0,4,0.016496500000357628,260962304,306184192
B,CONTROL,92301,1,0,5,0.01675690000411123,260962304,306184192
B,CONTROL,92301,1,0,6,0.016488299996126443,260962304,306184192
B,CONTROL,92301,1,0,7,0.01647679999587126,260962304,306184192
B,CONTROL,92301,1,0,8,0.0163170000014361,260962304,306184192
B,CONTROL,92301,1,0,9,0.01570940000237897,260962304,306184192
B,CONTROL,92301,1,0,10,0.0156901000009384,260962304,306184192
B,CONTROL,92301,1,0,11,0.01608559998567216,260962304,306184192
B,CONTROL,92301,1,0,12,0.015756099979626015,260962304,306184192
B,CONTROL,92301,1,0,13,0.015691300010075793,260962304,306184192
B,CONTROL,92301,1,0,14,0.01579390000551939,260962304,306184192
B,CONTROL,92301,8,0,0,0.01635689998511225,263294976,308281344
B,CONTROL,92301,8,0,1,0.01619970001047477,263294976,308281344
B,CONTROL,92301,8,0,2,0.016335699998307973,263294976,308281344
B,CONTROL,92301,8,0,3,0.016295399982482195,263294976,308281344
B,CONTROL,92301,8,0,4,0.016385800001444295,263294976,308281344
B,CONTROL,92301,8,0,5,0.016322500014211982,263294976,308281344
B,CONTROL,92301,8,0,6,0.0163108000124339,263294976,308281344
B,CONTROL,92301,8,0,7,0.016942899994319305,263294976,308281344
B,CONTROL,92301,8,0,8,0.016511299996636808,263294976,308281344
B,CONTROL,92301,8,0,9,0.016400799999246374,263294976,308281344
B,CONTROL,92301,8,0,10,0.01670649999869056,263294976,308281344
B,CONTROL,92301,8,0,11,0.0166233999771066,263294976,308281344
B,CONTROL,92301,8,0,12,0.01633630000287667,263294976,308281344
B,CONTROL,92301,8,0,13,0.01633790001505986,263294976,308281344
B,CONTROL,92301,8,0,14,0.01656600000569597,263294976,308281344
B,MOMENTS,92301,1,0,0,0.015883199987001717,260975104,306184192
B,MOMENTS,92301,1,0,1,0.015938800002913922,260975104,306184192
B,MOMENTS,92301,1,0,2,0.015835099999094382,260975104,306184192
B,MOMENTS,92301,1,0,3,0.015880099992500618,260975104,306184192
B,MOMENTS,92301,1,0,4,0.01571229999535717,260975104,306184192
B,MOMENTS,92301,1,0,5,0.015554799989331514,260975104,306184192
B,MOMENTS,92301,1,0,6,0.01616590001503937,260975104,306184192
B,MOMENTS,92301,1,0,7,0.015942700003506616,260975104,306184192
B,MOMENTS,92301,1,0,8,0.015907699998933822,260975104,306184192
B,MOMENTS,92301,1,0,9,0.016270299995085225,260975104,306184192
B,MOMENTS,92301,1,0,10,0.01611720002256334,260975104,306184192
B,MOMENTS,92301,1,0,11,0.015857199992751703,260975104,306184192
B,MOMENTS,92301,1,0,12,0.015775700012454763,260975104,306184192
B,MOMENTS,92301,1,0,13,0.01572879997547716,260975104,306184192
B,MOMENTS,92301,1,0,14,0.015603100007865578,260975104,306184192
B,MOMENTS,92301,8,0,0,0.016307500016409904,263362560,308281344
B,MOMENTS,92301,8,0,1,0.01657599999452941,263362560,308281344
B,MOMENTS,92301,8,0,2,0.016339800000423566,263362560,308281344
B,MOMENTS,92301,8,0,3,0.016292199987219647,263362560,308281344
B,MOMENTS,92301,8,0,4,0.01620270000421442,263362560,308281344
B,MOMENTS,92301,8,0,5,0.016645299998344854,263362560,308281344
B,MOMENTS,92301,8,0,6,0.016436399979284033,263362560,308281344
B,MOMENTS,92301,8,0,7,0.01644569999189116,263362560,308281344
B,MOMENTS,92301,8,0,8,0.01621179998619482,263362560,308281344
B,MOMENTS,92301,8,0,9,0.016837700008181855,263362560,308281344
B,MOMENTS,92301,8,0,10,0.016396100021665916,263362560,308281344
B,MOMENTS,92301,8,0,11,0.016535800008568913,263362560,308281344
B,MOMENTS,92301,8,0,12,0.01633630000287667,263362560,308281344
B,MOMENTS,92301,8,0,13,0.016796100011561066,263362560,308281344
B,MOMENTS,92301,8,0,14,0.016354300023522228,263362560,308281344
B,SET,92301,1,0,0,0.016190100024687126,260987904,306184192
B,SET,92301,1,0,1,0.016145999979926273,260987904,306184192
B,SET,92301,1,0,2,0.01648900000145659,260987904,306184192
B,SET,92301,1,0,3,0.016156199999386445,260987904,306184192
B,SET,92301,1,0,4,0.016543000005185604,260987904,306184192
B,SET,92301,1,0,5,0.016129800002090633,260987904,306184192
B,SET,92301,1,0,6,0.0162801000114996,260987904,306184192
B,SET,92301,1,0,7,0.016054200008511543,260987904,306184192
B,SET,92301,1,0,8,0.015936599986162037,260987904,306184192
B,SET,92301,1,0,9,0.016171199997188523,260987904,306184192
B,SET,92301,1,0,10,0.016166699992027134,260987904,306184192
B,SET,92301,1,0,11,0.01605629999539815,260987904,306184192
B,SET,92301,1,0,12,0.016434899996966124,260987904,306184192
B,SET,92301,1,0,13,0.01659710000967607,260987904,306184192
B,SET,92301,1,0,14,0.01670659999945201,260987904,306184192
B,SET,92301,8,0,0,0.017383299971697852,263383552,308281344
B,SET,92301,8,0,1,0.017802199989091605,263383552,308281344
B,SET,92301,8,0,2,0.01746509998338297,263383552,308281344
B,SET,92301,8,0,3,0.017255900020245463,263383552,308281344
B,SET,92301,8,0,4,0.017333000025246292,263383552,308281344
B,SET,92301,8,0,5,0.017449200007831678,263383552,308281344
B,SET,92301,8,0,6,0.017520800000056624,263383552,308281344
B,SET,92301,8,0,7,0.01702960001421161,263383552,308281344
B,SET,92301,8,0,8,0.01683120001689531,263383552,308281344
B,SET,92301,8,0,9,0.01734659998328425,263383552,308281344
B,SET,92301,8,0,10,0.01698790001682937,263383552,308281344
B,SET,92301,8,0,11,0.01697900000726804,263383552,308281344
B,SET,92301,8,0,12,0.01693919999524951,263383552,308281344
B,SET,92301,8,0,13,0.016540200012968853,263383552,308281344
B,SET,92301,8,0,14,0.017048000008799136,263383552,308281344
B,MEMBER,92301,1,0,0,0.01674349998938851,260998656,306184192
B,MEMBER,92301,1,0,1,0.016789199988124892,260998656,306184192
B,MEMBER,92301,1,0,2,0.016966800001682714,260998656,306184192
B,MEMBER,92301,1,0,3,0.016369099990697578,260998656,306184192
B,MEMBER,92301,1,0,4,0.01645769999595359,260998656,306184192
B,MEMBER,92301,1,0,5,0.016641900001559407,260998656,306184192
B,MEMBER,92301,1,0,6,0.017721800017170608,260998656,306184192
B,MEMBER,92301,1,0,7,0.017275199992582202,260998656,306184192
