candidate,baseline,seed,mode,metric,candidate_score,baseline_score,gain_pct
SCENARIO3,TARGET,92301,raw,crps,0.3599545980778693,0.48620270007082506,25.966145801856968
SCENARIO3,TARGET,92301,raw,pinball,0.39734431301906953,0.526017001177966,24.46169760116993
SCENARIO3,TARGET,92301,raw,nmae,0.5048335421513503,0.6851230786536194,26.314912184328687
SCENARIO3,TARGET,92302,raw,crps,0.3634636760422192,0.48684482685004216,25.343013626357546
SCENARIO3,TARGET,92302,raw,pinball,0.4015533758347955,0.5271342317448864,23.823316405463004
SCENARIO3,TARGET,92302,raw,nmae,0.5085051996492692,0.6885718592553475,26.15074333720382
SCENARIO3,TARGET,92301,cal,crps,0.3517676785769348,0.48661368488002593,27.711100302560798
SCENARIO3,TARGET,92301,cal,pinball,0.3852929646727585,0.5279758158825019,27.02450508481181
SCENARIO3,TARGET,92301,cal,nmae,0.4881079982373011,0.6851230786536194,28.75615879171457
SCENARIO3,TARGET,92302,cal,crps,0.3636447173900168,0.48923053870124583,25.67006991113435
SCENARIO3,TARGET,92302,cal,pinball,0.3974618781608998,0.5340282878747381,25.572879342652232
SCENARIO3,TARGET,92302,cal,nmae,0.5085051996492692,0.6853696597357273,25.805703181354055
SCENARIO3,CONTROL,92301,raw,crps,0.3599545980778693,0.36561033580517577,1.5469304812871232
SCENARIO3,CONTROL,92301,raw,pinball,0.39734431301906953,0.40049223007668283,0.7860120175141927
SCENARIO3,CONTROL,92301,raw,nmae,0.5048335421513503,0.5029016431571219,-0.38415046371698125
SCENARIO3,CONTROL,92302,raw,crps,0.3634636760422192,0.3686681982658681,1.4117090240302277
SCENARIO3,CONTROL,92302,raw,pinball,0.4015533758347955,0.40584009298418516,1.056257679685857
SCENARIO3,CONTROL,92302,raw,nmae,0.5085051996492692,0.5130651307144081,0.8887626135865911
SCENARIO3,CONTROL,92301,cal,crps,0.3517676785769348,0.3570310729479053,1.4742118459080134
SCENARIO3,CONTROL,92301,cal,pinball,0.3852929646727585,0.38808178492917556,0.7186166330702792
SCENARIO3,CONTROL,92301,cal,nmae,0.4881079982373011,0.48921922064072154,0.2271420166127358
SCENARIO3,CONTROL,92302,cal,crps,0.3636447173900168,0.36795209791174577,1.1706362176421403
SCENARIO3,CONTROL,92302,cal,pinball,0.3974618781608998,0.3996331371599597,0.5433130531892871
SCENARIO3,CONTROL,92302,cal,nmae,0.5085051996492692,0.5102983528686201,0.3513931035189044
SCENARIO3,MOMENTS,92301,raw,crps,0.3599545980778693,0.3720287825867847,3.245497411507081
SCENARIO3,MOMENTS,92301,raw,pinball,0.39734431301906953,0.4086042879064233,2.755716281159648
SCENARIO3,MOMENTS,92301,raw,nmae,0.5048335421513503,0.5120116627321747,1.4019447413601394
SCENARIO3,MOMENTS,92302,raw,crps,0.3634636760422192,0.3681199423751195,1.264877502386308
SCENARIO3,MOMENTS,92302,raw,pinball,0.4015533758347955,0.40508913241811384,0.872834223473784
SCENARIO3,MOMENTS,92302,raw,nmae,0.5085051996492692,0.5127980412723838,0.8371407996143998
SCENARIO3,MOMENTS,92301,cal,crps,0.3517676785769348,0.3637734811426622,3.3003512317653194
SCENARIO3,MOMENTS,92301,cal,pinball,0.3852929646727585,0.39563351453960505,2.6136688341177994
SCENARIO3,MOMENTS,92301,cal,nmae,0.4881079982373011,0.4981827024294691,2.022291047649194
SCENARIO3,MOMENTS,92302,cal,crps,0.3636447173900168,0.3687383813715239,1.3813761297538973
SCENARIO3,MOMENTS,92302,cal,pinball,0.3974618781608998,0.4026785498207526,1.295492809878973
SCENARIO3,MOMENTS,92302,cal,nmae,0.5085051996492692,0.5127334332138768,0.8246455742322967
SCENARIO3,SET,92301,raw,crps,0.3599545980778693,0.3353394301616394,-7.3403738726355305
SCENARIO3,SET,92301,raw,pinball,0.39734431301906953,0.3660701809307016,-8.543206662956315
