arm,batch,repetitions,median_seconds,q25,q75,peak_allocated,peak_reserved
TARGET,1,30,0.015488749981159344,0.015173500010860153,0.015813975012861192,260940800,306184192
TARGET,8,30,0.016127650000271387,0.01596452500234591,0.016275975001917686,263270400,308281344
CONTROL,1,30,0.015871249997871928,0.015710824998677708,0.016104274996905588,260962304,306184192
CONTROL,8,30,0.01638424998964183,0.016335849999450147,0.016784199979156256,263294976,308281344
MOMENTS,1,30,0.015846149995923042,0.015694099995016586,0.016124025009048637,260975104,306184192
MOMENTS,8,30,0.01649159999215044,0.016348900004231837,0.016827300009026658,263362560,308281344
SET,1,30,0.01609304999874439,0.015783499991812278,0.01625760001479648,260987904,306184192
SET,8,30,0.01688520000607241,0.016707149989088066,0.017212925013154745,263383552,308281344
MEMBER,1,30,0.0175545499951113,0.01697450000210665,0.01838007500191452,260998656,306184192
MEMBER,8,30,0.02407744999800343,0.023882724999566562,0.02432075001706835,263582720,308281344
SCENARIO3,1,30,0.016091750003397465,0.01590665000549052,0.01627692499459954,260988416,306184192
SCENARIO3,8,30,0.01691345000290312,0.01674932499008719,0.017030349983542692,263384064,308281344
F0,1,30,0.01281965000089258,0.012237824987096246,0.01376457499281969,259761152,304087040
F0,8,30,0.012733049996313639,0.012641549998079427,0.012952950004546437,262090752,308281344
NAIVE,1,30,0.00025015001301653683,0.00024782499531283975,0.00025452500995015725,68175872,230686720
NAIVE,8,30,0.0002700500044738874,0.00026782500208355486,0.0002736500100581907,68175872,230686720
GBQR,1,30,0.0030418000096688047,0.0030260500134318136,0.003088325000135228,68175872,230686720
GBQR,8,30,0.005726750008761883,0.005644449978717603,0.005773925004177727,68175872,230686720
