key,phase,updates,fit_seconds,wall_seconds,trainable_parameters,peak_allocated,peak_reserved,selected_checkpoint,raw_val_0,raw_val_128,raw_val_256
smoke_TARGET,smoke,2,0.1903166000265628,0.38435030000982806,294912,269439488,278921216,,,,
smoke_CONTROL,smoke,2,0.1143770000198856,0.31101479998324066,299577,269972480,278921216,,,,
smoke_MOMENTS,smoke,2,0.12465250000241213,0.3200000000069849,300857,269994496,278921216,,,,
smoke_SET,smoke,2,0.11145750002469867,0.302701500011608,303737,270045696,278921216,,,,
smoke_MEMBER,smoke,2,0.11799699999392033,0.3361412000085693,299577,271573504,281018368,,,,
smoke_SCENARIO3,smoke,2,0.13774689999991097,0.332628099975409,303708,270308352,278921216,,,,
TARGET_92301,main,256,12.044605400034925,12.992098099988652,294912,269783552,314572800,256,0.4894146057264398,0.46905154643132024,0.4469090645457681
CONTROL_92301,main,256,12.469881800119765,13.427903700008756,299577,269865472,314572800,256,0.4894146057264398,0.4383003130670172,0.3248751906803458
MOMENTS_92301,main,256,12.46122040002956,13.419303500006208,300857,269885952,314572800,256,0.4894146057264398,0.44882117948205075,0.3378687106203948
SET_92301,main,256,12.731127700040815,13.689835400000447,303737,269933056,314572800,256,0.4894146057264402,0.4219140766204602,0.2950526449977447
MEMBER_92301,main,256,12.473711699800333,13.680629499984207,299577,271308800,316669952,256,0.4894146057264373,0.43672513207181146,0.3212184375339627
SCENARIO3_92301,main,256,12.99988710033358,14.047405999997864,303708,269935104,314572800,256,0.4894146057264402,0.43752432639246464,0.31871788426274866
TARGET_92302,main,256,12.436803299729945,13.415378500008956,294912,269783552,314572800,256,0.4894146057264398,0.4716934250201684,0.4485241787845393
CONTROL_92302,main,256,12.74484639975708,13.724638999992749,299577,269865472,314572800,256,0.4894146057264398,0.44574058999898236,0.33812050583597203
MOMENTS_92302,main,256,12.78960869993898,13.783723600005032,300857,269885952,314572800,256,0.4894146057264398,0.447144023259688,0.3432083384121439
SET_92302,main,256,13.288806200376712,14.257524899992859,303737,269933056,314572800,256,0.4894146057264402,0.43705596032101857,0.3115653636605688
MEMBER_92302,main,256,12.539719500142382,13.774225100001786,299577,271308800,316669952,256,0.4894146057264373,0.44510518457308357,0.3354910950638487
SCENARIO3_92302,main,256,13.137230000109412,14.163455700007034,303708,269935104,314572800,256,0.4894146057264402,0.445463728476716,0.33353975485065057
