candidate,arm,seed,mode,region,examples,crps,pinball,nmae,raw_mae,coverage,width,negative_mass
B,TARGET,92301,raw,all8,242,0.48620270007082506,0.526017001177966,0.6851230786536194,314.16671285550456,0.8290289256198347,2.290968550482964,0.0030991735537190084
B,TARGET,92301,cal,all8,242,0.48661368488002593,0.5279758158825019,0.6851230786536194,314.16671285550456,0.84400826446281,2.3791221215776877,0.007231404958677687
B,TARGET,92302,raw,all8,242,0.48684482685004216,0.5271342317448864,0.6885718592553475,315.7481689453125,0.824896694214876,2.320001008322038,0.002926997245179063
B,TARGET,92302,cal,all8,242,0.48923053870124583,0.5340282878747381,0.6853696597357273,314.27978387942983,0.8863636363636364,2.57778061607084,0.03655876951331497
B,CONTROL,92301,raw,all8,242,0.36561033580517577,0.40049223007668283,0.5029016431571219,230.60813603125328,0.8863636363636364,2.079656054360901,0.02749081726354453
B,CONTROL,92301,cal,all8,242,0.3570310729479053,0.38808178492917556,0.48921922064072154,224.33399078668643,0.8243801652892562,1.8538586526352465,0.015094123048668502
B,CONTROL,92302,raw,all8,242,0.3686681982658681,0.40584009298418516,0.5130651307144081,235.26865554447016,0.9194214876033058,2.2793927324148626,0.026802112029384755
B,CONTROL,92302,cal,all8,242,0.36795209791174577,0.3996331371599597,0.5102983528686201,233.9999353274826,0.8419421487603306,1.947417147507727,0.013372359963269053
B,MOMENTS,92301,raw,all8,242,0.3720287825867847,0.4086042879064233,0.5120116627321747,234.7855823808465,0.90650826446281,2.215508831244896,0.026974288337924698
B,MOMENTS,92301,cal,all8,242,0.3637734811426622,0.39563351453960505,0.4981827024294691,228.44424148039386,0.8300619834710744,1.9306279790565546,0.013544536271808998
B,MOMENTS,92302,raw,all8,242,0.3681199423751195,0.40508913241811384,0.5127980412723838,235.14618030658437,0.9163223140495868,2.2624491402307907,0.027089072543617993
B,MOMENTS,92302,cal,all8,242,0.3687383813715239,0.4026785498207526,0.5127334332138768,235.11655394893046,0.8641528925619835,2.081357242637913,0.016815886134067953
B,SET,92301,raw,all8,242,0.3353394301616394,0.3660701809307016,0.46564550107653807,213.5241403875272,0.8104338842975206,1.5969677973013998,0.0333123435412223
B,SET,92301,cal,all8,242,0.32937051625326863,0.3592128880219198,0.45715725873858726,209.6318131892149,0.762396694214876,1.4256609120931667,0.01782696098148388
B,SET,92302,raw,all8,242,0.3447422421029701,0.3772237141232312,0.4744485371526446,217.56081787416758,0.8445247933884298,1.7497163156967717,0.027704823706838057
B,SET,92302,cal,all8,242,0.34338177637321043,0.3746460978326017,0.4744485371526446,217.56081787416758,0.7742768595041323,1.4914598260309542,0.020406567750130257
B,MEMBER,92301,raw,all8,242,0.36120614807878915,0.3968636698229836,0.5033318870409288,230.8054265778912,0.8610537190082644,1.956501185371636,0.029445592286501378
B,MEMBER,92301,cal,all8,242,0.35256485153717415,0.3849152625274802,0.4872946301726718,223.45145992503677,0.8068181818181818,1.742619410963118,0.016578282828282827
B,MEMBER,92302,raw,all8,242,0.36490257113601915,0.40233373987833176,0.5103862298893065,234.04023178746877,0.9018595041322314,2.1548350802504133,0.02929407713498623
B,MEMBER,92302,cal,all8,242,0.36408827966302426,0.3973754735505827,0.5075638760119738,232.746026895263,0.8212809917355371,1.8387541233347693,0.014511019283746554
B,SCENARIO3,92301,raw,all8,242,0.3599545980778693,0.39734431301906953,0.5048335421513503,231.49401825518646,0.868801652892562,1.9599712887309717,0.028206471182458257
B,SCENARIO3,92301,cal,all8,242,0.3517676785769348,0.3852929646727585,0.4881079982373011,223.82443403606572,0.8052685950413223,1.7458215616196495,0.015625696924507486
B,SCENARIO3,92302,raw,all8,242,0.3634636760422192,0.4015533758347955,0.5085051996492692,233.17767569250313,0.9028925619834711,2.1874865850874623,0.027889484405328163
B,SCENARIO3,92302,cal,all8,242,0.3636447173900168,0.3974618781608998,0.5085051996492692,233.17767569250313,0.8357438016528925,1.8671269629459424,0.020148334158749084
B,F0,0,raw,all8,242,0.5179528400689309,0.5540650719279643,0.7226661221205836,331.3822686061386,0.7572314049586777,2.1057783182753056,0.005107897153351699
B,F0,0,cal,all8,242,0.5091043593449787,0.5542446491687704,0.715560879639929,328.1241231082885,0.8848140495867769,2.6322228978441315,0.047750229568411386
B,NAIVE,0,raw,all8,242,0.9905979822594724,0.9905979822594724,0.9905979822594724,454.24380165289256,0.0015495867768595042,0.0,0.0
B,NAIVE,0,cal,all8,242,0.9905979822594724,0.9905979822594724,0.9905979822594724,454.24380165289256,0.0015495867768595042,0.0,0.0
B,GBQR,0,raw,all8,242,0.22865781767906596,0.2406029238574112,0.29797939848829885,136.63998635938344,0.6849173553719008,0.7263571782950683,0.0
B,GBQR,0,cal,all8,242,0.2264297036947483,0.23912593618380892,0.29797939848829885,136.63998635938344,0.7081611570247934,0.7719230911520081,0.0
