arm,main_fits,main_updates,optimizer_compute_seconds,fit_wall_seconds,trainable_parameters
TARGET,2,512,24.48140869976487,26.407476599997608,294912
CONTROL,2,512,25.214728199876845,27.152542700001504,299577
MOMENTS,2,512,25.25082909996854,27.20302710001124,300857
SET,2,512,26.019933900417527,27.947360299993306,303737
MEMBER,2,512,25.013431199942715,27.454854599985993,299577
SCENARIO3,2,512,26.137117100442993,28.210861700004898,303708
