candidate,baseline,mode,metric,candidate_score,baseline_score,gain_pct
SCENARIO3,TARGET,raw,crps,0.36170913706004426,0.4865237634604336,25.654374107574263
SCENARIO3,TARGET,raw,pinball,0.3994488444269325,0.5265756164614261,24.14216839146144
SCENARIO3,TARGET,raw,nmae,0.5066693709003098,0.6868474689544835,26.232621680682612
SCENARIO3,TARGET,cal,crps,0.3577061979834758,0.4879221117906359,26.687848461976415
SCENARIO3,TARGET,cal,pinball,0.39137742141682913,0.53100205187862,26.294555730588254
SCENARIO3,TARGET,cal,nmae,0.49830659894328516,0.6852463691946733,27.28066556136396
SCENARIO3,CONTROL,raw,crps,0.36170913706004426,0.3671392670355219,1.479038191507931
SCENARIO3,CONTROL,raw,pinball,0.3994488444269325,0.403166161530434,0.9220310279489774
SCENARIO3,CONTROL,raw,nmae,0.5066693709003098,0.5079833869357651,0.25867303326227997
SCENARIO3,CONTROL,cal,crps,0.3577061979834758,0.3624915854298255,1.3201375255857073
SCENARIO3,CONTROL,cal,pinball,0.39137742141682913,0.39385746104456765,0.6296794838318132
SCENARIO3,CONTROL,cal,nmae,0.49830659894328516,0.49975878675467084,0.29057774467876607
SCENARIO3,MOMENTS,raw,crps,0.36170913706004426,0.3700743624809521,2.260417437411222
SCENARIO3,MOMENTS,raw,pinball,0.3994488444269325,0.4068467101622686,1.8183422774600944
SCENARIO3,MOMENTS,raw,nmae,0.5066693709003098,0.5124048520022793,1.1193260718663
SCENARIO3,MOMENTS,cal,crps,0.3577061979834758,0.3662559312570931,2.3343603595093243
SCENARIO3,MOMENTS,cal,pinball,0.39137742141682913,0.3991560321801788,1.9487644269994164
SCENARIO3,MOMENTS,cal,nmae,0.49830659894328516,0.5054580678216729,1.4148490910844025
SCENARIO3,SET,raw,crps,0.36170913706004426,0.34004083613230474,-6.372264335719002
SCENARIO3,SET,raw,pinball,0.3994488444269325,0.37164694752696636,-7.4807279018345385
SCENARIO3,SET,raw,nmae,0.5066693709003098,0.47004701911459135,-7.791210303748453
SCENARIO3,SET,cal,crps,0.3577061979834758,0.33637614631323953,-6.341130875069045
SCENARIO3,SET,cal,pinball,0.39137742141682913,0.36692949292726074,-6.662840943781778
SCENARIO3,SET,cal,nmae,0.49830659894328516,0.4658028979456159,-6.9779945854832715
SCENARIO3,MEMBER,raw,crps,0.36170913706004426,0.3630543596074042,0.37052923667260096
SCENARIO3,MEMBER,raw,pinball,0.3994488444269325,0.3995987048506577,0.03750273009047733
SCENARIO3,MEMBER,raw,nmae,0.5066693709003098,0.5068590584651176,0.037424124446383544
SCENARIO3,MEMBER,cal,crps,0.3577061979834758,0.35832656560009923,0.17312911633678985
SCENARIO3,MEMBER,cal,pinball,0.39137742141682913,0.39114536803903144,-0.059326633205714074
SCENARIO3,MEMBER,cal,nmae,0.49830659894328516,0.49742925309232283,-0.17637600633824135
SCENARIO3,F0,raw,crps,0.36170913706004426,0.5179528400689309,30.16562337762125
SCENARIO3,F0,raw,pinball,0.3994488444269325,0.5540650719279643,27.90578856794169
SCENARIO3,F0,raw,nmae,0.5066693709003098,0.7226661221205836,29.888871860556463
SCENARIO3,F0,cal,crps,0.3577061979834758,0.5091043593449787,29.738138867302965
SCENARIO3,F0,cal,pinball,0.39137742141682913,0.5542446491687704,29.385439804642544
SCENARIO3,F0,cal,nmae,0.49830659894328516,0.715560879639929,30.361397175033723
SCENARIO3,NAIVE,raw,crps,0.36170913706004426,0.9905979822594724,63.48577893980608
SCENARIO3,NAIVE,raw,pinball,0.3994488444269325,0.9905979822594724,59.67598848567987
SCENARIO3,NAIVE,raw,nmae,0.5066693709003098,0.9905979822594724,48.852170105915334
SCENARIO3,NAIVE,cal,crps,0.3577061979834758,0.9905979822594724,63.88987213888954
SCENARIO3,NAIVE,cal,pinball,0.39137742141682913,0.9905979822594724,60.4907915798365
SCENARIO3,NAIVE,cal,nmae,0.49830659894328516,0.9905979822594724,49.69638462146987
SCENARIO3,GBQR,raw,crps,0.36170913706004426,0.22865781767906596,-58.18795995320978
SCENARIO3,GBQR,raw,pinball,0.3994488444269325,0.2406029238574112,-66.01994606834387
SCENARIO3,GBQR,raw,nmae,0.5066693709003098,0.29797939848829885,-70.03503378781599
SCENARIO3,GBQR,cal,crps,0.3577061979834758,0.2264297036947483,-57.97671071711616
SCENARIO3,GBQR,cal,pinball,0.39137742141682913,0.23912593618380892,-63.67000069619762
SCENARIO3,GBQR,cal,nmae,0.49830659894328516,0.29797939848829885,-67.22854045322629
TARGET,F0,raw,crps,0.4865237634604336,0.5179528400689309,6.067941746262973
TARGET,F0,raw,pinball,0.5265756164614261,0.5540650719279643,4.961412812196208
TARGET,F0,raw,nmae,0.6868474689544835,0.7226661221205836,4.956459431223125
TARGET,F0,cal,crps,0.4879221117906359,0.5091043593449787,4.160688700759929
TARGET,F0,cal,pinball,0.53100205187862,0.5542446491687704,4.193562775032378
TARGET,F0,cal,nmae,0.6852463691946733,0.715560879639929,4.236468385542535
CONTROL,TARGET,raw,crps,0.3671392670355219,0.4865237634604336,24.538266245369243
CONTROL,TARGET,raw,pinball,0.403166161530434,0.5265756164614261,23.436226644959433
CONTROL,TARGET,raw,nmae,0.5079833869357651,0.6868474689544835,26.04131049517946
CONTROL,TARGET,cal,crps,0.3624915854298255,0.4879221117906359,25.70707974280776
CONTROL,TARGET,cal,pinball,0.39385746104456765,0.53100205187862,25.827506757996822
CONTROL,TARGET,cal,nmae,0.49975878675467084,0.6852463691946733,27.068743561238318
MOMENTS,TARGET,raw,crps,0.3700743624809521,0.4865237634604336,23.934987296658882
MOMENTS,TARGET,raw,pinball,0.4068467101622686,0.5265756164614261,22.737267460983578
MOMENTS,TARGET,raw,nmae,0.5124048520022793,0.6868474689544835,25.397577313306563
MOMENTS,TARGET,cal,crps,0.3662559312570931,0.4879221117906359,24.93557426349001
MOMENTS,TARGET,cal,pinball,0.3991560321801788,0.53100205187862,24.82966294235327
MOMENTS,TARGET,cal,nmae,0.5054580678216729,0.6852463691946733,26.237030862971842
SET,TARGET,raw,crps,0.34004083613230474,0.4865237634604336,30.10807247856898
SET,TARGET,raw,pinball,0.37164694752696636,0.5265756164614261,29.421922339582718
SET,TARGET,raw,nmae,0.47004701911459135,0.6868474689544835,31.564569957563492
SET,TARGET,cal,crps,0.33637614631323953,0.4879221117906359,31.059458428976406
SET,TARGET,cal,pinball,0.36692949292726074,0.53100205187862,30.898667598532015
SET,TARGET,cal,nmae,0.4658028979456159,0.6852463691946733,32.0240253891393
MEMBER,TARGET,raw,crps,0.3630543596074042,0.4865237634604336,25.377877326041553
MEMBER,TARGET,raw,pinball,0.3995987048506577,0.5265756164614261,24.113708960557247
MEMBER,TARGET,raw,nmae,0.5068590584651176,0.6868474689544835,26.20500454975011
MEMBER,TARGET,cal,crps,0.35832656560009923,0.4879221117906359,26.560703657174123
MEMBER,TARGET,cal,pinball,0.39114536803903144,0.53100205187862,26.33825676281153
MEMBER,TARGET,cal,nmae,0.49742925309232283,0.6852463691946733,27.40869919866632
GBQR,TARGET,raw,crps,0.22865781767906596,0.4865237634604336,53.00171649320444
GBQR,TARGET,raw,pinball,0.2406029238574112,0.5265756164614261,54.30800129442828
GBQR,TARGET,raw,nmae,0.29797939848829885,0.6868474689544835,56.61636506546615
GBQR,TARGET,cal,crps,0.2264297036947483,0.4879221117906359,53.59306368310117
GBQR,TARGET,cal,pinball,0.23912593618380892,0.53100205187862,54.96704102407689
GBQR,TARGET,cal,nmae,0.29797939848829885,0.6852463691946733,56.51499783377252
MOMENTS,CONTROL,raw,crps,0.3700743624809521,0.3671392670355219,-0.799450156647552
MOMENTS,CONTROL,raw,pinball,0.4068467101622686,0.403166161530434,-0.9129110979609667
MOMENTS,CONTROL,raw,nmae,0.5124048520022793,0.5079833869357651,-0.8703956035226224
MOMENTS,CONTROL,cal,crps,0.3662559312570931,0.3624915854298255,-1.038464333676603
MOMENTS,CONTROL,cal,pinball,0.3991560321801788,0.39385746104456765,-1.3453017042151627
MOMENTS,CONTROL,cal,nmae,0.5054580678216729,0.49975878675467084,-1.1404063756461413
SET,CONTROL,raw,crps,0.34004083613230474,0.3671392670355219,7.3809677515631495
SET,CONTROL,raw,pinball,0.37164694752696636,0.403166161530434,7.817921495152147
SET,CONTROL,raw,nmae,0.47004701911459135,0.5079833869357651,7.468033167386001
SET,CONTROL,cal,crps,0.33637614631323953,0.3624915854298255,7.204426300163503
SET,CONTROL,cal,pinball,0.36692949292726074,0.39385746104456765,6.8369831171637525
